"fdc_id","food_group","food_desc","source_fct","nutrient_data_source","waste_per","Edible_factor_in_FCT","ENERCkJ","ENERCkcal","XN","NTg","PROCNTg","Protein labeling (g)","CHOCDFg","CHOAVLDFg","Carbohydrate, declaration (g)","Added sugar (g)","FIBTGg","FAT_g","Fatty acid conversion factor (FCF) (-)","ALC_g","ASHg","Dry matter (g)","WATERg","VITA_RAEmcg","RETOLmcg","CARTBmcg","VITDEQmcg","CHOCALmcg","ERGCALmcg","CHOCALOHmcg","ERGCALOHmcg","VITEmg","TOCPHAmg","TOCPHGmg","TOCPHDmg","TOCTRAmg","Vitamin K1 (µg)","THIAHCLmg","THIAmg","RIBFmg","NIAEQmg","NIAmg","VITB6Cmg","Pantothenic (mg)","Biotin (µg)","FOL_mcg","Folate, free (NA)","VITB12mcg","VITCmg","ASCLmg","ASCDLmg","Sulfur, S (mg)","Chloride, Cl (mg)","NAmg","Kmg","CAmg","MGmg","Pmg","FEmg","CUmg","ZNmg","IDmcg","MNmg","CRmcg","SEmcg","MOmcg","Cobalt, Co. (µg)","Nickel, Ni (µg)","Fluoron, F (µg)","Silicon, Si (mg)","Rubidium, Rb (µg)","Aluminum, Al (mg)","Boron, B (µg)","Bromine, Br (µg)","Mercury Hg (µg)","Arsenic, As (µg)","Arsen inorganic (µg)","Cadmium, Cd (µg)","Lead, Pb (µg)","Tin, Sn (µg)","L-lactic acid (g)","D-lactic acid (g)","Lactic acid, total (g)","Citric acid (g)","Oxalic acid (mg)","Malic acid (mg)","Benzoic acid (mg)","Organic acids, tot. (g)","Histamine (mg)","Tyramine (mg)","Phenylethylamine (mg)","Putrescin (mg)","Cadaverine (mg)","Spermine (mg)","Spermidine (mg)","Serotonin (mg)","Fructose (g)","Galactose (g)","Glucose (g)","Monosaccharides, total (g)","Lactose (g)","Maltose (g)","Sucrose (g)","Disaccharides total (g)","SUGARg","Other sugars (g)","Sugars, total (g)","Sorbitol (g)","Inositol (mg)","Maltitol (g)","Sugar alcohols, total (g)","Starch (g)","IDF (g)","SDFP (g)","SDFS (g)","Hexose (g)","Pentose (g)","Uronic Acid (g)","Cellulose (g)","Lignin (g)","Crude fibers (g)","Neutr.Det.Fibre (NDF) (g)","C4: 0 (g)","C6: 0 (g)","C8: 0 (g)","C10: 0 (g)","C12: 0 (g)","C13: 0 (g)","C14: 0 (g)","C15: 0 (g)","C16: 0 (g)","C17: 0 (g)","C18: 0 (g)","C20: 0 (g)","C21:0 (g)","C22: 0 (g)","C23:0 (g)","C24: 0 (g)","Saturated F.A., other (g)","C12:1,n-1 (g)","C14: 1 n-5 (g)","C15: 1 (g)","C16: 1 n-7 (g)","C17: 1 n-7 (g)","C18: 1 n-9 (g)","C18: 1 n-7 (g)","C20: 1 n-9 (g)","C20: 1 n-11 (g)","C22: 1 n-9 (g)","C22: 1 n-11 (g)","C24: 1 n-9 (g)","Other monounsaturated. (g)","C18: 2 n-6 (g)","C18: 2 conj-A, undifferentiated (g)","C18: 3 n-3 (g)","C18: 3 n-6 (g)","C18: 4, n-3 (g)","C20: 2 n-6 (g)","C22:2,n-6 (g)","C22:4,n-6 (g)","C22:5,n-6 (g)","C20: 3 n-3 (g)","C20: 4, n-3 (g)","C20: 3 n-6 (g)","C20: 4, n-6 (g)","F20D5N3g","C22: 5, n-3 (g)","F22D6N3g","Other polyunsaturated (g)","C14: 1 trans-9 (g)","C16: 1 trans (g)","C18: 1 trans-n-9 (g)","C20: 1 trans (g)","C22: 1 trans (g)","C18: 2, trans, undifferentiated (g)","Other fatty acids (g)","FASAT","FAMSg","FAPUg","FATRNg","Fatty acids, total (g)","Sum n-3 fatty acids (g)","Sum n-6 fatty acids (g)","CHOLEmg","Isoleucine (mg)","Leucine (mg)","Lysine (mg)","Methionine (mg)","Cystine (mg)","Phenylalanine (mg)","Tyrosine (mg)","Threonine (mg)","TRPmg","Valin (mg)","Arginine (mg)","Histidine (mg)","Alanine (mg)","Aspartic acid (mg)","Glutamic acid (mg)","Glycine (mg)","Proline (mg)","Hydroxyproline (g)","Serin (mg)","specific_gravity"
"1","Soft fruit","Strawberry, raw","DK19","None listed","4",0.96,"162","38","6.25","0.106","0.7","0.7","8.3000000000000007","6.9","6.1","0","1.5","0.6","0.8","0","0.4","10","90","3.33","0","40","0","0",NA,NA,NA,"0.41399999999999998","0.41399999999999998",NA,NA,NA,"20","1.4500000000000001E-2",NA,"1.11E-2","0.57099999999999995","0.434","4.5499999999999999E-2","0.129","0.70099999999999996","117","15","0","66.900000000000006","64.8","2.0499999999999998",NA,NA,"0.50800000000000001","179","18.5","12.5","23.8","0.255","3.8300000000000001E-2","0.104","5.0299999999999997E-2","0.34200000000000003","6.9000000000000006E-2","0.18","0",NA,"3.51",NA,NA,NA,NA,NA,NA,"2E-3","0.30299999999999999",NA,"0.59099999999999997","0.314",NA,NA,NA,NA,NA,NA,NA,"0.03",NA,"0.01","0",NA,NA,NA,NA,NA,"3.0000000000000001E-3","3.16",NA,"2.85","6.01",NA,NA,"5.6300000000000003E-2","5.6300000000000003E-2",NA,NA,"6.07","0",NA,NA,"0","0",NA,NA,NA,"0.22","0.28000000000000003","0.63","0.59","0.39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.3000000000000004E-2",NA,NA,NA,NA,NA,NA,NA,"0.182",NA,"0.16600000000000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.05","8.3000000000000004E-2","0.34799999999999998",NA,"0.48","0.16600000000000001","0.182","0","24","39","35","10","4","22","11","22","8","29","40","12","31","96","90","25","23",NA,"30",NA
"2","Pome fruit","Apple, raw, all varieties","DK19","None listed","10",0.9,"233","55","6.25","4.2999999999999997E-2","0.3","0.3","14.3","12.1","10.9","0","2.2000000000000002","0.2","0.8","0","0.3","15.1","84.9","2.08","0","25","0","0",NA,NA,NA,"0.254","0.254",NA,NA,NA,"3","1.3100000000000001E-2",NA,"8.2299999999999995E-3","0.16600000000000001","0.123","4.5999999999999999E-2","7.2300000000000003E-2","0.996","9","3","0","8.26","7.76","0.503",NA,NA,"0.60099999999999998","118","4.13","4.49","9.52","0.121","3.1E-2","2.4199999999999999E-2","9.7799999999999998E-2","5.9900000000000002E-2","0.111","5.1999999999999998E-3","0",NA,"0.51600000000000001",NA,NA,NA,NA,NA,NA,"8.6700000000000004E-4","2.76E-2",NA,"2.4899999999999999E-2","0.14899999999999999",NA,NA,NA,NA,NA,NA,NA,"0.03",NA,"0.01","0",NA,NA,NA,"0.222","9.86","3.0000000000000001E-3","6.05",NA,"1.76","7.8","0","0","3.09","3.09",NA,NA,"10.9","0.436",NA,NA,"0.436","0",NA,NA,NA,"0.12","0.25","0.49","0.76","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.7999999999999999E-2",NA,"7.0000000000000001E-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.0000000000000001E-3",NA,NA,NA,NA,NA,NA,NA,"0.10299999999999999",NA,"2.8000000000000001E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.4999999999999998E-2","7.0000000000000001E-3","0.13100000000000001",NA,"0.183","2.8000000000000001E-2","0.10299999999999999","0","9","14","13","3","1","7","4","8","3","10","6","4","11","78","22","8","8",NA,"11",NA
"3","Tropical or subtropical fruit","Banana, raw","DK19","None listed","41",0.59,"396","93","6.25","0.183","1.1000000000000001","1.1000000000000001","22.6","21","19.7","0","1.6","0.2","0.73","0","0.7","24.6","75.3","4.42","0","53","0","0",NA,NA,NA,"0.27","0.27",NA,NA,NA,"0.5","3.9899999999999998E-2",NA,"1.41E-2","0.76500000000000001","0.59499999999999997","0.30499999999999999","0.25800000000000001","1.57","38","12","0","11.2","8.11","3.09",NA,NA,"0","348","6.62","28.1","25.6","0.251","0.106","0.16700000000000001","4.7699999999999999E-2","0.45900000000000002","0","0.35199999999999998",NA,NA,"4.08",NA,NA,NA,NA,NA,NA,"8.8999999999999999E-3","2.0799999999999999E-2",NA,"1.3599999999999999E-2","8.2699999999999996E-2",NA,NA,NA,NA,NA,NA,NA,"0.03",NA,"0.01","0.21",NA,NA,NA,NA,NA,"1.5","7.01","0","6.92","13.9","0","0.01","1.43","1.44",NA,NA,"15.4","1.43E-2",NA,NA,"1.43E-2","4.32",NA,NA,NA,"0.57999999999999996","0.23","0.28000000000000003","0.37","0.27",NA,NA,"0","0","0","0","0",NA,"0",NA,"7.0000000000000007E-2","0","1.2E-2","0",NA,"0",NA,"0",NA,NA,"0",NA,"1.0999999999999999E-2",NA,"3.2000000000000001E-2","0",NA,"0","0","0","0",NA,"2.5000000000000001E-2",NA,"0",NA,"0","0",NA,NA,NA,"0",NA,"0",NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,"0","8.2000000000000003E-2","4.2999999999999997E-2","2.5000000000000001E-2",NA,"0.15","0","2.5000000000000001E-2","0","35","89","51","10","3","35","20","33","10","53","49","84","35","117","106","37","38",NA,"53",NA
"4","Root and tuber vegetables","Potato, raw","DK19","None listed","25",0.75,"326","77","6.25","0.32400000000000001","2","2","17.3","15.9","17.899999999999999","0","1.4","0.3","0.8","0","0.9","20.5","79.5","0.83299999999999996","0","10","0","0",NA,NA,NA,"0.1","0.1",NA,NA,NA,"16","5.5300000000000002E-2",NA,"6.25E-2","2.11","1.6","0.2","0.38","0.47","36","10","0","26.4","23.4","3",NA,NA,"7","414","6.76","20.399999999999999","55.3","1.03","5.1999999999999998E-2","0.3","1.2","0.23","0.6","0.26800000000000002","0",NA,"5.75",NA,NA,NA,NA,NA,NA,"0.28000000000000003","1.39",NA,"2.0699999999999998","0.81299999999999994",NA,NA,NA,NA,NA,NA,NA,"0.03",NA,NA,"0.1",NA,NA,NA,NA,NA,"3.0000000000000001E-3","0.24",NA,"0.34","0.57999999999999996","0","0","0.66","0.66","0.06","0","1.24",NA,NA,NA,NA,"16.7",NA,NA,NA,"0.93","0.26","0.46","0.89","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.5999999999999999E-2",NA,"0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.0000000000000001E-3",NA,"0.01",NA,NA,NA,NA,NA,NA,NA,"7.0000000000000007E-2",NA,"9.2999999999999999E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.6000000000000001E-2","1.4E-2","0.16200000000000001",NA,"0.23300000000000001","9.2999999999999999E-2","7.0000000000000007E-2","0","75","110","117","28","17","81","39","68","31","120","84","36","71","428","269","58","71",NA,"71",NA
"5","Soft fruit","Raspberry, raw","DK19","None listed","0",1,"215","51","6.25","0.219","1.4","1.4","10.6","6.2","4","0","4.4000000000000004","1.3","0.8","0","0.5","13.8","86.2","3.5","0","42","0","0",NA,NA,NA,"1.4","1.4",NA,NA,NA,NA,"0.03",NA,"0.05","0.752","0.5","0.09","0.24","1.9","44","15","0","24","24",NA,NA,NA,"2","228","19.7","17","38","0.55000000000000004","0.105","0.34","0.4","1.2","0.8","0.189","0",NA,"17.899999999999999",NA,NA,NA,NA,NA,NA,"2.5000000000000001E-2","0.41",NA,"1.1200000000000001","0.8",NA,NA,NA,NA,NA,NA,NA,"2.5",NA,NA,"4.82",NA,NA,NA,NA,NA,"3.0000000000000001E-3","2.15",NA,"1.85","4",NA,"0","0.05","0.05",NA,NA,"4.05","0",NA,NA,"0","0",NA,NA,NA,"0.37","0.83","0.67","2","2.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.7999999999999995E-2",NA,"1.4999999999999999E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.104",NA,NA,NA,NA,NA,NA,NA,"0.47199999999999998",NA,"0.40100000000000002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.104","0.104","0.873",NA,"1.08","0.40100000000000002","0.47199999999999998","0",NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Unfermented milk products","Milk, whole, konventional (not organic), 3.5 % fat","DK19","None listed","0",1,"264","63","6.38","0.53600000000000003","3.4","3.4","4.5999999999999996","4.5999999999999996","4.5999999999999996","0","0","3.5","0.94499999999999995","0","0.8","12.3","87.7","31.7","30.4","16","6.59E-2","9.1800000000000007E-3","3.4499999999999999E-3","7.5300000000000002E-3","3.13E-3","0.06","0.06",NA,NA,NA,"0","4.1500000000000002E-2",NA,"0.17199999999999999","0.85599999999999998","8.7099999999999997E-2","4.5999999999999999E-2","0.35899999999999999","1.55","11","4","0.44600000000000001","1.2","1.2",NA,NA,"93.1","44.3","144","116","11","92.7","1.6E-2","1.06E-2","0.41499999999999998","10.7","1.7099999999999999E-3","0.05","1.64","5",NA,"0.70499999999999996",NA,NA,NA,NA,NA,NA,"0.03","0.3",NA,"2E-3","8.8999999999999996E-2",NA,NA,NA,NA,"0.193",NA,NA,"4.4999999999999998E-2","0.193","0.01","0",NA,NA,NA,NA,NA,"0.03","0","0","0","0","4.5999999999999996","0","0","4.5999999999999996",NA,NA,"4.5999999999999996",NA,NA,NA,NA,"0",NA,NA,NA,"0","0","0","0","0",NA,NA,"0.129","8.6999999999999994E-2","4.8000000000000001E-2","0.10199999999999999","0.126",NA,"0.36899999999999999","3.6999999999999998E-2","1.0009999999999999",NA,"0.34699999999999998",NA,NA,NA,NA,NA,NA,NA,"3.4000000000000002E-2",NA,"5.3999999999999999E-2",NA,"0.66500000000000004","3.1E-2",NA,NA,NA,NA,NA,NA,"4.8000000000000001E-2","1.0999999999999999E-2","1.4E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.107",NA,NA,"2.5000000000000001E-2","4.7E-2","2.246","0.78400000000000003","7.2999999999999995E-2","0.13200000000000001","3.282","1.4E-2","4.8000000000000001E-2","13","198","327","306","86","26","172","145","145","46","236","118","97","113","279","681","70","333",NA,"193",NA
"8","Herbs","Parsley, raw","DK19","None listed","34",0.66,"201","48","6.25","0.59399999999999997","3.7","3.7","7.8","3.7","1.2","0","4.0999999999999996","1.1000000000000001","0.8","0","2.1","14.8","85.2","474","0","5690","0","0",NA,NA,NA,"2.7","2.7",NA,NA,NA,"790","0.12",NA,"0.3","2.64","1.7","0.2","0.3","0.4","116","41","0","308","308",NA,NA,NA,"64","641","185","29","72","3.6","0.09","0.46","13.5","2.7","7","0.1","10",NA,"50",NA,NA,NA,NA,NA,NA,"1.5","3",NA,"3","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.3",NA,"0.5","0.8","0","0","0","0",NA,NA,"0.8",NA,NA,NA,NA,"0.43",NA,NA,NA,"0.89","0.89","0.28000000000000003","1.63","0.59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.155",NA,"7.0000000000000001E-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.7E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.27400000000000002",NA,"0.45700000000000002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.16200000000000001","2.7E-2","0.73099999999999998",NA,"0.92","0.45700000000000002","0.27400000000000002","0","149","255","226","52","18","178","101","154","56","214","154","77","244","368","309","178","267",NA,"172",NA
"9","Pome fruit","Pear, raw","DK19","None listed","9",0.91,"207","49","6.25","4.9000000000000002E-2","0.3","0.3","14.4","11.1","8.3000000000000007","0","3.2","0.1","0.8","0","0.3","15","85","5.42","0","65","0","0",NA,NA,NA,"0.57999999999999996","0.57999999999999996",NA,NA,NA,NA,"9.7099999999999999E-3",NA,"8.5699999999999995E-3","0.28199999999999997","0.23","0.01","5.1799999999999999E-2","0.44700000000000001","16","4","0","6.06","5.26","0.8",NA,NA,"0.77800000000000002","122","10.1","6.46","11.2","0.10299999999999999","6.5000000000000002E-2","0.112","0.16500000000000001","5.2299999999999999E-2","2.3099999999999999E-2","0.1","0",NA,"8.5",NA,NA,NA,NA,NA,NA,"1.03E-2","0.46700000000000003",NA,"0.47899999999999998","0.16400000000000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.01","0",NA,NA,NA,NA,NA,"3.0000000000000001E-3","5.97",NA,"1.67","7.64","0","0","0.68799999999999994","0.68799999999999994",NA,NA,"8.33","2.2400000000000002",NA,NA,"2.2400000000000002","0",NA,NA,NA,"0.33","0.63","0.33","0.63","0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.01",NA,"2E-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1E-3",NA,"7.0000000000000001E-3",NA,NA,NA,NA,NA,NA,NA,"2.5000000000000001E-2",NA,"8.0000000000000002E-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.2E-2","8.0000000000000002E-3","3.3000000000000002E-2",NA,"5.2999999999999999E-2","8.0000000000000002E-3","2.5000000000000001E-2","0","12","20","20","3","2","12","5","11","3","15","9","6","14","57","31","12","28",NA,"15",NA
"10","Leaf and stem vegetables","Rhubarb, raw","DK19","None listed","38",0.62,"108","26","6.25","0.14399999999999999","0.9","0.9","6.8","3","1.9","0","3.8","0.3","0.8","0","1.5","9.5","90.5","9.83","0","118","0","0",NA,NA,NA,"0.35","0.35",NA,NA,NA,NA,"0.03",NA,"0.03","0.43","0.25","0.04","8.5000000000000006E-2",NA,"7","9","0","13","13",NA,NA,NA,"3","280","115","12","24.2","0.3","5.6000000000000001E-2","0.23","0.3","0.17","0.6","0.371","0",NA,"7.17",NA,NA,NA,NA,NA,NA,"0.05","0.06",NA,"1.69","1.2",NA,NA,NA,NA,NA,NA,NA,"0.03",NA,NA,"0",NA,NA,NA,NA,NA,NA,"0.75",NA,"0.89","1.64","0","0","0","0",NA,NA,"1.64",NA,NA,NA,NA,"0.22",NA,NA,NA,"0.81","0.35","0.6","1.31","0.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.7000000000000002E-2",NA,"7.0000000000000001E-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.6E-2",NA,NA,NA,NA,NA,NA,NA,"0.121",NA,"3.9E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.4000000000000001E-2","1.6E-2","0.16",NA,"0.24","3.9E-2","0.121","0","27","39","40","11","1","26","17","22","11","42","33","19","29","46","76","27","24",NA,"27",NA
"11","Soft fruit","Currant, black, raw","DK19","None listed","2",0.98,"314","75","6.25","0.24299999999999999","1.5","1.5","17.2","11.4","9.9","0","5.8","1.3","0.8","0","0.9","20.9","79.099999999999994","10.8","0","130","0","0",NA,NA,NA,"2.1","2.1",NA,NA,NA,NA,"2.5000000000000001E-2",NA,"2.5000000000000001E-2","0.52300000000000002","0.3","0.08","0.39800000000000002","2.4","8.1999999999999993","15","0","181","181",NA,NA,NA,"3","337","59.1","22","47.9","0.8","9.9000000000000005E-2","0.28999999999999998","1.5","0.31","0.8","1.1000000000000001","0",NA,"9.64",NA,NA,NA,NA,NA,NA,"0.03","0.17",NA,"0.18099999999999999","1.48",NA,NA,NA,NA,NA,NA,NA,"0.03",NA,NA,"0.03",NA,NA,NA,NA,NA,NA,"4.9000000000000004",NA,"4","8.9","0","0","1","1",NA,NA,"9.9","0",NA,NA,"0","0",NA,NA,NA,"0.89","0.32","0.06","1.38","1.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.223",NA,"2.1000000000000001E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.3000000000000004E-2",NA,NA,NA,NA,NA,NA,NA,"0.48899999999999999",NA,"0.24399999999999999",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.24399999999999999","8.3000000000000004E-2","0.73299999999999998",NA,"1.06","0.24399999999999999","0.48899999999999999","0",NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
