"food_group","fdc_id","food_group_id","food_desc","source_fct","nutrient_data_source","REFUSEpc","Edible_factor_in_FCT","ENERCkcal","ENERCkJ","WATERg","PROCNTg","PROTCAAg","FATg","FATNLEAg","FASATg","FAMSg","FAPUg","CHOLEmg","CHOCDFg","CHOAVLMg","FIBSOLg","FIBINSg","FIBTGg","ASHg","NAmg","Kmg","CAmg","MGmg","Pmg","FEmg","ZNmg","CUmg","MNmg","IDmcg","SEmcg","CRmcg","MOmcg","RETOLmcg","CARTAmcg","CARTBmcg","CRYPXBmcg","CARTBEQmcg","VITA_RAEmcg","VITDmcg","TOCPHAmg","TOCPHBmg","TOCPHGmg","TOCPHDmg","VITKmcg","THIAHCLmg","RIBFmg","NIAmg","VITB6Amg","VITB12mcg","FOLmcg","PANTACmg","BIOTmcg","VITCmg","NACL_EQg","ALCg","NITRAg","THEBRNg","CAFFNg","TANg","POLYPHENTg","ACEACg","Cooking oil_g","OAg","Yield_pc","ILEmg","LEUmg","LYSmg","METmg","CYSmg","AASmg","PHEmg","TYRmg","AAAmg","THRmg","TRPmg","VALmg","HISmg","ARGmg","ALAmg","ASPmg","GLUmg","GLYmg","PROmg","SERmg","HYPmg","Amino acids, total_mg","AMMONmg","Ammonia derived from non-proteinous compounds_mg","STARCHg","GLUSg","FRUSg","GALSg","SUCSg","MALSg","LACSg","TRESg","CHOAVLg","SORTLg","MANTLg","FACIDg","FAPUN3g","FAPUN6g","F4D0g","F6D0g","F7D0g","F8D0g","F10D0g","F12D0g","F13D0g","F14D0g","F15D0g","F15D0AIg","F16D0g","F16D0Ig","F17D0g","F17D0AIg","F18D0g","F20D0g","F22D0g","F24D0g","F14D1g","F15D1g","F16D1g","F17D1g","F18D1g","F18D1CN9g","F18D1CN7g","F20D1g","F22D1g","F24D1g","F16D2g","F16D3g","F16D4g","F17D2g","F18D2g","F18D2N6g","F18D3g","F18D3N3g","F18D3N6g","F18D4N3g","F20D2N6g","F20D3N6g","F20D4N3g","F20D4N6g","F20D5N3g","F21D5N3g","F22D2g","F22D4N6g","F22D5N3g","F22D5N6g","F22D6N3g","FAUNg","Edible_info"
"Cereals","01001","1","Amaranth, whole grain, raw","JA15","None listed","0",1,"358","1498","13.5","12.7","12.5","6.0","5.0","1.18","1.48","2.10","0","64.900000000000006","63.5","1.1000000000000001","6.3","7.4","2.9","1","600","160","270","540","9.4","5.8","0.92","6.14","1","13","7","59","0","0","2","0","2","0","0","1.3","2.2999999999999998","0.2","0.7","0","0.04","0.14000000000000001","1.0","0.57999999999999996","0","130","1.69","16.3","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"600","910","770","230","200","430","560","340","900","580","190","700","400","1100","830","1300","2300","1700","720","1200",NA,"15000",NA,NA,"56.4","0","0",NA,"1.3","0","0","0","57.8",NA,NA,"4.75","0.04","2.06",NA,NA,NA,NA,"0.000"," 0.000",NA," 0.009","0.003",NA," 0.940",NA,"0.005",NA," 0.150","0.036","0.016","0.015","0.000","0.000"," 0.007","0.003"," 1.500",NA,NA,"0.012","0.002","0.000","0.000","0.000","0.000",NA,NA," 2.000",NA," 0.036","0.014","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000",NA,NA
"Cereals","01002","2","Foxtail millet, milled grain, raw","JA15","None listed","0",1,"367","1538","13.3","11.2","10.0","4.4000000000000004","4.0999999999999996","0.67","0.52","2.75","0","69.7","69.599999999999994","0.4","2.9","3.3","1.4","1","300","14","110","280","4.8","2.5","0.49","0.88","0","2","1","22","0","0","0","0","0","0","0","0.6","0","2.2000000000000002","0","0","0.56000000000000005","7.0000000000000007E-2","2.9","0.18","0","29","1.83","14.4","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"470","1500","220","380","220","600","630","350","970","440","210","580","260","350","1000","790","2400","300","970","550",NA,"12000","340",NA,"62.2","0",NA,NA,"1.0","0.1","0","0","63.3","0",NA,"3.94","0.12","2.63",NA,NA,NA,NA,"0.000"," 0.000",NA," 0.002","0.004",NA," 0.410",NA,"0.005",NA," 0.160","0.051","0.025","0.010","0.000","0.000"," 0.003","0.000"," 0.500"," 0.480","0.018","0.019","0.000","0.000","0.000","0.000","0.000",NA,NA," 2.600",NA," 0.120","0.000","0.000","0.003","0.004","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000",NA,"Including nonglutinous and glutinous grains
Milling yield: 70-80 %"
"Cereals","01003","3","Foxtail millet, glutinous cake","JA15","None listed","0",1,"214","893","48.0","5.0999999999999996","4.5","1.3","1.2","0.22","0.19","0.73","0","45.3",NA,"0","1.5","1.5","0.3","0","62","5","12","39","0.7","1.1000000000000001","0.20","0.46","0","1","0","40","0","0","0","0","0","0","0","0.1","0","1.2","0","0","0.08","0.01","0.3","0.03","0","7","0.61","3.4","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"210","600","130","160","110","260","280","170","460","190","88","280","130","250","410","410","1000","170","380","260",NA,"5300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.14","0.03","0.70",NA,NA,NA,NA,"0.000"," 0.000",NA," 0.003","0.001",NA," 0.150",NA,"0.001",NA," 0.042","0.013","0.006","0.004","0.000","0.000"," 0.001","0.000"," 0.180",NA,NA,"0.005","0.000","0.000","0.000","0.000","0.000",NA,NA," 0.700",NA," 0.031","0.000","0.000","0.001","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000",NA,"Recipe: glutinous millet 50, glutinous rice 50
Estimation from recipe of cooking data"
"Cereals","01004","4","Common oats, oatmeal, raw
［Syn. Oats］","JA15","None listed","0",1,"380","1590","10.0","13.7","12.0","5.7","5.1","0.94","1.80","2.09","0","69.099999999999994","63.1","3.2","6.2","9.4","1.5","3","260","47","100","370","3.9","2.1","0.28000000000000003",NA,"0","18","0","110","0",NA,NA,NA,"0","0","0","0.6","0.1","0","0","0","0.20","0.08","1.1000000000000001","0.11","0","30","1.29","21.7","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"570","1100","610","270","490","760","760","480","1200","470","200","780","350","890","660","1100","3000","740","800","620",NA,"14000","380",NA,"56.3","0","0",NA,"1.0","0","0","0","57.4",NA,NA,"4.83","0.09","2.00",NA,NA,NA,NA,NA," 0.020",NA," 0.012",NA,NA," 0.850",NA,NA,NA," 0.054",NA,NA,NA,NA,NA," 0.011",NA," 1.800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2.000",NA," 0.092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Estimation from data of the USA"
"Cereals","01005","5","Barley, under-milled pressed grain, raw","JA15","None listed","0",1,"341","1427","14.0","10.9","9.5","2.1","1.8","0.57999999999999996","0.20","0.91","0","72.099999999999994","71.2","6.3","4.0","10.3","0.9","2","220","23","46","180","1.3","1.4","0.32","0.85",NA,NA,NA,NA,"0",NA,NA,NA,"0","0","0","0.2","0","0.1","0","0","0.22","7.0000000000000007E-2","3.2","0.14000000000000001","0","17","0.43",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"400","810","390","190","300","490","600","350","950","400","160","560","260","490","420","640","2800","450","1300","480",NA,"11000",NA,NA,"64.3","0","0.1","0","0.3","0.1","0","0","64.7",NA,NA,"1.70","0.05","0.86",NA,NA,NA,NA,"0.000"," 0.001",NA," 0.008","0.001",NA," 0.530",NA,"0.002",NA," 0.025","0.002","0.007","0.001","0.000",NA," 0.001","0.000"," 0.170",NA,NA,"0.010","0.017","0.000",NA,NA,NA,NA,NA," 0.860",NA," 0.054",NA,NA,"0.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.004","Milling yield: hulled barley 60-65 %, naked barley 65-70 %"
"Cereals","01006","6","Barley, pressed grain, raw","JA15","None listed","0",1,"340","1423","14.0","6.2","5.4","1.3","1.1","0.36","0.12","0.56","0","77.8","71.2","6.0","3.6","9.6","0.7","2","170","17","25","110","1.0","1.2","0.40",NA,"0","1","0","8","0",NA,NA,NA,"0","0","0","0.1","0","0","0","0","0.06","0.04","1.6","0.14000000000000001","0","9","0.46","2.6","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230","460","220","110","170","280","340","200","540","230","90","320","150","280","240","360","1600","250","750","270",NA,"6200","190",NA,"64.3","0","0.1","0","0.3","0.1","0","0","64.7",NA,NA,"1.05","0.03","0.53",NA,NA,NA,NA,"0.000"," 0.000",NA," 0.005","0.001",NA," 0.330",NA,"0.001",NA," 0.015","0.001","0.005","0.001","0.000",NA," 0.000","0.000"," 0.110",NA,NA,"0.006","0.011","0.000",NA,NA,NA,NA,NA," 0.530",NA," 0.033",NA,NA,"0.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.003","Milling yield: hulled barley 45-55 %, naked barley 55-65 %
Estimation from 01005"
"Cereals","01007","7","Barley, split grain, raw","JA15","None listed","0",1,"343","1435","14.0","7.0","6.1","2.1","1.8","0.58","0.20","0.91","0","76.2","68.8","6.0","2.7","8.6999999999999993","0.7","2","170","17","25","140","1.2","1.2","0.37",NA,"0","1","0","9","0",NA,NA,NA,"0","0","0","0.1","0","0","0","0","0.19","0.05","2.2999999999999998","0.19","0","10","0.64","3.5","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"260","520","250","120","190","310","380","230","610","260","100","360","160","320","270","410","1800","290","840","310",NA,"7100",NA,NA,"62.1","0","0",NA,"0.3","0.1","0","0","62.5",NA,NA,"1.70","0.05","0.86",NA,NA,NA,NA,"0.000"," 0.001",NA," 0.008","0.001",NA," 0.530",NA,"0.002",NA," 0.025","0.002","0.007","0.001","0.000",NA," 0.001","0.000"," 0.170",NA,NA,"0.010","0.017","0.000",NA,NA,NA,NA,NA," 0.860",NA," 0.054",NA,NA,"0.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.004","Milling yield: hulled barley 40-50 %, naked barley 50-60 %
Estimation from 01005"
"Cereals","01008","8","Barley, dried noodles, raw","JA15","None listed","0",1,"339","1418","14.0","12.9","11.4","1.7","1.5","0.42","0.16","0.82","0","68.0","72.2","3.6","2.7","6.3","3.4","1100","240","27","63","200","2.1","1.5","0.33","0.90",NA,NA,NA,NA,"0",NA,NA,NA,"0","0","0","0","0","0","0","0","0.21","0.04","3.5","0.09","0","19","0.64",NA,"0","2.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"470","940","350","220","340","560","680","400","1100","410","160","600","310","540","440","630","4100","510","1600","620",NA,"13000",NA,NA,"65.2","0","0","0","0.3","0.1","0","0","65.6",NA,NA,"1.39","0.04","0.77",NA,NA,NA,NA,"0.000"," 0.000",NA," 0.004","0.001",NA," 0.390",NA,"0.002",NA," 0.018","0.001","0.002","0.000","0.000",NA," 0.000","0.000"," 0.140",NA,NA,"0.007","0.005","0.000",NA,NA,NA,NA,NA," 0.770",NA," 0.044",NA,NA,"0.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.002","Recipe: barley flour 50, wheat flour 50
Estimation from 01006 and 01019"
"Cereals","01009","9","Barley, dried noodles, boiled","JA15","None listed","0",1,"122","510","70.0","4.8","4.3","0.6","0.5","0.15","0.05","0.29","0","24.3","25.2","1.2","1.3","2.5","0.3","64","10","12","18","61","0.9","0.6","0.13","0.27",NA,NA,NA,NA,"0",NA,NA,NA,"0","0","0","0","0","0","0","0","0.04","0.01","1.0","0.01","0","5","0.26",NA,"0","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"260","170","350","130","83","130","210","250","150","400","150","61","220","110","200","160","230","1500","190","580","230",NA,"4900",NA,NA,"22.7","0","0","0","0.1","0","0","0","22.9",NA,NA,"0.49","0.02","0.27",NA,NA,NA,NA,"0.000"," 0.000",NA," 0.001","0.000",NA," 0.140",NA,"0.001",NA," 0.006","0.001","0.001","0.000","0.000",NA," 0.000","0.000"," 0.050",NA,NA,"0.002","0.002","0.000",NA,NA,NA,NA,NA," 0.270",NA," 0.015",NA,NA,"0.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.001","Recipe: barley flour 50, wheat flour 50
Estimation from 01006 and 01019"
"Cereals","01010","10","Barley, roasted flour","JA15","None listed","0",1,"391","1636","3.5","12.5","10.8","5.0","4.2","1.39","0.47","2.17","0","77.099999999999994","79.9","5.2","10.3","15.5","1.9","2","490","43","130","340","3.1","3.8","0.41","1.81",NA,NA,NA,NA,"0",NA,NA,NA,"0","0","0","0.5","0.1","0.2","0","0","0.09","0.10","7.6","0.09","0","24","0.28000000000000003",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"460","930","440","220","340","560","690","410","1100","460","180","640","290","560","490","730","3200","510","1500","550",NA,"13000",NA,NA,"72.1","0","0.1","0","0.3","0.1","0","0","72.6",NA,NA,"4.04","0.13","2.04",NA,NA,NA,NA,"0.000"," 0.001",NA," 0.018","0.003",NA," 1.300",NA,"0.005",NA," 0.059","0.006","0.018","0.004","0.000",NA," 0.001","0.000"," 0.410",NA,NA,"0.024","0.041","0.000",NA,NA,NA,NA,NA," 2.000",NA," 0.130",NA,NA,"0.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.010","Estimation from 01005"
