"source_fct","fdc_id","food_desc","scientific_name","food_group","nutrient_data_source","Edible_factor_in_FCT","ENERCkJ","ENERCkcal","WATERg","PROCNTg","FATg","CHOAVLDFg","FIBTGg","ASHg","CAmg","FEmg","MGmg","Pmg","Kmg","NAmg","ZNmg","SEmcg","VITA_RAEmcg","VITAmcg","RETOLmcg","CARTBEQmcg","THIAmg","RIBFmg","NIAmg","FOLDFEmcg","FOLFDmcg","VITB12mcg","VITCmg","CHOLEmg","OXALACmg","PHYTCPPDmg","TRPmg","FASATgstandardized","FAMSgstandardized","FAPUgstandardized","FATRNgstandardized","F20D5gstandardized","F22D6gstandardized","ALCg"
"KE18","1001","Amaranth, whole grain, dry, raw","Amaranthus spp ","CEREALS AND CEREAL PRODUCTS","KEN93-59, US28-20001, IN17-A002",1,1520,360,10,14.7,5.6,59.2,7.5,3.1,162,9.5,270,397,413,3,2.5,21,0,0,0,0,0.07,0.21,0.5,82,82,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1046","Amaranth, whole grain, dry, stewed (without salt)",NA,"CEREALS AND CEREAL PRODUCTS",NA,1,510,121,69.8,4.9,1.9,19.9,2.5,1.1,56,3.2,91,133,139,3,0.85,7,0,0,0,0,0.02,0.07,0.2,22,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1002","Amaranth, whole grain, flour","Amaranthus spp","CEREALS AND CEREAL PRODUCTS","KEN93-59, US28-20001,IN17-A001,IN17-A002",1,1540,365,10.2,13.8,6.3,59.6,7.1,3,161,8.9,259,405,461,3,2.7,20,0,0,0,1,0.08,0.15,0.7,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1003","Biscuit, Savoury",NA,"CEREALS AND CEREAL PRODUCTS","KEN93-307 a,AU14-02C10122,AU14-02C10117",1,2060,492,4.5,6.6,24.9,58.9,3.3,1.9,38,1.4,27,177,161,637,0.83,15,8,10,7,15,0.16,0.06,1.3,21,21,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1004","Biscuit, Sweet",NA,"CEREALS AND CEREAL PRODUCTS","KEN93-307 b,AU14-02C20287,AU14-02C20380",1,1930,460,4.3,6.1,17.2,69.3,2.1,1.1,45,1.4,19,98,158,298,0.6,10,40,42,38.5,20,0.09,0.03,0.7,23,23,0.1,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1005","Bread, Brown",NA,"CEREALS AND CEREAL PRODUCTS","KEN93-1,AU14-02B10605,AU14-02B10649,AU14-02B10751",1,1040,245,36,8,1.5,46.9,5.9,1.7,56,2.6,58,134,191,446,1.3,13,0,0,0,0,0.22,0.01,3.4,37,37,0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1006","Bread, Sweet",NA,"CEREALS AND CEREAL PRODUCTS","KEN93-2,AU14-02B10603,AU14-02B10749",1,1540,368,23.5,8.3,14.4,50.6,1.5,1.8,80,1.9,18,147,227,369,0.8,20,74,77,70,43,0.2,0.16,2.3,33,33,0.23,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1007","Bread, White",NA,"CEREALS AND CEREAL PRODUCTS","KEN93-2,AU14-02B10603,AU14-02B10749",1,1050,249,36.9,7.7,1.9,48.8,3.1,1.7,37,1.7,27,95,120,466,0.8,10,0,0,0,0,0.16,0.06,3.8,28,28,0.07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1008","Breakfast cereal, flakes of corn, fortified (iron, thiamine, riboflavin, niacin and folate)",NA,"CEREALS AND CEREAL PRODUCTS","KEN93-6, KEN93-7, ZA10-3243, AU14-02D10360, UK7-11-745",1,1580,372,3.5,7.5,0.7,82.6,2.95,2.8,3.2,10.2,13,45,110,1090,0.2,5.5,11,21,0,128,1,1.5,17.7,422,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1009","Breakfast cereal, flakes of corn",NA,"CEREALS AND CEREAL PRODUCTS","KEN93-6, KEN93-7, ZA10-3243, UK7-11-745",1,1580,373,3.5,7.5,0.7,83,2.6,2.8,3,0.4,13,45,110,1090,0.2,9,10,21,0,125,0,0.08,0.8,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1010","Breakfast cereal, wheat biscuits, Weetabix type",NA,"CEREALS AND CEREAL PRODUCTS","KEN93-25, ZA10-3244, UK7-11-774",1,1550,366,3.8,11.5,1.9,70.7,9.9,2.1,30,7.6,125,308,392,360,2,5.1,0,0,0,0,1,1.24,11,53,53,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KE18","1011","Buns, Currant",NA,"CEREALS AND CEREAL PRODUCTS","KEN93-308, UK7-11-1009, AU14-02E20116",1,1290,306,29,7,6.8,52.8,2.9,1.5,90,2.5,27,100,210,100,0.6,9,0,0,0,1,0.2,0.03,2.1,12,12,0,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
