"Priority","fdc_id","food_desc","food_group","Edible_factor_in_FCT","ENERCkJ","ENERCkcal_standardised","WATERg","CHOAVLDFg","NTg","PROCNTg","PROPLAg","PROANIg","FIBTGg","ASHg","FATg","CHOLEg","CHOLEmg","FASATg","FAMSg","FAPUg","STARCHg","SUGARg","CAmg","FEmg","MGmg","Pmg","Kmg","NAmg","ZNmg","CUmg","SEmcg","MNmcg","VITAmcg","CARBEQmcg","VITDmcg","VITEmg","THIAmg","RIBFmg","NIAmg","VITB6_mg","FOLmcg","VITCmg","source_fct","nutrient_data_source"
1,"011001","Maize, sorghum and wheat grains, boiled (Likhobe)","GRAINS",1,434.7548,108.209125532,73.2480988593156,19.521863118,0.469201520912548,2.93250951,2.93250950570342,0,2.79467681,1.8412548,1.82129278,0,0,0.241539923954373,0.404752851711027,0.98745247148289,5.82604562737643,0.0389733840304183,25.237643,1.00998098859316,33.536122,97.05798,104.3203422,207.604562737643,0.469106463878327,0.128707224334601,0,66.957319391635,0.0285171102661597,0,0,0.592395436355823,0.0645057034220532,0.0232699619771863,0.566178707224335,0.0326235741444867,3.5171102661597,0,"LS06","Recipe"
1,"011002","Maize meal, super, white, unfortified, raw","GRAINS",1,1471.4,341.4,12,74,1.23,7.7,7.7,0,4.9,0.5,1.4,NA,NA,0.189,0.28,0.42,67.2,6.8,3,0.7,36,60,108,3,0.58,0.1,NA,170,10,NA,0,0.34,0.13,0.02,0.8,0.17,8,0.12,"LS06","MRC05"
1,"011042","Maize meal, super, white, fortified, raw","GRAINS",1,1482.9,343.7,12.1,74,1.22,7.6,7.6,0,4.1,0.5,1.7,0,0,0.195,0.32,0.491,74.6,0,5,2.6,38,60,98,3,2.07,0.1,NA,190,184,NA,NA,0.36,0.43,0.19,3.5,0.63,210,0.12,"LS06","MRC05"
1,"011003","Maize meal, white, sifted, unfortified, raw","GRAINS",1,1482.7,336.9,11.9,68,1.33,8.3,8.3,0,7.3,0.9,3.3,0,0,0.462,0.897,1.431,68.4,9.9,3,1.5,98,190,196,3,1.67,0.16,NA,360,12,NA,NA,0.56,0.38,0.05,1.7,0.31,29,128,"LS06","MRC05"
1,"011043","Maize meal, white, sifted, fortified, raw","GRAINS",1,1487.8,340.4,11.8,69,1.35,8.4,8.4,0,6.7,0.9,3.2,0,0,0.421,0.825,1.376,68.5,0.5,12,3.2,98,90,197,4,2.98,0.16,NA,330,196,NA,NA,0.62,0.68,0.23,4.6,0.75,225,125,"LS06","MRC05"
1,"011004","Maize meal, yellow, refined, raw","GRAINS",1,1488.2,386.5,13,81.6,1.424,8.9,8.9,0,3.4,0.6,2.5,0,0,0.33,0.78,0.95,NA,0,4,0.7,75,174,251,7,0.9,0.09,0,300,49,NA,0,0.64,0.32,0.04,0.9,0.06,16,0,"LS06","SA91"
1,"011005","Maize meal, special, white, unfortified, raw","GRAINS",1,1493.6,344.9,12,71.5,1.24,7.7,7.7,0,5.2,0.8,2.9,0,0,0.392,0.78,1.255,70.3,1.2,9,2.9,88,175,186,4,2.91,0.14,NA,290,235,NA,NA,0.62,0.77,0.21,4.6,0.72,265,131,"LS06","MRC05"
1,"011006","Maize meal, special, white, fortified, raw","GRAINS",1,1497.7,344.5,11.6,71.5,1.23,7.6,7.6,0,5.5,0.8,2.9,NA,NA,0.392,0.78,1.255,69.9,1.6,6,1.2,83,105,180,7,1.53,0.22,0,540,23,NA,0,0.49,0.38,0.05,1.6,0.37,42,126,"LS06","MRC05"
1,"011007","Maize, whole grain, white, dried, raw","GRAINS",1,1450.39,378.7,13,75.3,1.472,9.2,9.2,0,10.6,1.13,4.3,0,0,0.53,1.23,1.94,NA,0,10,3,123,241,346,11,2.3,0.2,0,700,0,NA,0,1.3,0.5,0.12,2.2,0.3,33,0,"LS06","SA91"
1,"011040","Maize, whole, grain, white, dried, roasted (Machechisa)","GRAINS",1,629.3633,142.977816124,67.4157303370787,28.202247191,0.551310861423221,3.43249287,3.43249287234778,0,3.95482874,0.4215997,1.60431732,0,0,0.19774143721134,0.458909373150845,0.723808279603772,0,0,3.730971,1.11929115402645,45.890937,89.91639,129.0915798,4.10406756476365,0.858123218086946,0.0746194102684301,0,261.167935939505,0,0,0,0.485026166744795,0.158566246820414,0.0380558992368993,0.779772837305094,0.0839468365519838,6.15610134714548,0,"LS06","Recipe"
1,"011010","Maize, whole grain, yellow, dried, raw","GRAINS",1,1450.39,378.7,13,75.3,1.472,9.2,9.2,0,10.6,1.13,4.3,0,0,0.53,1.23,1.94,NA,0,10,3,123,241,346,11,2.3,0.2,0,700,49,NA,0,1.3,0.5,0.12,2.2,0.3,33,0,"LS06","SA91"
1,"011014","Maize samp/rice , white, raw","GRAINS",1,1454,387.1,13,85.9,1.408,8.8,8.8,0,3.2,0.6,0.7,0,0,0.09,0.21,0.28,NA,0,3,0.6,28,60,110,3,0.5,0.07,0,100,0,NA,0,0.18,0.13,0.01,0.5,0.025,10,0,"LS06","SA91"
1,"011015","Maize samp/rice, white, boiled","GRAINS",1,364,98.6,78.2,21.5,0.352,2.2,2.2,0,0.8,0.2,0.2,0,0,0.03,0.05,0.07,NA,0,1,0.2,7,15,28,1,0.13,0.02,0,30,0,NA,0,0.05,0.03,0,0.1,0.006,3,0,"LS06","SA91"
1,"011038","Maize samp with dried beans (Umngdusho)","GRAINS",1,613.5835,146.57236842,62.3774671052632,27.158717105,0.845394736842105,5.28371711,5.28371710526316,0,4.64638158,1.004523,1.64473684,0,0,0.213610197368421,0.301027960526316,1.05123355263158,0,0,19.777961,1.33758223684211,10.365954,46.05674,257.3560855,171.052631578947,0.625411184210526,0.20139802631579,0,0,0.0370065789473684,NA,0,0.590707236842105,0.0715460526315789,0.0197368421052632,0.370065789473684,0.0569901315789474,39.0625,0.616776315789474,"LS06","Recipe"
1,"011018","Hard porridge from white maize meal, boiled (Papa )","GRAINS",1,568.8838,148.98012229,66.632874617737,31.19266055,0.54434250764526,3.40214067,3.40214067278287,0,1.29969419,0.3396024,0.95565749,0,0,0.126146788990826,0.298165137614679,0.363149847094801,0,0,3.733945,0.267584097859327,29.772171,66.51376,95.9480122,4.88073394495413,0.344036697247706,0.0421207951070336,0,114.678899082569,0,NA,0,0.244648318042813,0.073394495412844,0.00917431192660551,0.206422018348624,0.0137614678899083,3.05810397553517,0,"LS06","Recipe"
1,"011019","Soft porridge from white maize meal, boiled (Lesheleshele)","GRAINS",1,291.5675,75.2318339,82.7470588235294,16.297577855,0.197093425605536,1.23183391,1.2318339100346,0,0.47058824,0.2598616,0.34602076,0,0,0.0456747404844291,0.107958477508651,0.131487889273356,0,5.00346020761246,7.567474,0.273356401384083,12.460208,25.0692,52.5951557,5.1280276816609,0.124567474048443,0.0246782006920415,0,41.522491349481,0,NA,0,0.0885813148788927,0.0268858131487889,0.0042560553633218,0.0809688581314879,0.00498269896193772,1.10726643598616,0,"LS06","Recipe"
