"fdc_id","food_desc","source_fct","comments","food_group","previous_fcd_id","nutrient_data_source","footnote","Edible_factor_in_FCT","specific_gravity","total_solids","XN","XFA","WATERg","NTg","PROCNTg","FAT_g","CHOAVLMg","ENERCkcal","ENERCkJ","STARCHMg","OLSACMg","SUGARMg","GLUSg","GALSg","FRUSg","SUCSMg","MALSMg","LACSMg","ALCg_100mL","NSPg","FIBTGg","FASATg_100gFAT","FASATg","FAPUN6g_100gFAT","FAPUN6g","FAPUN3g_100gFAT","FAPUN3g","cisFAMSg_100gFAT","cisFAMSg","FAMSg_100gFAT","FAMSg","cisFAPUg_100gFAT","cisFAPUg","FAPUg_100gFAT","FAPUg","exFASATg_100gFAT","exFASATg","brFACIDg_100gFAT","brFACIDg","FATRNg_100gFAT","FATRNg","CHOLmg","NAmg","Kmg","CAmg","MGmg","Pmg","FEmg","CUmg","ZNmg","CLDmg","MNmg","SEmcg","IDmcg","RETOLmcg","CARTBEQmcg","VITAmcg","VITDmcg","VITEmg","VITKmcg","THIAmg","RIBFmg","NIAmg","NIATRPmg","NIAEQmg","VITB6_mg","VITB12mcg","FOLmcg","PANTACmg","BIOTmcg","VITCmg","transRETOLmg","cisRETOLmg","dehydroRETOLmg","RETALDmcg","CARTAmcg","CARTBmcg","Cryptoxanthinsmcg","Luteinmcg","LYCOmcg","CHOCALOHmcg","CHOCALmcg","methylFOLmcg","TOCPHAmg","TOCPHBmg","TOCPHDmg","TOCPHGmg","TOCTRAmg","TOCTRGmg","FAC4:0","FAC6:0","FAC8:0","FAC10:0","FAC11:0xb","FAC12:0","FAC12:0xb","FAC13:0","FAC13:0xb","FAC14:0","FAC14:0xb","FAC15:0","FAC15:0xb","FAC16:0","FAC16:0xb","FAC17:0","FAC17:0xb","FAC18:0","FAC18:0xb","FAC19:0","FAC20:0","FAC20:0xb","FAC22:0","FAC22:0xb","FAC24:0","FAC24:0xb","FAC25:0xb","FOD4:0","FOD6:0","FOD8:0","FOD10:0","FOD11:0xb","FOD12:0","FOD12:0xb","FOD13:0","FOD13:0xb","FOD14:0","FOD14:0xb","FOD15:0","FOD15:0xb","FOD16:0","FOD16:0xb","FOD17:0","FOD17:0xb","FOD18:0","FOD18:0xb","FOD19:0","FOD20:0","FOD20:0xb","FOD22:0","FOD22:0xb","FOD24:0","FOD24:0xb","FOD25:0xb","FAC10:1","FAC10:1c","FAC12:1","FAC12:1c","FAC14:1","FAC14:1c","FAC15:1","FAC15:1c","FAC16:1","FAC16:1c","FAC17:1","FAC17:1c","FAC18:1","FAC18:1c","FAC18:1n9","FAC18:1n7","FAC20:1","FAC20:1c","FAC22:1","FAC22:1c","FAC22:1n11","FAC22:1n9","FAC24:1","FAC24:1c","MONOFACtr","FOD10:1","FOD10:1c","FOD12:1","FOD12:1c","FOD14:1","FOD14:1c","FOD15:1","FOD15:1c","FOD16:1","FOD16:1c","FOD17:1","FOD17:1c","FOD18:1","FOD18:1c","FOD18:1n9","FOD18:1n7","FOD20:1","FOD20:1c","FOD22:1","FOD22:1c","FOD22:1n11","FOD22:1n9","FOD24:1","FOD24:1c","MONOFODtr","FAC16:2","FAC16:2c","FAC16:3c","FAC16:4","FAC16:4c","FAC16 poly","FAC18:2","FAC18:2cn6","FAC18:3","FAC18:3cn3","FAC18:3cn6","FAC18:4","FAC18:4cn3","FAC18 poly","FAC20:2","FAC20:2cn6","FAC20:3","FAC20:3cn6","FAC20:4","FAC20:4cn6","FAC20:5","FAC20:5cn3","FAC20 poly","FAC21:5","FAC21:5cn3","FAC22:2","FAC22:2cn6","FAC22:3cn6","FAC22:4","FAC22:4cn6","FAC22:5","FAC22:5cn3","FAC22:6","FAC22:6cn3","FAC22 poly","POLYFACtr","FOD16:2","FOD16:2c","FOD16:3","FOD16:4","FOD16:4c","FOD16 poly","FOD18:2","FOD18:2cn6","FOD18:3","FOD18:3cn3","FOD18:3cn6","FOD18:4","FOD18:4cn3","FOD18 poly","FOD20:2","FOD20:2cn6","FOD20:3","FOD20:3cn6","FOD20:4","FOD20:4cn6","FOD20:5","F20D5N3g","FOD20 poly","FOD21:5","FOD21:5cn3","FOD22:2","FOD22:2cn6","FOD22:3cn6","FOD22:4","FOD22:4cn6","FOD22:5","FOD22:5cn3","FOD22:6","F22D6N3g","FOD22 poly","POLYFODtr","Total PHYTO","Other CHOL and PHYTO","PHYTO","BSITPHYTO","BRASPHYTO","CAMPHYTO","D5AVEN","D7AVEN","D7STIG","STIGPHYTO","CITA","MALA","CHOALVg"
"13-145","Ackee, canned, drained","UK21","8 cans","DG","554","MW4, 1978; and Vegetables, Herbs and Spices Supplement, 1991",NA,NA,NA,NA,NA,"0.800","76.7","0.46","2.9","15.2","0.8","151","625","0",NA,"0.8","0.1","0.0","0","0.7","0.0","0.0",NA,NA,NA,NA,NA,"4.30","0.52","0.60","0.07","58.50","7.11",NA,NA,"4.90","0.60",NA,NA,"36.50","4.44","0.10","0.01","0.00","0.00","0.0","240","270","35","40","47","0.70","0.27","0.6","340",NA,NA,"0","0",NA,NA,"0.0",NA,NA,"0.03","0.07","0.6","0.5","1.1000000000000001","0.06","0.0","41",NA,NA,"30",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00","0.00","0.00","0.00",NA,NA,"0.00",NA,NA,NA,"0.10",NA,"0.00",NA,"24.80",NA,"0.10",NA,"10.80",NA,NA,"0.60",NA,"0.10",NA,"0.00",NA,"0.00","0.00","0.00","0.00",NA,NA,"0.00",NA,NA,NA,"0.01",NA,"0.00",NA,"3.02",NA,"0.01",NA,"1.31",NA,NA,"0.07",NA,"0.01",NA,"0.00",NA,NA,"0.00",NA,"0.00",NA,"0.00",NA,"0.00",NA,"0.40",NA,"0.00",NA,"57.70","56.90","0.80",NA,"0.40",NA,"0.00","0.00","0.00",NA,"0.00","0.00",NA,"0.00",NA,"0.00",NA,"0.00",NA,"0.00",NA,"0.05",NA,"0.00",NA,"7.02","6.92","0.10",NA,"0.05",NA,"0.00","0.00","0.00",NA,"0.00","0.00",NA,NA,NA,NA,NA,NA,NA,"4.30",NA,"0.60","0.00",NA,"0.00",NA,NA,NA,NA,"0.00",NA,"0.00",NA,"0.00",NA,NA,NA,NA,NA,NA,NA,"0.00",NA,"0.00",NA,"0.00",NA,"0.00",NA,NA,NA,NA,NA,NA,NA,"0.57",NA,"0.07","0.00",NA,"0.00",NA,NA,NA,NA,"0.00",NA,"0.00",NA,"0.00",NA,NA,NA,NA,NA,NA,NA,"0.00",NA,"0.00",NA,"0.00",NA,"0.00","17.9","0.8",NA,"4.8","0.0","0.3","0.0",NA,NA,"12.0",NA,NA,0.761904761904762
"13-146","Agar, dried","UK21","Literature sources","DG",NA,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",NA,"1.00",NA,NA,NA,NA,"9.7","0.26","1.3","1.2","0","16","67","0.0",NA,"0","0.0","0.0","0.0","0.0","0.0","0.0",NA,"81.1",NA,NA,"0.30",NA,NA,NA,NA,NA,NA,NA,"0.10",NA,NA,NA,"0.40",NA,NA,NA,NA,NA,NA,"0.0","110","110","760","620","50","20.60",NA,"14.4",NA,"4.30",NA,NA,"0","0","0","0.0","0",NA,"0.01","0.22","0.2",NA,NA,"0","0.0","0","0","0","0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"13-147","Agar, dried, soaked and drained","UK21","Literature sources","DG",NA,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",NA,"1.00",NA,NA,NA,NA,"84.2","0.03","0.2","0.1","0","2","7","0.0",NA,"0","0.0","0.0","0.0","0.0","0.0","0.0",NA,"15.0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"0.0","10","20","110","75","8","3.50",NA,"2.5",NA,"0.40",NA,NA,"0","0","0","0.0","0",NA,"0.01","0.04","0.1",NA,NA,"0","0.0","0","0","0","0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"13-148","Alfalfa sprouts, raw","UK21","Analytical and literature sources","DG",NA,"Vegetables, Herbs and Spices Supplement, 1991",NA,"1.00",NA,NA,NA,NA,"93.4","0.64","4.0","0.7","0.4","24","100","0",NA,"0.3","0.1","0.0","0.2","0","0.0","0.0",NA,"1.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0","6","79","32","27","70","1.00","0.16","0.9",NA,"0.20",NA,NA,"0","96","16","0.0",NA,NA,"0.04","0.06","0.5","0.6","1.1000000000000001","0.03","0.0","36","0.56",NA,"2",NA,NA,NA,NA,"0","96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.380952380952381
"13-801","Allspice, ground","UK21","Literature sources","H",NA,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",NA,"1.00",NA,NA,NA,NA,"8.5","0.98","6.1","8.7",NA,NA,NA,NA,NA,NA,NA,"0.0",NA,NA,"0.0","0.0",NA,NA,NA,NA,"2.50",NA,NA,NA,NA,NA,NA,NA,"0.70",NA,NA,NA,"2.40",NA,NA,NA,NA,NA,NA,"0.0","77","1040","660","130","110","7.10","0.55","1.0",NA,"1.70",NA,NA,"0","325","54","0.0",NA,NA,"0.10","0.06","2.9",NA,NA,NA,"0.0","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14-870","Almonds, flaked and ground","UK21","10 samples","GA","14-801 14-855 50-972","Reviewed 2013. LGC, Snacks and nuts, 1989-1991; and Fatty Acid Supplement, 1998 (14-855). Selenium from Analysis of foods for Selenium 1994",NA,"1.00",NA,NA,"5.18","0.956","4.2","4.07","21.1","55.8","6.9","612","2534","2.7",NA,"4.2","0",NA,"0","4.2","0.0","0.0","0.0","7.4",NA,NA,"4.43","19.10","10.19","0.50","0.27","71.60","38.19",NA,"38.19","19.60","10.46",NA,"10.46","8.30","4.43","0.00","0.00","0.00","0.00","0.0","14","780","240","270","550","3.00","1.00","3.2","18","1.70","2","2","0","0","0","0.0","23.96",NA,"0.21","0.75","3.1","3.4","6.5","0.15","0.0","48","0.44","64.0","0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,"23.77","0.26","0.00","0.81",NA,NA,"0.00","0.00","0.00","0.00",NA,NA,"0.00",NA,NA,NA,"0.10",NA,"0.00",NA,"6.30",NA,"0.00",NA,"1.70",NA,NA,"0.20",NA,"0.00",NA,"0.00",NA,"0.00","0.00","0.00","0.00",NA,"0.00","0.00",NA,NA,"0.05","0.05","0.00","0.00","3.36","3.36","0.00","0.00","0.91","0.91",NA,"0.11","0.11","0.00",NA,"0.00","0.00",NA,NA,"0.00",NA,"0.00",NA,"0.00",NA,"0.00",NA,"0.70",NA,"0.00",NA,"70.90","70.90","0.00",NA,"0.00",NA,"0.00","0.00","0.00",NA,"0.00","0.00",NA,"0.00",NA,"0.00",NA,"0.00",NA,"0.00",NA,"0.37",NA,"0.00",NA,"37.82","37.82","0.00",NA,"0.00",NA,"0.00","0.00","0.00",NA,"0.00","0.00",NA,NA,NA,NA,NA,NA,NA,"19.10",NA,"0.50","0.00",NA,"0.00",NA,NA,NA,NA,"0.00",NA,"0.00",NA,"0.00",NA,NA,NA,NA,NA,"0.00",NA,"0.00",NA,"0.00",NA,"0.00",NA,"0.00",NA,NA,NA,NA,NA,NA,NA,"10.19",NA,"0.27","0.00",NA,"0.00",NA,NA,NA,NA,"0.00",NA,"0.00",NA,"0.00",NA,NA,NA,NA,NA,NA,NA,"0.00",NA,"0.00",NA,"0.00",NA,"0.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57142857142857
"14-897","Almonds, toasted","UK21","Literature sources","GA","14-803","USDA SR28, 2015",NA,"1",NA,NA,"5.18","0.95599999999999996","2.4","4.05","21","52.5","5.9","579","2394","0.8",NA,"5.0999999999999996","0","0","0","5","0.1","0","0",NA,"10.9",NA,"4.09",NA,NA,NA,NA,NA,NA,NA,"33.08",NA,NA,NA,"12.96",NA,NA,NA,NA,NA,"0.01","0","3","713","268","279","471","3.73","1.1000000000000001","3.3","18","2.23","2","2","0","1","0","0","23.9","0","0.08","1.2","3.6","3.5","7.1","0.14000000000000001","0","55","0.32","49","0",NA,NA,NA,NA,"0","1","0",NA,"0",NA,NA,NA,"23.7","0.32","0.09","0.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0",NA,"0","0","0","0","0.02",NA,"0","0","3.35",NA,"0.01",NA,"0.7",NA,NA,"0.01",NA,"0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0.26",NA,"0.06",NA,"32.75","32.75",NA,NA,"0.01",NA,"0","0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.95","12.95","0.01","0.01",NA,"0","0","0",NA,"0","0","0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,NA,"122",NA,"4",NA,NA,NA,"4",NA,NA,5.61904761904762
"14-898","Almonds, weighed with shells","UK21","Calculated from 14-896","GA","14-883","USDA SR28, 2015",NA,"0.37",NA,NA,"5.18","0.95599999999999996","1.6","1.51","7.8","18.5","1.9","205","847","0.3",NA,"1.6","0.1","0","0","1.5","0","0","0",NA,"4.5999999999999996",NA,"1.41",NA,NA,NA,NA,NA,NA,NA,"11.67",NA,NA,NA,"4.5599999999999996",NA,NA,NA,NA,NA,"0.01","0","0","271","100","100","178","1.37","0.38","1.2","7","0.81","2","1","0","0","0","0","9.48","0","0.08","0.42","1.3","1.3","2.6","0.05","0","16","0.17","23.7","0",NA,NA,NA,NA,"0","0","0",NA,"0",NA,NA,NA,"9.42","0.09","0.03","0.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0",NA,"0","0","0","0","0",NA,"0","0","1.1399999999999999",NA,"0",NA,"0.26",NA,NA,"0",NA,"0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0.09","0.08","0",NA,"11.58","11.58",NA,NA,"0",NA,"0","0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.5599999999999996","4.5599999999999996","0","0","0","0",NA,NA,NA,"0","0","0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,NA,"48.1",NA,"1.9",NA,NA,NA,"1.5",NA,NA,1.80952380952381
"14-896","Almonds, whole kernels","UK21","Literature sources, Prunus dulcis","GA",NA,"USDA SR28, 2015",NA,"1",NA,NA,"5.18","0.95599999999999996","4.4000000000000004","4.09","21.2","49.9","5.3","554","2292","0.8",NA,"4.5","0.2","0.1","0.1","4.0999999999999996","0","0","0",NA,"12.5",NA,"3.8",NA,NA,NA,NA,NA,NA,NA,"31.55",NA,NA,NA,"12.33",NA,NA,NA,NA,NA,"0.02","0","1","733","269","270","481","3.71","1.0309999999999999","3.1","18","2.1800000000000002","4","2","0","1","0","0","25.63","0","0.21","1.1399999999999999","3.6","3.4","7","0.14000000000000001","0","44","0.47","64","0",NA,NA,NA,NA,"0","1","0",NA,"0",NA,NA,NA,"25.47","0.23","7.0000000000000007E-2","0.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0",NA,"0","0","0","0","0",NA,"0","0","3.0830000000000002",NA,"0",NA,"0.70399999999999996",NA,NA,"7.0000000000000001E-3",NA,"0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0.23899999999999999","0.22700000000000001","1.2999999999999999E-2",NA,"31.294","31.294",NA,NA,"5.0000000000000001E-3",NA,"0","0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.324","12.32","0","0","0","0",NA,NA,NA,"0","0","0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,NA,"130",NA,"5",NA,NA,NA,"4",NA,NA,5.04761904761905
"13-150","Amaranth leaves, boiled in unsalted water","UK21","Calculation from raw","DG",NA,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",NA,"1.00",NA,NA,NA,NA,"90.4","0.48","3.0","0.3","0.3","16","67","0.1",NA,"0.2","0","0.0","0.2","0","0.0","0.0",NA,NA,NA,NA,"0.10",NA,NA,NA,NA,NA,NA,NA,"0.10",NA,NA,NA,"0.10",NA,NA,NA,NA,NA,NA,"0.0","11","540","220","110","54","2.40","0.11","0.5","12","0.90",NA,NA,"0","1490","245","0.0",NA,NA,"0.03","0.16","0.7","0.8","1.5",NA,"0.0","51",NA,NA,"31",NA,NA,NA,NA,"160","1370","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.285714285714286
