"","original_food_id","original_food_name","food_genus_id","food_genus_description","food_group","food_subgroup","food_genus_confidence","fct_name","data_reference_original_id","moisture_in_g","energy_in_kcal","energy_in_kj","nitrogen_in_g","totalprotein_in_g","totalfats_in_g","saturatedfa_in_g","monounsaturatedfa_in_g","polyunsaturatedfa_in_g","cholesterol_in_mg","carbohydrates_in_g","fibre_in_g","ash_in_g","ca_in_mg","fe_in_mg","mg_in_mg","p_in_mg","k_in_mg","na_in_mg","zn_in_mg","cu_in_mg","mn_in_mcg","i_in_mcg","se_in_mcg","vitamina_in_rae_in_mcg","thiamin_in_mg","riboflavin_in_mg","niacin_in_mg","vitaminb6_in_mg","folicacid_in_mcg","folate_in_mcg","vitaminb12_in_mcg","pantothenate_in_mg","biotin_in_mcg","vitaminc_in_mg","vitamind_in_mcg","vitamine_in_mg","phyticacid_in_mg"
"1","MW01_0001","African cake, (Chikondamoyo/Chigumu cha nthochi ndi dzira)",NA,NA,NA,NA,NA,"MAFOODS","R06",49.04652687,215.2001747,910.8545653,0.907557886,5.673656619,2.996941896,NA,NA,NA,NA,38.19956313,3.183704675,0.845565749,14.5330166,1.841431848,54.03343163,22.67931411,292.1036151,12.45455439,0.880482744,0.130510594,323.2852774,0.420489297,0.0054609,5.233289646,0.189174312,0.08396789,0.786693971,0.292342726,NA,14.54991481,0.083005679,NA,NA,3.858453473,NA,0.71996505,NA
"2","MW01_0002","Banana fritters, (Zitumbuwa)",NA,NA,NA,NA,NA,"MAFOODS","R07",54.75505618,188.9955356,800.1579925,0.507086142,3.172434457,2.458426966,0.123445693,0.233707865,0.78741573,0,35.60716105,2.937827715,0.957003745,11.15926592,1.01929588,45.58002996,23.75289888,377.2217079,4.03764794,0.513588015,0.113006742,665.1685393,NA,NA,2.883595506,0.102793258,0.055159551,0.757631461,0.35588764,NA,12.18786966,NA,NA,NA,6.946516854,NA,1.095730337,NA
"3","MW01_0003","Bread, wheat, brown, homemade",NA,NA,NA,NA,NA,"MAFOODS","R44",11.2044702,361.9481236,1530.547737,1.716942605,10.66777042,6.185430464,1.705711921,0.926324503,0.52442053,0,63.21330022,2.688741722,0.82919426,13.48050037,4.316149283,35.68894408,134.2057395,198.4793598,33.6205298,0.30473234,0.03799094,41.98675497,0.177060338,0.002299485,35.22075055,0.390761589,0.187582781,1.929337748,0.181324503,NA,55.92163355,0.039321192,0.097130243,1.068432671,NA,NA,0.55209713,NA
"4","MW01_0004","Bread, wheat, white, commercial, (Buledi wa waiti)",NA,NA,NA,NA,NA,"MAFOODS","2",35.6,255.9,1085.7,1.36,8.5,1.5,NA,NA,NA,NA,48.9,3.2,2.325,55.449,1.188,28.712,101.987,136.643,2000,0.99,0.297,455.475,NA,NA,NA,0.149,0.04,1.188,0.071,NA,29.705,0,0.307,NA,NA,NA,NA,NA
"5","MW01_0005","Bread, wheat, white, homemade, (Buledi wa waiti)",NA,NA,NA,NA,NA,"MAFOODS","8",37.2,269.75,1140.75,1.65,10.35,4.55,NA,NA,NA,NA,46.5,0.35,1.4,27.6193,1.187,22.747,91.977,115.71,540.97,0.593,0.158,NA,NA,NA,0,0.518,0.049,1.483,0.059,NA,28.68,0,NA,NA,0,0,0,NA
"6","MW01_0006","Cake, banana, (Keke ya nthochi)",NA,NA,NA,NA,NA,"MAFOODS","R30",32.77569731,334.6751808,1404.990741,0.854209711,5.09375,13.90302169,6.160059401,3.345170455,1.999289773,NA,45.94510589,1.348140496,0.879907025,14.83729339,0.785640496,18.46849174,67.40702479,186.003422,133.1598657,0.455255682,0.072954545,483.161157,NA,NA,125.9958678,0.252732438,0.340552686,2.870958161,0.444979339,NA,39.65095558,0.386428202,0.135433884,0.294421488,3.421487603,NA,1.655552686,NA
"7","MW01_0007","Cake, plain, (Keke)",NA,NA,NA,NA,NA,"MAFOODS","R65",39.62870463,293.2835498,1232.784382,0.937728938,5.551365301,10.93656344,4.168831169,2.263736264,1.417582418,NA,42.48293373,0.679320679,0.715950716,59.39060939,0.670995671,12.23776224,87.41258741,105.3663004,113.0869131,0.501665002,0.055944056,228.011988,NA,NA,108.9477189,0.181884782,0.282450882,2.314851815,0.223989344,NA,29.58374958,0.271395271,0.165434565,0.37962038,0.187312687,NA,1.052114552,NA
"8","MW01_0008","Cassava stew, with pigeon pea, (Chinangwa chophika ndi nandolo)",NA,NA,NA,NA,NA,"MAFOODS","R17",89.90275008,40.07293577,170.1604227,0.200416751,1.251043072,0.119643433,NA,0,NA,0,7.763817871,0.734182439,0.338338225,29.85493414,0.697884838,18.13104021,21.48095924,70.76739954,16.41240701,0.341422089,0.178365356,65.70428095,0.275843951,0.44306748,1.580455348,0.035639934,0.015155117,0.218212794,0.024893782,NA,17.97102098,0,0.000487491,NA,3.179894081,0,0.060192494,NA
"9","MW01_0009","Cassava thick porridge, (Kondowole)",NA,NA,NA,NA,NA,"MAFOODS","R16",84.19126437,63.92827586,271.2422989,0.057931034,0.362298851,0.362298851,NA,0,NA,0,14.0983908,0.706206897,0.290574713,29.50436782,0.097816092,11.76091954,18.6583908,101.017977,5.434482759,0.135016092,0.040071264,NA,1.770114943,0.022988506,NA,0.010144368,0.017933793,0.195641379,0.027715862,NA,5.959816092,0,NA,NA,0.579678161,0,NA,NA
"10","MW01_0010","Cassava, tuber, boiled, (Chinangwa chophika)",NA,NA,NA,NA,NA,"MAFOODS","9",63,145.7824,619.2432,0.17,1.062,0.2656,NA,0,NA,0,33.105,1.681,0.885,26,0.619,22,43,263,7,0.6,0.2,280,NA,NA,0.885,0.0265,0.044,0.443,0.062,NA,14.1463,NA,NA,NA,19.474,0,0.177,NA
"11","MW01_0011","Cassava, tuber, raw, (Chinangwa chachiwisi)",NA,NA,NA,NA,NA,"MAFOODS","10",59.68,159.557,677.736,0.195,1.219,0.305,NA,0,NA,0,36.156,1.828,1.01562,31.5952,0.42315,33.7311,47.734,275.232,14.214,0.43121,0.114049,NA,NA,0.247442,1.01562,0.041,0.051,0.7118,0.091,NA,24.375,0,NA,NA,30.469,0,0.193,NA
"12","MW01_0012","Cocoyam, tuber, boiled, (Masimbi/koko wowilitsa)",NA,NA,NA,NA,NA,"MAFOODS","WA",63.2,144.6,614.3,0.4,2.5,0.2,NA,0,NA,0,28.9,4.3,1.3,11,0.6,12,57,384,6,0.36,0.15,NA,NA,NA,NA,0.1,0.03,0.8,0.24,NA,22,0,NA,NA,8,0,2.4,NA
"13","MW01_0013","Cocoyam, tuber, raw, (Masimbi/koko)",NA,NA,NA,NA,NA,"MAFOODS","WA",64.7,137.4,583.7,0.384,2.4,0.2,NA,NA,NA,0,27.4,4.1,1.2,11,0.6,13,58,457,7,1.38,0.16,NA,NA,NA,NA,0.1,0.03,0.8,0.24,NA,22,0,NA,NA,8,0,2.4,NA
"14","MW01_0014","Doughnuts (Mandasi)",NA,NA,NA,NA,NA,"MAFOODS","R05",48.9780658,211.1041874,892.4725823,1.082120306,6.773263543,3.776171486,NA,NA,NA,NA,37.02783317,0.478564307,0.608840146,58.32502493,2.002858092,14.59102692,96.82472582,128.356876,38.09332004,0.253406447,NA,NA,NA,NA,23.96144899,0.116259555,0.137879694,0.372107012,0.047185111,NA,11.43652376,0.267115321,NA,NA,0.353107345,NA,0.053406447,NA
"15","MW01_0015","Dumplings, (Dampuling'i)",NA,NA,NA,NA,NA,"MAFOODS","R28",39.76867031,293.8657923,1232.743939,1.53132969,9.575236794,12.94854281,0.922301913,1.722848361,4.941939891,NA,33.10056922,1.656420765,0.750910747,46.92622951,2.687454463,31.40122951,168.567179,155.1410337,51.26010929,0.785291439,0.040881148,449.4535519,NA,NA,28.08515483,0.202399818,0.192392987,0.42692623,0.0568602,NA,20.09392077,43.30555556,0.146490779,2.350665984,0.133196721,NA,3.029052823,NA
"16","MW01_0016","Finger millet, grain, raw, (Mawere)",NA,NA,NA,NA,NA,"MAFOODS","10",8.67,378.236,1602.208,1.8016,11.261,4.236,NA,NA,NA,0,64.675,9.092,2.066,300.377,10.1343,146.993,321.308,392.595,19.63,1.83513,0.518584,NA,NA,3.02203,0,0.31,0.134,1.756,0.754,NA,29.961,0,0,NA,0,0,0.052,NA
"17","MW01_0017","Flour, cassava, raw, (Ufa wa kondowole)",NA,NA,NA,NA,NA,"MAFOODS","11",14.04,347.61,1474.88,0.315,1.97,1.97,NA,NA,NA,0,76.66,3.84,1.58,135.93,0.53,44.325,101.455,578.195,29.55,0.7289,0.2167,NA,NA,NA,NA,0.06895,0.10835,1.182,0.16745,NA,46.295,0,NA,NA,3.94,0,NA,NA
"18","MW01_0018","Flour, maize, white, degermed-dehulled, unfortified, raw, (Ufa wa galamilu)",NA,NA,NA,NA,NA,"MAFOODS","4",12.19,367.02,1554.91,1.758,10.99,3.94,NA,NA,NA,0,71.67,0.23,0.98,3.903,0.976,31.221,89.761,139.52,1.951,0.498,0.107,NA,NA,NA,0,0.127,0.039,0.781,0.078,NA,9.757,0,NA,NA,0,0,0.41,NA
"19","MW01_0019","Flour, maize, white, whole, unfortified, raw, (Mgaiwa)",NA,NA,NA,NA,NA,"MAFOODS","6",12.3,374.3,1583.9,1.664,10.4,5.5,NA,NA,NA,0,65.5,5.3,1,17.837,3.766,92.159,1.962,312.153,10.901,1.714,0.228,NA,NA,NA,0,0.495,0.119,1.387,0.367,NA,24.774,0,NA,NA,0,0,1.288,NA
"20","MW01_0020","Flour, maize, white,degermed-dehulled,fermented, unfortified, raw, (Ufa woyera)",NA,NA,NA,NA,NA,"MAFOODS","9",10,371.504,1575.202,1.238,7.738,2.952,NA,NA,NA,0,72.896,5.6,0.814,3,1.222,21,102,99,0,0.8,0.1,140,NA,NA,0,0.387,0.051,1.629,0.377,NA,29.525,0,NA,NA,0,0,0.499,NA
