original_food_id,region,original_food_name,food_genus_id,food_genus_description,food_group,food_subgroup,food_genus_confidence,fct_name,data_reference_original_id,moisture_in_g,energy_in_kcal,energy_in_kj,nitrogen_in_g,totalprotein_in_g,totalfats_in_g,saturatedfa_in_g,monounsaturatedfa_in_g,polyunsaturatedfa_in_g,cholesterol_in_mg,carbohydrates_in_g,fibre_in_g,ash_in_g,ca_in_mg,fe_in_mg,mg_in_mg,p_in_mg,k_in_mg,na_in_mg,zn_in_mg,cu_in_mg,mn_in_mcg,i_in_mcg,se_in_mcg,vitamina_in_rae_in_mcg,thiamin_in_mg,riboflavin_in_mg,niacin_in_mg,vitaminb6_in_mg,folicacid_in_mcg,folate_in_mcg,vitaminb12_in_mcg,pantothenate_in_mg,biotin_in_mcg,vitaminc_in_mg,vitamind_in_mcg,vitamine_in_mg,phyticacid_in_mg
NA,M,Apples,1341.01,"apples, raw",Fruits and Vegetables,Apples and products,h,regional-SSA-fct,NA,NA,43,NA,NA,0.3,0.1,NA,NA,NA,NA,10,2.3,NA,5,0,3,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
NA,E,Apples,1341.01,"apples, raw",Fruits and Vegetables,Apples and products,h,regional-SSA-fct,NA,NA,52,NA,NA,0.2,0.2,NA,NA,NA,NA,11.4,2.4,NA,6,0.1,5,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
NA,S,Apples,1341.01,"apples, raw",Fruits and Vegetables,Apples and products,h,regional-SSA-fct,NA,NA,63.814531,NA,NA,0.2,0.1,NA,NA,NA,NA,13,2.3,NA,2,0.3,3,NA,NA,NA,0.09,0.07,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
NA,W,Apples,1341.01,"apples, raw",Fruits and Vegetables,Apples and products,h,regional-SSA-fct,NA,NA,43,NA,NA,0.3,0.1,NA,NA,NA,NA,10,2.3,NA,5,0,3,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
NA,M,Aquatic Plants,1594.01,"red algae, raw",Fruits and Vegetables,Aquatic Plants,m,regional-SSA-fct,NA,NA,26,NA,NA,0.54,0.03,NA,NA,NA,NA,6.25,0.5,NA,54,1.9,67,NA,NA,NA,0.6,0.1,NA,1470,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,E,Aquatic Plants,1594.01,"red algae, raw",Fruits and Vegetables,Aquatic Plants,m,regional-SSA-fct,NA,NA,26,NA,NA,0.54,0.03,NA,NA,NA,NA,6.25,0.5,NA,54,1.9,67,NA,NA,NA,0.6,0.1,NA,1470,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Aquatic Plants,1594.01,"red algae, raw",Fruits and Vegetables,Aquatic Plants,m,regional-SSA-fct,NA,NA,26,NA,NA,0.54,0.03,NA,NA,NA,NA,6.25,0.5,NA,54,1.9,67,NA,NA,NA,0.6,0.1,NA,1470,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Aquatic Plants,1594.01,"red algae, raw",Fruits and Vegetables,Aquatic Plants,m,regional-SSA-fct,NA,NA,26,NA,NA,0.54,0.03,NA,NA,NA,NA,6.25,0.5,NA,54,1.9,67,NA,NA,NA,0.6,0.1,NA,1470,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,M,Bananas,1312.01,"banana, raw",Fruits and Vegetables,Bananas and products,h,regional-SSA-fct,NA,NA,100,NA,NA,1.3,0.3,NA,NA,NA,NA,22.2,1.9,NA,8,1,34,NA,NA,NA,1.1,0.06,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
NA,E,Bananas,1312.01,"banana, raw",Fruits and Vegetables,Bananas and products,h,regional-SSA-fct,NA,NA,89,NA,NA,1.1,0.3,NA,NA,NA,NA,20.2,2.6,NA,5,0.3,27,NA,NA,NA,0.2,0.1,NA,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,S,Bananas,1312.01,"banana, raw",Fruits and Vegetables,Bananas and products,h,regional-SSA-fct,NA,NA,91.300191,NA,NA,1.3,0.3,NA,NA,NA,NA,18.8,1.7,NA,2,0.6,21,NA,NA,NA,0.23,0.05,NA,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,W,Bananas,1312.01,"banana, raw",Fruits and Vegetables,Bananas and products,h,regional-SSA-fct,NA,NA,100,NA,NA,1.3,0.3,NA,NA,NA,NA,22.2,1.9,NA,8,1,34,NA,NA,NA,1.1,0.06,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
NA,M,Barley,23140.05.01,"barley grain, pearled",Cereals,Barley and products,m,regional-SSA-fct,NA,NA,126.434034,NA,NA,2.7,0.5,NA,NA,NA,NA,23.8,3.5,NA,11,9.4,22,NA,NA,NA,3.29,0.11,NA,10,37.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452
NA,E,Barley,23140.05.01,"barley grain, pearled",Cereals,Barley and products,m,regional-SSA-fct,NA,NA,126.434034,NA,NA,2.7,0.5,NA,NA,NA,NA,23.8,3.5,NA,11,9.4,22,NA,NA,NA,3.29,0.11,NA,10,37.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452
NA,S,Barley,23140.05.01,"barley grain, pearled",Cereals,Barley and products,m,regional-SSA-fct,NA,NA,126.434034,NA,NA,2.7,0.5,NA,NA,NA,NA,23.8,3.5,NA,11,1.3,22,NA,NA,NA,0.82,0.11,NA,10,37.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452
