"ihs5_foodid","ihs5_fooditem","ref_source","ref_fctcode","ref_fctitem","ref.x","ref.x.x","ref","ref_fct","ref_code","ref_item","fooditem","WATER","ENERC1","VITA_RAE","VITA_fct","VITA_code","THIA","RIBF","NIA","VITB6","VITB6_fct","VITB6_code","FOL","FOL_fct","FOL_code","VITB12","VITC","VITE","VITE_fct","VITE_code","CA","CU","CU_fct","CU_code","FE","ID","K","K_fct","K_code","MG","MG_fct","MG_code","na","SE","SE_fct","SE_code","ZN","ID_cal","FoodName_3","ID_0","FoodName_0","ID_1","FoodName_1","ID_2","FoodName_2","food_genus_id"
"609","Apple","MAFOODS","MW05_0001","apple, average, raw, (apozi)","ZA",NA,NA,NA,NA,NA,"apple, average, raw, (apozi)","83.9","62.9","1.073333333","KENFCT","5001","0.02","0.06","0.2","0.03","","","1","","","0","5","0.16","","","2","0.07",NA,NA,"0.3",NA,"99",NA,NA,"3",NA,NA,"4","1.073333333","","","0.09","0","apples, raw","FV","Fruits and Vegetables","2617","apples and products","1341","apples","1341.01"
"607","Avocado","MAFOODS","MW05_0002","avocado, raw, peeled, persea americana,(peyala losenda)","9",NA,NA,NA,NA,NA,"avocado, raw, peeled, persea americana,(peyala losenda)","78","152.03","5.58","","","0.0558","0.1395","1.674","0.32","","","32.55","","","0","13.02","1.488","","","7","0.3",NA,NA,"0.744",NA,"455",NA,NA,"14",NA,NA,"9","0","KENFCT","5003","0.3","0.001","avocados, raw","FV","Fruits and Vegetables","2625","fruits, other and products","1311","avocados","1311.01"
"602","Banana","MAFOODS","MW05_0004","banana, white fleshed, raw, peeled, musa paradisiaca,(nthochi)","9",NA,NA,NA,NA,NA,"banana, white fleshed, raw, peeled, musa paradisiaca,(nthochi)","72","109.1632","4.24","","","0.0424","0.0424","0.636","0.3604","","","20.14","","","0","11.04","0.3922","","","9","0.0848",NA,NA,"0.318",NA,"391.14",NA,NA,"30.74",NA,NA,"2.13","0","KENFCT","5004","0.2","8e-04","banana, raw","FV","Fruits and Vegetables","2615","bananas and products","1312","bananas","1312.01"
"302","Bean, brown","MAFOODS","MW02_0004","Bean, kidney, dry, Phaseolus vulgaris, (Nyemba zouma)","9",NA,NA,NA,NA,NA,"bean, kidney, dry, phaseolus vulgaris, (nyemba)","11","342.604","0","","","0.537","0.2225","2.076","0.4001","","","397.15","","","0","4.536","0.2217","","","90","0.7",NA,NA,"7.676",NA,"1397",NA,NA,"172",NA,NA,"27","10.375","","","3.3","5e-04","kidney beans, dried, raw","PB","Pulses and Beans","2546","beans and products","1701","beans, dry","1701.03"
"301","Bean, white","WAFCT","03_022","bean, white, dry, raw","1M(384), AU14(13A20122), DK2(568), SA10(3184), pu255, pu261, pu263, pu112, UP1(PHV005)",NA,NA,NA,NA,NA,"bean, white, dry, raw","9.8","320","0","","","0.89","0.11","1.5","0.42","","","410","","","0","0","0.39","","","127","0.9",NA,NA,"8.8",NA,"1700",NA,NA,"197",NA,NA,"33","6.263888889","KENFCT","3005","3.19","5e-04","common beans, dried, raw","PB","Pulses and Beans","2546","beans and products","1701","beans, dry","1701.02"
"504","Beef","MAFOODS","MW03_0006","beef, raw, (nyama ya ng'ombe)","22",NA,NA,NA,NA,NA,"beef, raw, (nyama ya ng'ombe)","72.1","95.07","6.860655738","KENFCT","7002","0.062","0.197799","6.45","0.23944","","","7.287","","","1.457","0","0.23944","","","0.636028","0.104",NA,NA,"7.45",NA,"374.7761",NA,NA,"22.9",NA,NA,"52.05","17.15163934","","","1.77","0.0026","beef, with bones, fresh, raw","AP","Animal Products","2731","bovine meat and products","21111.01","meat of cattle with the bone, fresh or chilled","21111.01.01"
"113","Biscuits","KENFCT","1004","biscuit, sweet",NA,"AU14(02C20287; 02C20364; 02C20286; 02C20314), SA10(3216; 3233; 3296), UK7(11-797; 11-796)",NA,NA,NA,NA,"biscuit, sweet","4.3","460","40","","","0.09","0.03","0.7","0.050157233","WAFCT","01_188","12.03773585","","","0.1","7","2.608176101","","","45","0.100314465",NA,NA,"1.4",NA,"158",NA,NA,"19",NA,NA,"298","10","","","0.6","0.0114","biscuits, sweet, plain","CE","Cereals","2511","wheat and products","F0022","pastry","F0022.03"
"833","Boiled groundnuts","MAFOODS","MW02_0015","groundnut, dry, boiled, arachis hypogae,(mtedza wouma wophika)","9",NA,NA,NA,NA,NA,"groundnut, dry, boiled, arachis hypogae,(mtedza wouma wophika)","49","323.907","0","","","0.474","0.076","8.437","0.321","","","59.872","","","0","0","5.933","","","41","0.4",NA,NA,"2.123",NA,"510",NA,NA,"123",NA,NA,"15","1.281272727","AHHA","8005","1.4","6e-04","peanut, unshelled, boiled","PB","Pulses and Beans","2556","groundnuts (shelled eq) and products","142","groundnuts, excluding shelled","142.05"
"831","Boiled sweet potatoes","MAFOODS","MW01_0066","sweet potato, white-fleshed, without skin, boiled, ipomoea batatas, (mbatata yoyera mkati yowilitsa)","9",NA,NA,NA,NA,NA,"sweet potato, white-fleshed, without skin, boiled, ipomoea batatas, (mbatata yoyera mkati yowilitsa)","76","96.664","6.857142857","KENFCT","2027","0.066","0.013","0.659","0.092","","","7.912","","","0","9.231","0.29","","","19","0.2",NA,NA,"0.396",NA,"302",NA,NA,"11",NA,NA,"10","0","","","0.2","0.00099","sweet potato, white-flesh, boiled","RT","Roots and Tubers","2533","sweet potatoes and products","1530","sweet potatoes","1530.04"
"831","Boiled sweet potatoes","MAFOODS","MW01_0066","sweet potato, white-fleshed, without skin, boiled, ipomoea batatas, (mbatata yoyera mkati yowilitsa)","9",NA,NA,NA,NA,NA,"sweet potato, white-fleshed, without skin, boiled, ipomoea batatas, (mbatata yoyera mkati yowilitsa)","76","96.664","6.857142857","KENFCT","2027","0.066","0.013","0.659","0.092","","","7.912","","","0","9.231","0.29","","","19","0.2",NA,NA,"0.396",NA,"302",NA,NA,"11",NA,NA,"10","0","","","0.2","0.00099","sweet potatoes, orange-flesh, boiled","RT","Roots and Tubers","2533","sweet potatoes and products","1530","sweet potatoes","1530.06"
"911","Bottled / canned beer (Carlsberg, etc.)","WAFCT","12_001","beer, european (4.6% v/v alcohol)","AU14(01A10082), SA10(4031), US28(14003)",NA,NA,NA,NA,NA,"beer, european (4.6% v/v alcohol)","92.3","41","0","","","0.01","0.02","0.5","0.03","","","6","","","0","0","0","","","4","0.01",NA,NA,"0",NA,"33",NA,NA,"9",NA,NA,"10","0","AHHA","22007","0.01","0","beer, regular","OT","Other foods","2656","beer and products","24310.01","Beer of barley, malted","24310.01.01"
"909","Bottled water","MAFOODS","MW08_0008","water, (madzi)","10A",NA,NA,NA,NA,NA,"water, (madzi)","100","0","0","","","0","0","0","0","","","0","","","0","0","0","","","3.92","0.00019",NA,NA,"3e-04","1.54","0",NA,NA,"3.14",NA,NA,"0","0.02","","","0.00084","0","water, drinking, bottled","OT","Other foods","2899","miscellaneous and products","2899.01","water","2899.01.01"
"112","Buns, scones","MAFOODS","MW01_0041","milk scones, (sikono ya mkaka)","R22",NA,NA,NA,NA,NA,"milk scones, (sikono ya mkaka)","46.96008823","224.3621011","32.17756945","","","0.110237816","0.168161577","0.331817743","0.044869373","","","12.90411525","","","0.323292204","0.336044668","0.056372786","","","71.75846143",NA,NA,NA,"1.803019232",NA,"136.6191053",NA,NA,"14.79407183",NA,NA,"51.41595092","1.342782576","KENFCT","1036","0.355001034","5e-04","buns","CE","Cereals","2511","wheat and products","F0022","pastry","F0022.01"
"112","Buns, scones","MAFOODS","MW01_0041","milk scones, (sikono ya mkaka)","R22",NA,NA,NA,NA,NA,"milk scones, (sikono ya mkaka)","46.96008823","224.3621011","32.17756945","","","0.110237816","0.168161577","0.331817743","0.044869373","","","12.90411525","","","0.323292204","0.336044668","0.056372786","","","71.75846143",NA,NA,NA,"1.803019232",NA,"136.6191053",NA,NA,"14.79407183",NA,NA,"51.41595092","1.342782576","KENFCT","1036","0.355001034","5e-04","scones","CE","Cereals","2511","wheat and products","F0022","pastry","F0022.02"
"704","Butter","KENFCT","6001","butter (cow milk), no added salt (~80-84% fat)",NA,"1P(43), 11E(Butter / Beurre), 16V(199), AU14(04A10074), UK7(17-685), US28(01001)",NA,NA,NA,NA,"butter (cow milk), no added salt (~80-84% fat)","17.2","735","845","","","0","0.05","1.1","0","WAFCT","11_011","4.893617021","","","0","0","2.055319149","","","15","0.009787234",NA,NA,"0",NA,"15",NA,NA,"2",NA,NA,"10","1","","","0.06","0","butter","AP","Animal Products","2740","butter, ghee and products","22241.01","butter of cow milk [only calories]","22241.01.01"
"402","Cabbage","MAFOODS","MW04_0004","cabbage, raw, (kabichi)","10",NA,NA,NA,NA,NA,"cabbage, raw, (kabichi)","92.18","32.041","0","KENFCT","4007","0.039","0.019","0.29","0.077","","","15.447","","","0","28.963","0.241","","","51.324","0.041964",NA,NA,"0.8736",NA,"167.202",NA,NA,"25.506",NA,NA,"27.998","0.6981","","","0.25428","0.0089","cabbages, white, raw","FV","Fruits and Vegetables","2605","vegetables, other and products","1212","cabbages","1212.01"
"822","Cassava - boiled (vendor)","MAFOODS","MW01_0010","cassava, tuber, boiled, (chinangwa chophika)","9",NA,NA,NA,NA,NA,"cassava, tuber, boiled, (chinangwa chophika)","63","145.7824","0.885","","","0.0265","0.044","0.443","0.062","","","14.1463","","","0","19.474","0.177","","","26","0.2",NA,NA,"0.619",NA,"263",NA,NA,"22",NA,NA,"7","0.936708861","KENFCT","2023","0.6","0.001","cassava root, boiled","RT","Roots and Tubers","2532","cassava and products","1520.01","cassava, fresh","01520.01.02"
"838","Cassava - roasted (vendor)","MAFOODS","MW01_0010","cassava, tuber, boiled, (chinangwa chophika)","9",NA,NA,NA,NA,NA,"cassava, tuber, boiled, (chinangwa chophika)","63","145.7824","0.885","","","0.0265","0.044","0.443","0.062","","","14.1463","","","0","19.474","0.177","","","26","0.2",NA,NA,"0.619",NA,"263",NA,NA,"22",NA,NA,"7","0.945657568","AHHA","5016","0.6","0.001","cassava root, roasted","RT","Roots and Tubers","2532","cassava and products","1520.01","cassava, fresh","01520.01.03"
"202","Cassava flour","MAFOODS","MW01_0017","flour, cassava, raw, (ufa wa kondowole)","11",NA,NA,NA,NA,NA,"flour, cassava, raw, (ufa wa kondowole)","14.04","347.61","0","WAFCT","02_004","0.06895","0.10835","1.182","0.16745","","","46.295","","","0","3.94","0.038984127","","","135.93","0.2167",NA,NA,"0.53",NA,"578.195",NA,NA,"44.325",NA,NA,"29.55","1.999069767","KENFCT","2018","0.7289","7e-04","cassava, flour, raw","RT","Roots and Tubers","2532","cassava and products","23170.01","flour of cassava","23170.01"
"201","Cassava tubers","MAFOODS","MW01_0011","cassava, tuber, raw, (chinangwa chachiwisi)","10",NA,NA,NA,NA,NA,"cassava, tuber, raw, (chinangwa chachiwisi)","59.68","159.557","1.01562","","","0.041","0.051","0.7118","0.091","","","24.375","","","0","30.469","0.193","","","31.5952","0.114049",NA,NA,"0.42315",NA,"275.232",NA,NA,"33.7311",NA,NA,"14.214","0.247442","","","0.43121","0.001","cassava root, raw","RT","Roots and Tubers","2532","cassava and products","1520.01","cassava, fresh","01520.01.01"
"705","Chambiko - soured milk","LSOFCT","30014","sour milk, packaged (mafi)",NA,NA,NA,NA,NA,NA,"sour milk, packaged (mafi)","87.8","64.5","17.09848485","KENFCT","6006","0.02","0.15","0.1","0.016","","","7","","","0.198712121","1","0.13","","","162","0.01",NA,NA,"0.1",NA,"190",NA,NA,"14",NA,NA,"71","2.2","","","0.59","0.0278","sour milk, traditional","AP","Animal Products","2848","milk - (excluding excluding butter butter) and products","22290","dairy products n.e.c. [only calories]","22290.01"
