,ihs5_foodid,ihs5_fooditem,food_genus_id,ref_source,ref_fctcode,ref_fctitem,ref,ref_item,fooditem,WATER,ENERC1,VITA_RAE,THIA,RIBF,NIA,VITB6,FOL,VITB12,VITC,VITE,CA,CU,FE,ID,K,MG,na,SE,ZN,ID_cal
1,609,Apple,1341.01,MAFOODS,MW05_0001,"apple, average, raw, (apozi)",ZA,NA,"apple, average, raw, (apozi)",83.9,62.9,1.073333333,0.02,0.06,0.2,0.03,1,0,5,0.16,2,0.07,0.3,NA,99,3,4,1.073333333,0.09,0
2,607,Avocado,1311.01,MAFOODS,MW05_0002,"avocado, raw, peeled, persea americana,(peyala losenda)",9,NA,"avocado, raw, peeled, persea americana,(peyala losenda)",78,152.03,5.58,0.0558,0.1395,1.674,0.32,32.55,0,13.02,1.488,7,0.3,0.744,NA,455,14,9,0,0.3,0.001
3,602,Banana,1312.01,MAFOODS,MW05_0004,"banana, white fleshed, raw, peeled, musa paradisiaca,(nthochi)",9,NA,"banana, white fleshed, raw, peeled, musa paradisiaca,(nthochi)",72,109.1632,4.24,0.0424,0.0424,0.636,0.3604,20.14,0,11.04,0.3922,9,0.0848,0.318,NA,391.14,30.74,2.13,0,0.2,8.00E-04
4,302,"Bean, brown",1701.03,MAFOODS,MW02_0004,"Bean, kidney, dry, Phaseolus vulgaris, (Nyemba zouma)",9,NA,"bean, kidney, dry, phaseolus vulgaris, (nyemba)",11,342.604,0,0.537,0.2225,2.076,0.4001,397.15,0,4.536,0.2217,90,0.7,7.676,NA,1397,172,27,10.375,3.3,5.00E-04
5,301,"Bean, white",1701.02,WAFCT,03_022,"bean, white, dry, raw","1M(384), AU14(13A20122), DK2(568), SA10(3184), pu255, pu261, pu263, pu112, UP1(PHV005)",NA,"bean, white, dry, raw",9.8,320,0,0.89,0.11,1.5,0.42,410,0,0,0.39,127,0.9,8.8,NA,1700,197,33,6.263888889,3.19,5.00E-04
6,504,Beef,21111.01.01,MAFOODS,MW03_0006,"beef, raw, (nyama ya ng'ombe)",22,NA,"beef, raw, (nyama ya ng'ombe)",72.1,95.07,6.860655738,0.062,0.197799,6.45,0.23944,7.287,1.457,0,0.23944,0.636028,0.104,7.45,NA,374.7761,22.9,52.05,17.15163934,1.77,0.0026
7,113,Biscuits,F0022.03,KENFCT,1004,"biscuit, sweet","AU14(02C20287; 02C20364; 02C20286; 02C20314), SA10(3216; 3233; 3296), UK7(11-797; 11-796)",NA,"biscuit, sweet",4.3,460,40,0.09,0.03,0.7,0.050157233,12.03773585,0.1,7,2.608176101,45,0.100314465,1.4,NA,158,19,298,10,0.6,0.0114
8,833,Boiled groundnuts,142.05,MAFOODS,MW02_0015,"groundnut, dry, boiled, arachis hypogae,(mtedza wouma wophika)",9,NA,"groundnut, dry, boiled, arachis hypogae,(mtedza wouma wophika)",49,323.907,0,0.474,0.076,8.437,0.321,59.872,0,0,5.933,41,0.4,2.123,NA,510,123,15,1.281272727,1.4,6.00E-04
9,831,Boiled sweet potatoes,1530.04,MAFOODS,MW01_0066,"sweet potato, white-fleshed, without skin, boiled, ipomoea batatas, (mbatata yoyera mkati yowilitsa)",9,NA,"sweet potato, white-fleshed, without skin, boiled, ipomoea batatas, (mbatata yoyera mkati yowilitsa)",76,96.664,6.857142857,0.066,0.013,0.659,0.092,7.912,0,9.231,0.29,19,0.2,0.396,NA,302,11,10,0,0.2,0.00099
10,911,"Bottled / canned beer (Carlsberg, etc.)",24310.01.01,WAFCT,12_001,"beer, european (4.6% v/v alcohol)","AU14(01A10082), SA10(4031), US28(14003)",NA,"beer, european (4.6% v/v alcohol)",92.3,41,0,0.01,0.02,0.5,0.03,6,0,0,0,4,0.01,0,NA,33,9,10,0,0.01,0
