"region","food_item","energy","carbohydrates_available","protein","fat","fibre","phytate","ca","cu","fe","i","mg","se","zn"
"E","Apples","Apples, raw, with skin_d","Apples, raw, with skin_d","Apples, raw, with skin_d","Apples, raw, with skin_d","Apples, raw, with skin_d","Apples, raw, with skin_d","Apples, raw, with skin_d","Apples, raw, with skin_d","Apples, raw, with skin_d","Apples, eating, average, raw_g","Apples, raw, with skin_d","Apples, raw, with skin_e","Apples, raw, with skin_d"
"E","Aquatic Animals, Others","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Mackerel, spanish, raw_f","Fish, fresh_d","Matemba (fresh)_c","Fish, fresh_d"
"E","Aquatic Plants","Seaweed, agar, raw_e","Seaweed, agar, raw_e","Seaweed, agar, raw_e","Seaweed, agar, raw_e","Seaweed, agar, raw_e","x_x","Seaweed, agar, raw_e","Seaweed, agar, raw_e","Seaweed, agar, raw_e","Seaweed, nori, dried, raw_g","Seaweed, agar, raw_e","Seaweed, agar, raw_e","Seaweed, agar, raw_e"
"E","Bananas","Banana, ripe_d","Banana, ripe_d","Banana, ripe_d","Banana, ripe_d","Banana, ripe_d","Banana, ripe_d","Banana, ripe_d","Banana, ripe_d","Banana, ripe_d","Banana, fruit, raw_f","Banana, ripe_d","Banana_c","Banana, ripe_d"
"E","Barley","Barley, pearled, cooked_l","Barley, pearled, cooked_l","Barley, pearled, cooked_l","Barley, pearled, cooked_l","Barley, pearled, cooked_l","Barley, white flour: roasted, milled_m","Barley, pearled, cooked_l","Barley, pearled, cooked_l","Barley, white flour: roasted, milled_m","Wheat flour, white_f","Barley, pearled, cooked_l","Barley, pearled, raw_e","Barley, white flour: roasted, milled_m"
"E","Beans","Beans, kidney, mature seeds, raw_d","Beans, kidney, mature seeds, raw_d","Beans, kidney, mature seeds, raw_d","Beans, kidney, mature seeds, raw_d","Beans, kidney, mature seeds, raw_d","Beans, kidney, mature seeds, raw_d","Beans, kidney, mature seeds, raw_d","Beans, kidney, mature seeds, raw_d","Beans, kidney, mature seeds, raw_d","Bean, raw_f","Beans, kidney, mature seeds, raw_d","Bengal beans_c","Beans, kidney, mature seeds, raw_d"
"E","Beer","Beer, commercial_d","Beer, commercial_d","Beer, commercial_d","Beer, commercial_d","Beer, commercial_d","Beer, commercial_d","Beer, commercial_d","Beer, commercial_d","Beer, commercial_d","Beer europe (4.4% alcohol)_f","Beer, commercial_d","Beer europe (4.4% alcohol)_f","Beer, commercial_d"
"E","Beverages, Alcoholic","spirits (gin, rum, vodka, whiskey)_i","spirits (gin, rum, vodka, whiskey)_i","spirits (gin, rum, vodka, whiskey)_i","spirits (gin, rum, vodka, whiskey)_i","Spirit, Brandy/ Gin/ Whisky/ Cane/ Vodka/ Rum (alc 43% v/v; 36% w/w)_l","x_x","spirits (gin, rum, vodka, whiskey)_i","Liqueur (alc 30% v/v; 22% w/w)_l","spirits (gin, rum, vodka, whiskey)_i","Spirits, 40% volume_g","spirits (gin, rum, vodka, whiskey)_i","Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof_e","spirits (gin, rum, vodka, whiskey)_i"
"E","Beverages, Fermented","Beer, local, grain_d","Beer, local, grain_d","Beer, local, grain_d","Beer, local, grain_d","Beer, local, grain_d","Beer, local, grain_d","Beer, local, grain_d","Beer, local, grain_d","Beer, local, grain_d","Fermented maize flour_o","Beer, local, grain_d","Sorghum porridge_c","Beer, local, grain_d"
"E","Bovine Meat","Beef, medium fat, cooked_d","Beef, medium fat, cooked_d","Beef, medium fat, cooked_d","Beef, medium fat, cooked_d","Beef, medium fat, cooked_d","Beef, medium fat, cooked_d","Beef, medium fat, cooked_d","Beef, medium fat, cooked_d","Beef, medium fat, cooked_d","Beef, meat, approx. 20%fat, raw_f","Beef, medium fat, cooked_d","Beef, meat, approx. 20%fat, raw_f","Beef, medium fat, cooked_d"
"E","Butter, Ghee","Butter refined-ghee_d","Butter refined-ghee_d","Butter refined-ghee_d","Butter refined-ghee_d","Butter refined-ghee_d","Butter refined-ghee_d","Butter refined-ghee_d","Butter refined-ghee_d","Butter refined-ghee_d","Ghee, palm_g","Butter refined-ghee_d","Ghee, butter_g","Butter refined-ghee_d"
"E","Cassava","Cassava, raw_d","Cassava, raw_d","Cassava, raw_d","Cassava, raw_d","Cassava, raw_d","Cassava, raw_d","Cassava, raw_d","Cassava, raw_d","Cassava, raw_d","Cassava, Dar es Salaam_n","Cassava, raw_d","Cassava, raw_f","Cassava, raw_d"
"E","Cephalopods","Mollusks, squid, mixed species, raw_e","Mollusks, squid, mixed species, raw_e","Mollusks, squid, mixed species, raw_e","Mollusks, squid, mixed species, raw_e","Mollusks, squid, mixed species, raw_e","Shellfish, boiled_j","Mollusks, squid, mixed species, raw_e","Mollusks, squid, mixed species, raw_e","squid, raw_i","Squid, raw_g","Mollusks, squid, mixed species, raw_e","Mollusks, squid, mixed species, raw_e","squid, raw_i"
"E","Cereals, Other","Wheat, flour, whole grain_d","Wheat, flour, whole grain_d","Wheat, flour, whole grain_d","Wheat, flour, whole grain_d","Wheat, flour, whole grain_d","Wheat, flour, whole grain_d","Wheat, flour, whole grain_d","Wheat, flour, whole grain_d","Wheat, flour, whole grain_d","Wheat flour, white_f","Wheat, flour, whole grain_d","Wheat flour, white_f","Wheat, flour, whole grain_d"
"E","Citrus, Other","Orange, raw_d","Orange, raw_d","Orange, raw_d","Orange, raw_d","Orange, raw_d","Orange, raw_d","Orange, raw_d","Orange, raw (peeled)_l","Orange, raw_d","Orange, raw_f","Orange, raw_d","Orange, raw_f","Orange, raw_d"
"E","Cloves","Spices, cloves, ground_e","Spices, cloves, ground_e","Spices, cloves, ground_e","Spices, cloves, ground_e","Spices, cloves, ground_e","x_x","Spices, cloves, ground_e","Spices, cloves, ground_e","Spices, cloves, ground_e","x_x","Spices, cloves, ground_e","Spices, cloves, ground_e","Spices, cloves, ground_e"
"E","Cocoa Beans","Cocoa powder_l","Cocoa powder_l","Cocoa powder_l","Cocoa powder_l","Cocoa powder_l","x_x","Cocoa powder_l","Cocoa powder_l","Cocoa powder_l","x_x","Cocoa powder_l","Spices, cloves, ground_e","Cocoa powder_l"
"E","Coconut Oil","Coconut oil_d","Coconut oil_d","Coconut oil_d","Coconut oil_d","Coconut oil_d","Coconut oil_d","Coconut oil_d","Coconut oil_d","Coconut oil_d","Coconut oil_f","Coconut oil_d","Coconut oil_f","Coconut oil_d"
"E","Coconuts - Incl Copra","Coconut meat, raw_d","Coconut meat, raw_d","Coconut meat, raw_d","Coconut meat, raw_d","Coconut meat, raw_d","Coconut meat, raw_d","Coconut meat, raw_d","Coconut meat, raw_d","Coconut meat, raw_d","Coconut, raw_f","Coconut meat, raw_d","Coconut, raw_e","Coconut meat, raw_d"
"E","Coffee","Coffee, brewed/ instant_l","Coffee, brewed/ instant_l","Coffee, brewed/ instant_l","Coffee, brewed/ instant_l","Coffee, brewed/ instant_l","Coffee without milk, with sugar,_d","Coffee, brewed/ instant_l","Coffee, brewed/ instant_l","Coffee, brewed/ instant_l","Coffee, infusion, strong_g","Coffee, brewed/ instant_l","Coffee, brewed from grounds, prepared with tap water_e","Coffee, brewed/ instant_l"
"E","Cottonseed Oil","Cottonseed oil_l","Cottonseed oil_l","Cottonseed oil_l","Cottonseed oil_l","Cottonseed oil_l","Vegetable oil_d","Vegetable oil_d","Vegetable oil_d","Vegetable oil_d","Cottonseed oil_g","Vegetable oil_d","Cottonseed oil_g","Vegetable oil_d"
"E","Cream","Cream, fresh, dessert (min 20% fat)_l","Cream, fresh, dessert (min 20% fat)_l","Cream, fresh, dessert (min 20% fat)_l","Cream, fresh, dessert (min 20% fat)_l","Cream, fresh, dessert (min 20% fat)_l","Ice cream_d","Cream, fresh, dessert (min 20% fat)_l","Cream, fresh, dessert (min 20% fat)_l","Cream, fresh, dessert (min 20% fat)_l","Cream, fresh, double, including Jersey cream_g","Cream, fresh, dessert (min 20% fat)_l","Cream, fresh, double, including Jersey cream_g","Cream, fresh, dessert (min 20% fat)_l"
"E","Crustaceans","Crab, fresh, cooked_l","Crab, fresh, cooked_l","Crab, fresh, cooked_l","Crab, fresh, cooked_l","Crab, fresh, cooked_l","Shellfish, boiled_j","Crabs_b","Crab, fresh, cooked_l","crab, raw_i","Lobster, boiled_g","Crabs_b","Crustaceans, crab, blue, raw_e","crab, raw_i"
"E","Dates","Date, raw_l","Date, raw_l","Date, raw_l","Date, raw_l","Date, raw_l","Date, red, dried_d","Date, raw_l","Date, raw_l","Date, raw_l","x_x","Date, raw_l","Dates, deglet noor_e","Date, raw_l"
"E","Demersal Fish","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Mackerel, spanish, raw_f","Fish, fresh_d","Fish, herring, Pacific, raw_e","Fish, fresh_d"
"E","Eggs","Egg, chicken_d","Egg, chicken_d","Egg, chicken_d","Egg, chicken_d","Egg, chicken_d","Egg, chicken_d","Egg, chicken_d","Egg, chicken_d","Egg, chicken_d","Egg, raw_f","Egg, chicken_d","Egg, raw_f","Egg, chicken_d"
"E","Fats, Animals, Raw","Lard_l","Lard_l","Lard_l","Lard_l","Lard_l","Vegetable oil_d","Lard_l","Lard_l","Lard_l","Lard_g","Lard_l","LARD_e","Lard_l"
"E","Fish, Body Oil","Cod liver oil_l","Cod liver oil_l","Cod liver oil_l","Cod liver oil_l","Cod liver oil_l","Cod liver oil_d","Cod liver oil_l","Cod liver oil_l","Cod liver oil_l","Cod liver oil_g","Cod liver oil_l","Fish oil, sardine_e","Cod liver oil_l"
"E","Fish, Liver Oil","Cod liver oil_d","Cod liver oil_d","Cod liver oil_d","Cod liver oil_d","Cod liver oil_d","Cod liver oil_d","Cod liver oil_d","Cod liver oil_d","Cod liver oil_d","Cod liver oil_g","Cod liver oil_d","Fish oil, cod liver_e","Cod liver oil_d"
"E","Freshwater Fish","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","madambane, dried, includes bones_i","Fish, fresh_d","Fish, fresh_d","Trout, rainbow, grilled, weighed with bones and skin_g","madambane, dried, includes bones_i","Matemba (fresh)_c","Fish, fresh_d"
"E","Fruits, Other","Mango, ripe, fresh_d","Mango, ripe, fresh_d","Mango, ripe, fresh_d","Mango, ripe, fresh_d","Mango, ripe, fresh_d","Mango, ripe, fresh_d","Mango, ripe, fresh_d","Mango, ripe, fresh_d","Mango, ripe, fresh_d","Mango, ripe, fruit, raw_f","Mango, ripe, fresh_d","Mango (raw)_f","Mango, ripe, fresh_d"
"E","Grapefruit","Grapefruit_d","Grapefruit_d","Grapefruit_d","Grapefruit_d","Grapefruit_d","Grapefruit_d","Grapefruit_d","Grapefruit_d","Grapefruit_d","Oranges_g","Grapefruit_d","Grapefruit, raw, pink and red and white, all areas_e","Grapefruit_d"
"E","Grapes","Grape_d","Grape_d","Grape_d","Grape_d","Grape_d","Grape_d","Grape_d","Grape_d","Grape_d","Grapes, average_g","Grape_d","Grapes, red or green (european type varieties, such as, Thompson seedless), raw_e","Grape_d"
"E","Groundnut Oil","Peanut oil_l","Peanut oil_l","Peanut oil_l","Peanut oil_l","Peanut oil_l","Sesame oil_d","Peanut oil_l","Groundnut oil_f","Peanut oil_l","Groundnut oil_f","Peanut oil_l","Groundnut oil_f","Peanut oil_l"
"E","Groundnuts (Shelled Eq)","Groundnuts_d","Groundnuts_d","Groundnuts_d","Groundnuts_d","Groundnuts_d","Groundnuts_d","Groundnuts_d","Groundnuts_d","Groundnuts_d","Groundnut, dried, raw_f","Groundnuts_d","Groundnut, dried, raw_f","Groundnuts_d"
"E","Honey","Honey_d","Honey_d","Honey_d","Honey_d","Honey_d","Honey_d","Honey_d","Honey_d","Honey_d","Honey_f","Honey_d","Honey_f","Honey_d"
"E","Lemons, Limes","Lemon, raw, without peel_d","Lemon, raw, without peel_d","Lemon, raw, without peel_d","Lemon, raw, without peel_d","Lemon, raw, without peel_d","Lemon, raw, without peel_d","Lemon, raw, without peel_d","Lemon, raw, without peel_d","Lemon, raw, without peel_d","Oranges_g","Lemon, raw, without peel_d","Lemon, fruit, raw_f","Lemon, raw, without peel_d"
"E","Maize","Maize, dried, raw_d","Maize, dried, raw_d","Maize, dried, raw_d","Maize, dried, raw_d","Maize, dried, raw_d","Maize, dried, raw_d","Maize, dried, raw_d","Maize, dried, raw_d","Maize, dried, raw_d","Maize, yellow, dried, raw_f","Maize, dried, raw_d","White Ufa_c","Maize, dried, raw_d"
"E","Maize Germ Oil","Maize oil_l","Maize oil_l","Maize oil_l","Maize oil_l","Maize oil_l","Vegetable oil_d","Vegetable oil_d","Vegetable oil_d","Vegetable oil_d","Wheatgerm oil_g","Vegetable oil_d","Wheatgerm oil_g","Vegetable oil_d"
"E","Marine Fish, Other","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Fish, fresh_d","Sardine, raw_f","Fish, fresh_d","Fish, herring, Pacific, raw_e","Fish, fresh_d"
"E","Meat, Aquatic Mammals","Whale, beluga, meat, raw (Alaska Native)_e","Whale, beluga, meat, raw (Alaska Native)_e","Whale, beluga, meat, raw (Alaska Native)_e","Whale, beluga, meat, raw (Alaska Native)_e","Fish, fresh_d","Fish, fresh_d","Whale, beluga, meat, raw (Alaska Native)_e","Fish, fresh_d","Fish, fresh_d","Sardine, raw_f","Fish, fresh_d","Fish, herring, Pacific, raw_e","Fish, fresh_d"
"E","Meat, Other","Venison (buck/ deer), roasted_l","Venison (buck/ deer), roasted_l","Venison (buck/ deer), roasted_l","Venison (buck/ deer), roasted_l","Venison (buck/ deer), roasted_l","Goat meat_d","Venison (buck/ deer), roasted_l","Venison (buck/ deer), roasted_l","Venison (buck/ deer), roasted_l","Rabbit, meat, raw_f","Venison (buck/ deer), roasted_l","Lamb, meat not specified, raw_f","Venison (buck/ deer), roasted_l"
"E","Milk - Excluding Butter","Milk whole, 0.0325 milk fat_d","Milk whole, 0.0325 milk fat_d","Milk whole, 0.0325 milk fat_d","Milk whole, 0.0325 milk fat_d","Milk whole, 0.0325 milk fat_d","Milk whole, 0.0325 milk fat_d","Milk whole, 0.0325 milk fat_d","Milk whole, 0.0325 milk fat_d","Milk whole, 0.0325 milk fat_d","Milk, cow, whole, raw_f","Milk whole, 0.0325 milk fat_d","Milk, cow, whole, raw_f","Milk whole, 0.0325 milk fat_d"
"E","Millet","Millet, finger, grain or flour_d","Millet, finger, grain or flour_d","Millet, finger, grain or flour_d","Millet, finger, grain or flour_d","Millet, finger, grain or flour_d","Millet, finger, grain or flour_d","Millet, finger, grain or flour_d","Millet, finger, grain or flour_d","Millet, finger, grain or flour_d","Wheat flour, white_f","Millet, finger, grain or flour_d","Millet flour_c","Millet, finger, grain or flour_d"
"E","Molluscs, Other","Oyster, raw_l","Oyster, raw_l","Oyster, raw_l","Oyster, raw_l","Oyster, raw_l","Shellfish, boiled_j","Oyster, raw_l","Oyster, raw_l","Oyster, raw_l","x_x","Oyster, raw_l","Mollusks, snail, raw_e","Oyster, raw_l"
"E","Mutton & Goat Meat","Goat meat_d","Goat meat_d","Goat meat_d","Goat meat_d","Goat meat_d","Goat meat_d","Goat meat_d","Goat meat_d","Goat meat_d","Lamb, meat not specified, raw_f","Goat meat_d","Lamb, meat not specified, raw_f","Goat meat_d"
"E","Nuts","Cashewnut_d","Cashewnut_d","Cashewnut_d","Cashewnut_d","Cashewnut_d","Cashewnut_d","Cashewnut_d","Cashewnut_d","Cashewnut_d","Cashew nut, raw_f","Cashewnut_d","Cashew nut, raw_f","Cashewnut_d"
"E","Oats","Oats, rolled or oatmeal, uncooked_l","Oats, rolled or oatmeal, uncooked_l","Oats, rolled or oatmeal, uncooked_l","Oats, rolled or oatmeal, uncooked_l","Oats, rolled or oatmeal, uncooked_l","Wheat, flour, whole grain_d","Oats, rolled or oatmeal, uncooked_l","Oats, rolled or oatmeal, uncooked_l","Oats, rolled or oatmeal, uncooked_l","Wheat flour, white_f","Oats, rolled or oatmeal, uncooked_l","Wheat flour, white_f","Oats, rolled or oatmeal, uncooked_l"
