"ref_fctcode","ID_3","FoodName_3","FoodName_0","FoodName_1","fe2_confidence"
"1004","F0022.03","biscuits, sweet, plain","Cereals","wheat and products","m"
"6001","22241.01.01","butter","Animal Products","butter, ghee and products","h"
"12004","F0666.01","chocolate, milk","Other foods","cocoa beans and products","m"
"12003","23912.02.02","coffee beverages","Other foods","coffee and products","m"
"4016","1232.01","cucumbers, raw","Fruits and Vegetables","vegetables, other and products","h"
"11001","2910.01","honey","Other foods","honey and products","h"
"13031","1699.06","tabasco, sauce","Other foods","spices, other and products","m"
"10010","1379.9.01","macadamias","Other foods","nuts and products",NA
"13027","1699.02","salt","Other foods","spices, other and products","m"
"15026","F0022.05","samosa, vegetable","Cereals","wheat and products","m"
"15026","F0022.06","samosa, meat","Cereals","wheat and products","m"
"1031","23710.01","pasta, dried, raw","Cereals","wheat and products","h"
"13028","1699.03","mixed spices","Other foods","spices, other and products","l"
"11003","23520.01","sugar, white","Other foods","sugar (raw equivalent) and products","m"
"12005","23914.01","tea beverages","Other foods","tea (including mate) and products","m"
"13031","21399.01.01","tomatoes, sauce","Fruits and Vegetables","tomatoes and products","m"
"12008","24212.02.01","wine, white","Other foods","wine and products","m"
"6026","22230.01.01","yoghurt, cow milk, plain","Animal Products","milk - (excluding excluding butter butter) and products","m"
