"ref_fctcode","ID_3","FoodName_3","FoodName_0","FoodName_1","fe2_confidence"
"03_022","1701.02","common beans, dried, raw","Pulses and Beans","beans and products","m"
"12_001","24310.01.01","beer, regular","Other foods","beer and products","m"
"12_012","23670.01.02","flavoured ice","Other foods","sugar (raw equivalent) and products","m"
"03_057","1708.01","bambara bean, dried, raw","Pulses and Beans","pulses, other and products","h"
"13_023","F0623.01","jam, mixed fruit","Fruits and Vegetables","fruits, other and products","m"
"13_023","F0623.02","jelly, fruits","Fruits and Vegetables","fruits, other and products","m"
"12_002","24230.03.02","maize-fermented beverage","Cereals","beverages, fermented and products","m"
"01_095","118.03","pearl millet,  grain","Cereals","millet and products","h"
"10_002","22211.01","milk, cow, full-fat, powder","Animal Products","milk - (excluding excluding butter butter) and products","m"
"12_024","24490.02","sugar sweetned beverage, cola","Other foods","sweeteners, other and products","m"
"12_012","24490.01","sugar sweetned beverage, concentrate","Other foods","sweeteners, other and products","l"
"13_021","23670.01.01","candies, hard","Other foods","sugar (raw equivalent) and products","l"
"13_021","F0666.01","chocolate, milk","Other foods","cocoa beans and products","l"
"12_002","24230.03.03","maize- and millet-fermented beverage","Cereals","beverages, fermented and products","m"
"07_063","F1172.01","tinned meat","Animal Products","meat, other and products","m"
"07_063","1532.01","sardines, tinned","Animal Products","pelagic fish","m"
"12_002","24310.02.01","beer, maize grain","Cereals","beverages, fermented and products","l"
"01_043","23110.01","wheat flour, unrefined","Cereals","wheat and products","m"
"01_043","23110.02","wheat flour, refined","Cereals","wheat and products","m"
