"ref_fctcode","ID_3","confidence","fct","FoodName_3","FoodName_0","FoodName_1","fe2_confidence"
"03_022","1701.02","m","WA19",NA,NA,NA,NA
"12_001","24310.01.01","m","WA19",NA,NA,NA,NA
"03_057","1708.01","h","WA19",NA,NA,NA,NA
"01_095","118.03","h","WA19",NA,NA,NA,NA
"12_024","24490.02","m","WA19",NA,NA,NA,NA
"13_023","F0623.01","m","WA19",NA,NA,NA,NA
"10_002","22211.01","h","WA19",NA,NA,NA,NA
"13_021","F0666.01","h","WA19",NA,NA,NA,NA
"07_063","F1172.01","m","WA19",NA,NA,NA,NA
"12_002","24310.02.01","h","WA19",NA,NA,NA,NA
"01_043","23110.02","h","WA19",NA,NA,NA,NA
"12_012","21435.01.01","m","WA19",NA,NA,NA,NA
"02_003","01520.01.02","m","WA19",NA,NA,NA,NA
"02_001","01520.01.01","m","WA19",NA,NA,NA,NA
"02_015","1550.01","h","WA19",NA,NA,NA,NA
"02_081","1510.02","m","WA19",NA,NA,NA,NA
"01_004","112.01","m","WA19",NA,NA,NA,NA
"04_108","1290.01.03","m","WA19",NA,NA,NA,NA
"02_004","23170.01","m","WA19",NA,NA,NA,NA
"01_081","23120.03.02","l","WA19",NA,NA,NA,NA
"02_045","1313.01","l","WA19",NA,NA,NA,NA
"02_009","1510.01","h","WA19",NA,NA,NA,NA
"01_037","23161.01.02","l","WA19",NA,NA,NA,NA
"01_039","114.01","m","WA19",NA,NA,NA,NA
"02_049","1530.02","h","WA19",NA,NA,NA,NA
"02_022","1530.01","h","WA19",NA,NA,NA,NA
"02_014","1530.04","h","WA19",NA,NA,NA,NA
"03_004","1706.01","h","WA19",NA,NA,NA,NA
"06_027","142.02","m","WA19",NA,NA,NA,NA
"03_032","1707.01","h","WA19",NA,NA,NA,NA
"03_008","141.01","h","WA19",NA,NA,NA,NA
"07_103","21121.03","m","WA19",NA,NA,NA,NA
"07_030","21121.01","m","WA19",NA,NA,NA,NA
"08_002","231.02","h","WA19",NA,NA,NA,NA
"08_001","231.01","h","WA19",NA,NA,NA,NA
"14_001","1533.01","l","WA19",NA,NA,NA,NA
"09_043","1501.03","h","WA19",NA,NA,NA,NA
"07_046","21116.01","m","WA19",NA,NA,NA,NA
"10_029","2211.01","h","WA19",NA,NA,NA,NA
"07_072","21115.01","m","WA19",NA,NA,NA,NA
"07_006","21113.02.01","m","WA19",NA,NA,NA,NA
"07_007","21114.01","h","WA19",NA,NA,NA,NA
"04_005","1212.03","h","WA19",NA,NA,NA,NA
"04_053","1214.04","m","WA19",NA,NA,NA,NA
"04_017","1239.01.01","h","WA19",NA,NA,NA,NA
"04_018","1253.02.01","h","WA19",NA,NA,NA,NA
"04_051","1235.01","m","WA19",NA,NA,NA,NA
"04_021","1234.01","m","WA19",NA,NA,NA,NA
"05_026","1341.01","m","WA19",NA,NA,NA,NA
"05_002","1311.01","h","WA19",NA,NA,NA,NA
"05_003","1312.01","m","WA19",NA,NA,NA,NA
"05_010","1316.02","h","WA19",NA,NA,NA,NA
"05_037","1316.01","l","WA19",NA,NA,NA,NA
"05_017","1317.01","h","WA19",NA,NA,NA,NA
"05_018","1318.01","h","WA19",NA,NA,NA,NA
"11_007","2165.01","l","WA19",NA,NA,NA,NA
"01_101","23140.07.01","m","WA19",NA,NA,NA,NA
"04_011","1699.08","m","WA19",NA,NA,NA,NA
"04_003","1241.9.02","h","WA19",NA,NA,NA,NA
"09_004","1527.02","h","WA19",NA,NA,NA,NA
"02_002","1520.02.01","h","WA19",NA,NA,NA,NA
"09_053","1505.00.01","l","WA19",NA,NA,NA,NA
"09_007","1503.04","h","WA19",NA,NA,NA,NA
"09_015","1503.05","h","WA19",NA,NA,NA,NA
"09_018","1503.06","h","WA19",NA,NA,NA,NA
"09_060","1503.07","h","WA19",NA,NA,NA,NA
"09_032","1503.02","h","WA19",NA,NA,NA,NA
"09_041","1503.08","h","WA19",NA,NA,NA,NA
"01_074","111.01","h","WA19",NA,NA,NA,NA
"01_082","23110.01","h","WA19",NA,NA,NA,NA
"01_079","23120.01.01","h","WA19",NA,NA,NA,NA
"01_001","1193.03","h","WA19",NA,NA,NA,NA
"02_019","1540.01","l","WA19",NA,NA,NA,NA
"13_001","2910.01","h","WA19",NA,NA,NA,NA
"03_030","1704.01","h","WA19",NA,NA,NA,NA
"06_001","1372.01","m","WA19",NA,NA,NA,NA
"06_010","21421.01","h","WA19",NA,NA,NA,NA
"06_002","1460.01","h","WA19",NA,NA,NA,NA
"06_015","1444.01","m","WA19",NA,NA,NA,NA
"11_009","2161.01","m","WA19",NA,NA,NA,NA
"11_003","2162.01","m","WA19",NA,NA,NA,NA
"11_016","21631.01.01","m","WA19",NA,NA,NA,NA
"11_012","21691.14.01","m","WA19",NA,NA,NA,NA
"11_002","2166.01","m","WA19",NA,NA,NA,NA
"11_014","2167.01","m","WA19",NA,NA,NA,NA
"11_013","21691.02.01","m","WA19",NA,NA,NA,NA
"11_010","34550.01","m","WA19",NA,NA,NA,NA
"05_016","1323.01","h","WA19",NA,NA,NA,NA
"05_014","1322.01","h","WA19",NA,NA,NA,NA
"05_035","1321.02","l","WA19",NA,NA,NA,NA
"05_031","1314.01","h","WA19",NA,NA,NA,NA
"05_051","1330.01","h","WA19",NA,NA,NA,NA
"12_005","23912.02.01","h","WA19",NA,NA,NA,NA
"12_008","23914.01","h","WA19",NA,NA,NA,NA
"13_014","1651.01","m","WA19",NA,NA,NA,NA
"04_046","1652.01","l","WA19",NA,NA,NA,NA
"12_004","24310.04.01","h","WA19",NA,NA,NA,NA
"07_009","21111.02.01","m","WA19",NA,NA,NA,NA
"07_001","21151.02","h","WA19",NA,NA,NA,NA
"11_015","22241.02.01","h","WA19",NA,NA,NA,NA
"09_055","1553.01","l","WA19",NA,NA,NA,NA
"09_006","1514.01","h","WA19",NA,NA,NA,NA
"09_018","1501.02","m","WA19",NA,NA,NA,NA
"09_003","1527.01","l","WA19",NA,NA,NA,NA
"09_037","1532.01","l","WA19",NA,NA,NA,NA
"06_029","1491.02.01","l","WA19",NA,NA,NA,NA
"01_163","23120.01.02","l","WA19",NA,NA,NA,NA
"04_002","21393.9.01","h","WA19",NA,NA,NA,NA
"04_081","21393.9.02","h","WA19",NA,NA,NA,NA
"04_031","21393.9.03","h","WA19",NA,NA,NA,NA
"04_014","21393.9.04","h","WA19",NA,NA,NA,NA
"04_075","21393.9.05","h","WA19",NA,NA,NA,NA
"04_077","21393.9.06","h","WA19",NA,NA,NA,NA
"04_044","21393.9.07","h","WA19",NA,NA,NA,NA
"04_055","21393.9.08","h","WA19",NA,NA,NA,NA
"04_071","21393.9.09","h","WA19",NA,NA,NA,NA
"04_062","21393.9.10","h","WA19",NA,NA,NA,NA
"04_083","21393.9.11","h","WA19",NA,NA,NA,NA
"09_057","1555.01","h","WA19",NA,NA,NA,NA
"07_019","21155.03","h","WA19",NA,NA,NA,NA
"07_021","21155.04","h","WA19",NA,NA,NA,NA
"07_053","21155.01","h","WA19",NA,NA,NA,NA
"07_051","21155.02","h","WA19",NA,NA,NA,NA
"07_039","21160.01.01","h","WA19",NA,NA,NA,NA
"07_041","21160.01.02","h","WA19",NA,NA,NA,NA
"07_017","21182.01","h","WA19",NA,NA,NA,NA
"07_027","21183.01","h","WA19",NA,NA,NA,NA
"07_044","21170.92.04","h","WA19",NA,NA,NA,NA
"13_008","F1232.11","h","WA19",NA,NA,NA,NA
"03_154","F1232.15","h","WA19",NA,NA,NA,NA
"04_0162","1290.9.12","h","WA19",NA,NA,NA,NA
"05_011","1359.9.03","h","WA19",NA,NA,NA,NA
"10_016","22221.01.01","h","WA19",NA,NA,NA,NA
"01_034","23162.03","h","WA19",NA,NA,NA,NA
"01_065","23162.04","h","WA19",NA,NA,NA,NA
"01_067","23161.01.04","h","WA19",NA,NA,NA,NA
"01_036","23161.01.01","l","WA19",NA,NA,NA,NA
"01_045","F0022.09","h","WA19",NA,NA,NA,NA
"01_187","F0020.07","l","WA19",NA,NA,NA,NA
"01_189","F0022.14","h","WA19",NA,NA,NA,NA
"04_012","1233.01","h","WA19",NA,NA,NA,NA
"04_074","1290.9.09","h","WA19",NA,NA,NA,NA
"03_005","1706.03","h","WA19",NA,NA,NA,NA
"03_027","1706.03","h","WA19",NA,NA,NA,NA
"03_006","1706.03","h","WA19",NA,NA,NA,NA
"02_041","23170.01.02","h","WA19",NA,NA,NA,NA
