"ref_fctcode","ID_3","confidence","fct"
"2022","1540.02","h","JA15"
"2023","1540.03","h","JA15"
"2025","1540.04","h","JA15"
"10117","1516.03","m","JA15"
"10118","1520.11","m","JA15"
"6076","F1232.11","h","US19"
"6081","F1232.12","h","US19"
"6981","F1232.14","h","US19"
"5335","F1061.03","h","US19"
"9312","1319.03","h","US19"
"9145","1319.04","h","US19"
"25050","1520.01.04","m","US19"
"14555","2899.01.01","m","US19"
"20005","23140.05.01","h","US19"
"15175","1570.01","h","US19"
"15166","1570.03","h","US19"
"11940","21340.01","m","US19"
"11564","1251.02","h","US19"
"19304","23540.01","h","US19"
"6961","F1232.04","l","US19"
"2047","1699.02","h","US19"
"11216","1657.01","h","US19"
"43406","F1232.06","h","US19"
"18369","F1232.07","l","US19"
"14278","23914.04","h","US19"
"35238","23914.05","h","US19"
"16088","142.05","m","US19"
"4025","F1232.01","m","US19"
"14054","F0666.02","h","US19"
"14181","F0666.03","h","US19"
"14083","22290.06","h","US19"
"14177","22290.07","h","US19"
"14182","22290.08","h","US19"
"14318","22290.09","h","US19"
"43369","22290.10","h","US19"
"15020","1514.03","h","US19"
"16006","F1232.23","m","US19"
"13353","F1232.24","m","US19"
"90480","23210.04.01","m","US19"
"5332","21121.02","h","US19"
"10219","21113.02.02","h","US19"
"19078","F0666.04","h","US19"
"19163","23670.01.04","h","US19"
"11670","1652.03","h","US19"
"14238","21439.9.05","h","US19"
"14240","21439.9.06","h","US19"
"14241","21439.9.07","h","US19"
"14282","21439.9.08","h","US19"
"14327","21439.9.09","h","US19"
"14334","21439.9.10","h","US19"
"14341","21439.9.11","h","US19"
"17-355","F1232.07","h","UK21"
"13-164","1290.9.01","h","UK21"
"17-719","F1232.04","m","UK21"
"17-648","F0666.01","m","UK21"
"12-545","F0665.01","m","UK21"
"13-876","1699.10","h","UK21"
"13-245","1232.02","h","UK21"
"17-050","2910.01","m","UK21"
"17-059","23540.01","m","UK21"
"13-300","1239.01.01","h","UK21"
"13-499","1253.02.01","h","UK21"
"13-130","1705.01","h","UK21"
"13-880","1651.01","h","UK21"
"13-333","1214.03","h","UK21"
"17-367","1699.02","m","UK21"
"14-844","1444.01","m","UK21"
"13-342","1253.02.02","h","UK21"
"17-060","2351F.01","h","UK21"
"17-063","23520.01","m","UK21"
"17-752","24212.02.02","h","UK21"
"16-263","1570.01","h","UK21"
"13-376","1550.01","h","UK21"
"16-254","1570.02","h","UK21"
"16-259","1570.03","h","UK21"
"13-888","1290.9.03","h","UK21"
"17-718","21340.01","h","UK21"
"13-355","1235.02","h","UK21"
"13-187","1212.02","h","UK21"
"13-149","1215.02","h","UK21"
"13-890","1657.01","h","UK21"
"14-324","1354.01","h","UK21"
"13-509","1212.03","h","UK21"
"13-502","1213.02","h","UK21"
"13-512","1213.01","h","UK21"
"13-380","1290.9.06","m","UK21"
"17-755","24212.02.01","m","UK21"
"14-845","1445.01","m","UK21"
"16-395","1501.01","m","UK21"
"13-259","1319.01","m","UK21"
"15-305","F0022.05","m","UK21"
"17-158","23912.02.01","h","UK21"
"13-208","01520.01.01","h","UK21"
"16-260","1562.01","h","UK21"
"16-154","1501.05","h","UK21"
"13-389","1251.02","h","UK21"
"14-892","21495.02.01","m","UK21"
"13-636","1290.9.04","h","UK21"
"13-244","1252.01","m","UK21"
"13-624","1254.01","h","UK21"
"16-438","1533.02","m","UK21"
"12-937","231.01","m","UK21"
"12-940","231.02","m","UK21"
"16-393","1527.01","h","UK21"
"16-401","1527.02","h","UK21"
"13-067","1702.02","h","UK21"
"17-488","1523.01","h","UK21"
"14-376","1318.01","m","UK21"
"13-816","1656.01","m","UK21"
"17-379","F1232.06","m","UK21"
"13-572","1215.01","m","UK21"
"11-886","23110.02","m","UK21"
"11-002","23140.05.01","h","UK21"
"11-788","23140.07.01","l","UK21"
"13-086","1701.02","l","UK21"
"14-340","F0262.01","l","UK21"
"17-034","2168.01","h","UK21"
"17-039","2165.01","h","UK21"
"17-031","2166.01","h","UK21"
"17-043","21691.07.01","m","UK21"
"17-686","34550.01","m","UK21"
"14-384","1321.02","m","UK21"
"14-319","1341.01","m","UK21"
"17-165","23914.01","m","UK21"
"17-749","24310.01.01","m","UK21"
"18-488","21121.01","h","UK21"
"18-600","21521.01","l","UK21"
"16-007","1501.02","m","UK21"
"16-439","1532.01","l","UK21"
"13-340","1594.01","l","UK21"
"16-492","1518.01","m","UK21"
"13-582","1212.01","h","UK21"
"17-170","1620.01","l","UK21"
"17-171","23914.04","h","UK21"
"17-172","23914.05","h","UK21"
"14-125","1329.01","h","UK21"
"17-515","F1232.11","h","UK21"
"17-726","F1232.12","h","UK21"
"17-727","F1232.13","h","UK21"
"17-672","24490.03","h","UK21"
"12-390","22270.06","m","UK21"
"12-389","21439.9.04","m","UK21"
"17-767","24310.01.03","h","UK21"
"11-824","23999.02.01","m","UK21"
"17-645","23999.02.02","m","UK21"
"17-642","23999.02.03","m","UK21"
"13-293","1270.02","h","UK21"
"16-279","1520.07","m","UK21"
"13-607","21329.01","h","UK21"
"13-382","21321.01","h","UK21"
"19-649","21181.01","m","UK21"
"17-784","F0623.04","h","UK21"
"17-343","F0623.05","h","UK21"
"12-535","22290.02","h","UK21"
"12-326","22290.03","h","UK21"
"17-647","23670.01.01","h","UK21"
"03_022","1701.02","m","WA19"
"12_001","24310.01.01","m","WA19"
"03_057","1708.01","h","WA19"
"01_095","118.03","h","WA19"
"12_024","24490.02","m","WA19"
"13_023","F0623.01","m","WA19"
"10_002","22211.01","h","WA19"
"13_021","F0666.01","h","WA19"
"07_063","F1172.01","m","WA19"
"12_002","24310.02.01","h","WA19"
"01_043","23110.02","h","WA19"
"12_012","21439.9.01","m","WA19"
"02_003","1520.01.02","m","WA19"
"02_001","1520.01.01","m","WA19"
"02_015","1550.01","h","WA19"
"02_081","1510.02","m","WA19"
"01_004","112.01","m","WA19"
"04_108","1290.01.03","m","WA19"
"02_004","23170.01","m","WA19"
"01_081","23120.03.02","l","WA19"
"02_045","1313.01","l","WA19"
"02_009","1510.01","h","WA19"
"01_037","23161.01.02","l","WA19"
"01_039","114.01","m","WA19"
"02_049","1530.02","h","WA19"
"02_022","1530.01","h","WA19"
"02_014","1530.04","h","WA19"
"03_004","1706.01","h","WA19"
