"ref_fctcode","ID_3","confidence","fct"
"03_022","1701.02","m","WA19"
"12_001","24310.01.01","m","WA19"
"03_057","1708.01","h","WA19"
"01_095","118.03","h","WA19"
"12_024","24490.02","m","WA19"
"13_023","F0623.01","m","WA19"
"10_002","22211.01","h","WA19"
"13_021","F0666.01","h","WA19"
"07_063","F1172.01","m","WA19"
"12_002","24310.02.01","h","WA19"
"01_043","23110.02","h","WA19"
"12_012","21435.01.01","m","WA19"
"02_003","01520.01.02","m","WA19"
"02_001","01520.01.01","m","WA19"
"02_015","1550.01","h","WA19"
"02_081","1510.02","m","WA19"
"01_004","112.01","m","WA19"
"04_108","1290.01.03","m","WA19"
"02_004","23170.01","m","WA19"
"01_081","23120.03.02","l","WA19"
"02_045","1313.01","l","WA19"
"02_009","1510.01","h","WA19"
"01_037","23161.01.01","l","WA19"
"01_039","114.01","m","WA19"
"02_049","1530.02","h","WA19"
"02_022","1530.01","h","WA19"
"02_014","1530.04","h","WA19"
"03_004","1706.01","h","WA19"
"06_027","142.02","m","WA19"
"03_032","1707.01","h","WA19"
"03_008","141.01","h","WA19"
"07_103","21121.03","m","WA19"
"07_030","21121.01","m","WA19"
"08_002","231.02","h","WA19"
"08_001","231.01","h","WA19"
"14_001","1533.01","l","WA19"
"09_043","1501.03","h","WA19"
"07_046","21116.01","m","WA19"
"10_029","2211.01","h","WA19"
"07_072","21115.01","m","WA19"
"07_006","21113.02.01","m","WA19"
"07_007","21114.01","h","WA19"
"04_005","1212.03","h","WA19"
"04_053","1214.04","m","WA19"
"04_017","1239.01.01","h","WA19"
"04_018","1253.02.01","h","WA19"
"04_051","1235.01","m","WA19"
"04_021","1234.01","m","WA19"
"05_026","1341.01","m","WA19"
"05_002","1311.01","h","WA19"
"05_003","1312.01","m","WA19"
"05_010","1316.02","h","WA19"
"05_037","1316.01","l","WA19"
"05_017","1317.01","h","WA19"
"05_018","1318.01","h","WA19"
"11_007","2165.01","l","WA19"
"01_101","23140.07.01","m","WA19"
"04_011","1699.08","m","WA19"
"04_003","1241.9.02","h","WA19"
"09_004","1527.02","h","WA19"
