"","fdc_id","food_desc","ID_3","FoodName_3","Confidence"
"1","17-355","Baking powder","F1232.07","baking powder","high"
"3","13-164","Beetroot, raw","1290.9.01","beetroot, raw","high"
"8","17-719","Chilli sauce","F1232.04","chilli sauce","medium"
"9","17-648","Chocolate, milk","F0666.01","chocolate, milk","medium"
"10","12-545","Cocoa powder","F0665.01","cocoa powder","medium"
"12","13-876","Curry powder","1699.10","curry powder","high"
"15","13-245","Gherkins, raw","1232.02","gherkins, raw","high"
"20","17-050","Honey","2910.01","honey","medium"
"21","17-059","Molasses","23540.01","molasses","medium"
"22","13-300","Okra, raw","1239.01.01","okra, raw","high"
"27","13-499","Onions, raw","1253.02.01","onions, raw","high"
"32","13-130","Peas, dried, raw","1705.01","peas, dried, raw","high"
"37","13-880","Pepper, black","1651.01","pepper, black","high"
"41","13-333","Rape leaves, raw","1214.03","rape leaves, raw","high"
"46","17-367","Salt","1699.02","salt","medium"
"48","14-844","Sesame seeds","1444.01","sesame seeds","medium"
"50","13-342","Shallots, raw","1253.02.02","shallots, raw","high"
"55","17-060","Sugar, brown","2351F.01","sugar, brown","high"
"60","17-063","Sugar, white","23520.01","sugar, white","medium"
"65","17-752","Wine, red","24212.02.02","wine, red","high"
"69","16-263","Squid, raw","1570.01","squids, raw","high"
"74","13-376","Taro, raw","1550.01","taros, raw","high"
"79","16-254","Cuttlefish, raw","1570.02","cuttlefishes, raw","high"
"84","16-259","Octopus, raw","1570.03","octopuses, raw","high"
"89","13-888","Coriander leaves, fresh","1290.9.03","coriander leaves, fresh, raw","high"
"94","17-718","Pickle, sweet","21340.01","pickles, sweet","high"
"95","13-355","Squash, butternut, raw","1235.02","squashes, butternut, raw","high"
"100","13-187","Cabbage, Chinese, raw","1212.02","cabbages, chinese, raw","high"
"107","13-149","Amaranth leaves, raw","1215.02","amaranth leaves, fresh, raw","high"
"112","13-890","Ginger, fresh","1657.01","ginger, fresh, raw","high"
"121","14-324","Strawberries, raw","1354.01","strawberries, fresh, raw","high"
"126","13-509","Cabbage, white, raw","1212.03","cabbages, white, fresh, raw","high"
"131","13-502","Broccoli, green, raw","1213.02","broccoli, fresh, raw","high"
"137","13-512","Cauliflower, raw","1213.01","cauliflower, fresh, raw","high"
"141","13-380","Taro leaves, raw","1290.9.06","taro leaves, fresh, raw","medium"
"146","17-755","Wine, white, dry","24212.02.01","wine, white","medium"
"153","14-845","Sunflower seeds","1445.01","sunflower seeds, dried","medium"
"155","16-395","Trout, rainbow, flesh only, raw","1501.01","trout, rainbow, fresh, raw","medium"
"160","13-259","Jackfruit, raw","1319.01","jackfruit, fresh, raw","medium"
"165","15-305","Samosas, vegetable, retail","F0022.05","samosa, vegetable","medium"
"188","17-158","Coffee, powder, instant","23912.02.01","coffee, instant powder","high"
"196","13-208","Cassava, raw","01520.01.01","cassava root, raw","high"
"200","16-260","Oysters, raw","1562.01","oysters, fresh, raw","high"
"206","16-154","Tilapia, raw","1501.05","tilapia, fresh, raw ","high"
"210","13-389","Turnip, flesh only, raw","1251.02","turnip, fresh, raw","high"
"215","14-892","Peanut butter, smooth","21495.02.01","peanut butter","medium"
"236","13-636","Celery, raw","1290.9.04","celery, fresh, raw","high"
"241","13-244","Garlic, raw","1252.01","garlic, fresh, raw","medium"
"264","13-624","Leeks, raw","1254.01","leeks, fresh, raw","high"
"267","16-438","Sardines, flesh only, grilled","1533.02","sardines, fresh, grilled","medium"
"277","12-937","Eggs, chicken, whole, raw","231.01","egg, chicken, raw","medium"
"284","12-940","Eggs, chicken, whole, boiled","231.02","egg, chicken, boiled","medium"
"308","16-393","Mackerel, flesh only, raw","1527.01","mackerel, fresh, raw","high"
"313","16-401","Sardines, flesh only, raw","1527.02","sardines, fresh, raw","high"
"323","13-067","Beans, broad, dried, raw","1702.02","broad bean, dried, raw","high"
"340","17-488","Oil, cod liver","1523.01","cod, liver oil","high"
"394","14-376","Pineapple, flesh only, raw","1318.01","pineapple, raw","medium"
"583","13-816","Cloves, dried","1656.01","cloves","medium"
"600","17-379","Yeast, dried","F1232.06","yeast, baking","medium"
"601","13-572","Spinach, mature, raw","1215.01","spinach, fresh, raw","medium"
