"original_food_id","original_food_name","food_genus_id","food_genus_description","food_group","food_subgroup","food_genus_confidence","fct_name","data_reference_original_id","moisture_in_g","energy_in_kcal","energy_in_kj","nitrogen_in_g","totalprotein_in_g","totalfats_in_g","saturatedfa_in_g","monounsaturatedfa_in_g","polyunsaturatedfa_in_g","cholesterol_in_mg","carbohydrates_in_g","fibre_in_g","ash_in_g","ca_in_mg","fe_in_mg","mg_in_mg","p_in_mg","k_in_mg","na_in_mg","zn_in_mg","cu_in_mg","mn_in_mcg","i_in_mcg","se_in_mcg","vitamina_in_rae_in_mcg","thiamin_in_mg","riboflavin_in_mg","niacin_in_mg","vitaminb6_in_mg","folicacid_in_mcg","folate_in_mcg","vitaminb12_in_mcg","pantothenate_in_mg","biotin_in_mcg","vitaminc_in_mg","vitamind_in_mcg","vitamine_in_mg","phytate_in_mg"
"1","Strawberry, raw",NA,NA,NA,NA,NA,"DK19","None listed","90","38","162","0.106","0.7",NA,NA,"8.3000000000000004E-2","0.34799999999999998","0","6.9","1.5","0.4","18.5","0.255","12.5","23.8","179","0.50800000000000001","0.104","3.8300000000000001E-2",NA,"5.0299999999999997E-2","0.18","3.33",0.0145,"1.11E-2",0.434,0.0455,NA,NA,"0",NA,NA,"66.900000000000006",NA,"0.41399999999999998",NA
"2","Apple, raw, all varieties",NA,NA,NA,NA,NA,"DK19","None listed","84.9","55","233","4.2999999999999997E-2","0.3",NA,NA,"7.0000000000000001E-3","0.13100000000000001","0","12.1","2.2000000000000002","0.3","4.13","0.121","4.49","9.52","118","0.60099999999999998","2.4199999999999999E-2","3.1E-2",NA,"9.7799999999999998E-2","5.1999999999999998E-3","2.08",0.0131,"8.2299999999999995E-3",0.123,0.046,NA,NA,"0",NA,NA,"8.26",NA,"0.254",NA
"3","Banana, raw",NA,NA,NA,NA,NA,"DK19","None listed","75.3","93","396","0.183","1.1000000000000001",NA,NA,"4.2999999999999997E-2","2.5000000000000001E-2","0","21","1.6","0.7","6.62","0.251","28.1","25.6","348","0","0.16700000000000001","0.106",NA,"4.7699999999999999E-2","0.35199999999999998","4.42",0.0399,"1.41E-2",0.595,0.305,NA,NA,"0",NA,NA,"11.2",NA,"0.27",NA
"4","Potato, raw",NA,NA,NA,NA,NA,"DK19","None listed","79.5","77","326","0.32400000000000001","2",NA,NA,"1.4E-2","0.16200000000000001","0","15.9","1.4","0.9","6.76","1.03","20.399999999999999","55.3","414","7","0.3","5.1999999999999998E-2",NA,"1.2","0.26800000000000002","0.83299999999999996",0.0553,"6.25E-2",1.6,0.2,NA,NA,"0",NA,NA,"26.4",NA,"0.1",NA
"5","Raspberry, raw",NA,NA,NA,NA,NA,"DK19","None listed","86.2","51","215","0.219","1.4",NA,NA,"0.104","0.873","0","6.2","4.4000000000000004","0.5","19.7","0.55000000000000004","17","38","228","2","0.34","0.105",NA,"0.4","0.189","3.5",0.03,"0.05",0.5,0.09,NA,NA,"0",NA,NA,"24",NA,"1.4",NA
"6","Milk, whole, konventional (not organic), 3.5 % fat",NA,NA,NA,NA,NA,"DK19","None listed","87.7","63","264","0.53600000000000003","3.4",NA,NA,"0.78400000000000003","7.2999999999999995E-2","13","4.5999999999999996","0","0.8","116","1.6E-2","11","92.7","144","44.3","0.41499999999999998","1.06E-2",NA,"10.7","1.64","31.7",0.0415,"0.17199999999999999",0.0871,0.046,NA,NA,"0.44600000000000001",NA,NA,"1.2",NA,"0.06",NA
"8","Parsley, raw",NA,NA,NA,NA,NA,"DK19","None listed","85.2","48","201","0.59399999999999997","3.7",NA,NA,"2.7E-2","0.73099999999999998","0","3.7","4.0999999999999996","2.1","185","3.6","29","72","641","64","0.46","0.09",NA,"13.5","0.1","474",0.12,"0.3",1.7,0.2,NA,NA,"0",NA,NA,"308",NA,"2.7",NA
"9","Pear, raw",NA,NA,NA,NA,NA,"DK19","None listed","85","49","207","4.9000000000000002E-2","0.3",NA,NA,"8.0000000000000002E-3","3.3000000000000002E-2","0","11.1","3.2","0.3","10.1","0.10299999999999999","6.46","11.2","122","0.77800000000000002","0.112","6.5000000000000002E-2",NA,"0.16500000000000001","0.1","5.42",0.00971,"8.5699999999999995E-3",0.23,0.01,NA,NA,"0",NA,NA,"6.06",NA,"0.57999999999999996",NA
"10","Rhubarb, raw",NA,NA,NA,NA,NA,"DK19","None listed","90.5","26","108","0.14399999999999999","0.9",NA,NA,"1.6E-2","0.16","0","3","3.8","1.5","115","0.3","12","24.2","280","3","0.23","5.6000000000000001E-2",NA,"0.3","0.371","9.83",0.03,"0.03",0.25,0.04,NA,NA,"0",NA,NA,"13",NA,"0.35",NA
"11","Currant, black, raw",NA,NA,NA,NA,NA,"DK19","None listed","79.099999999999994","75","314","0.24299999999999999","1.5",NA,NA,"8.3000000000000004E-2","0.73299999999999998","0","11.4","5.8","0.9","59.1","0.8","22","47.9","337","3","0.28999999999999998","9.9000000000000005E-2",NA,"1.5","1.1000000000000001","10.8",0.025,"2.5000000000000001E-2",0.3,0.08,NA,NA,"0",NA,NA,"181",NA,"2.1",NA
