"original_food_id","original_food_name","food_genus_id","food_genus_description","food_group","food_subgroup","food_genus_confidence","fct_name","data_reference_original_id","moisture_in_g","energy_in_kcal","energy_in_kj","nitrogen_in_g","totalprotein_in_g","totalfats_in_g","saturatedfa_in_g","monounsaturatedfa_in_g","polyunsaturatedfa_in_g","cholesterol_in_mg","carbohydrates_in_g","fibre_in_g","ash_in_g","ca_in_mg","fe_in_mg","mg_in_mg","p_in_mg","k_in_mg","na_in_mg","zn_in_mg","cu_in_mg","mn_in_mcg","i_in_mcg","se_in_mcg","vitamina_in_rae_in_mcg","thiamin_in_mg","riboflavin_in_mg","niacin_in_mg","vitaminb6_in_mg","folicacid_in_mcg","folate_in_mcg","vitaminb12_in_mcg","pantothenate_in_mg","biotin_in_mcg","vitaminc_in_mg","vitamind_in_mcg","vitamine_in_mg","phytate_in_mg"
"1001","Amaranth, whole grain, raw","1199.9.02","amaranth, grain, dried, raw","Cereals","cereals, other and products","h","JA15","None listed","13.5","358","1498",NA,"12.7","6.0","1.18","1.48","2.10","0",NA,"7.4","2.9","160","9.4","270","540","600","1","5.8","0.92",NA,"1","13","0",0.04,"0.14000000000000001",1,0.58,NA,NA,"0","1.69","16.3","0","0",NA,NA
"1002","Foxtail millet, milled grain, raw",NA,NA,NA,NA,NA,"JA15","None listed","13.3","367","1538",NA,"11.2","4.4000000000000004","0.67","0.52","2.75","0",NA,"3.3","1.4","14","4.8","110","280","300","1","2.5","0.49",NA,"0","2","0",0.56,"7.0000000000000007E-2",2.9,0.18,NA,NA,"0","1.83","14.4","0","0",NA,NA
"1003","Foxtail millet, glutinous cake",NA,NA,NA,NA,NA,"JA15","None listed","48.0","214","893",NA,"5.0999999999999996","1.3","0.22","0.19","0.73","0",NA,"1.5","0.3","5","0.7","12","39","62","0","1.1000000000000001","0.20",NA,"0","1","0",0.08,"0.01",0.3,0.03,NA,NA,"0","0.61","3.4","0","0",NA,NA
"1004","Common oats, oatmeal, raw
ï¼»Syn. Oatsï¼½",NA,NA,NA,NA,NA,"JA15","None listed","10.0","380","1590",NA,"13.7","5.7","0.94","1.80","2.09","0",NA,"9.4","1.5","47","3.9","100","370","260","3","2.1","0.28000000000000003",NA,"0","18","0",0.2,"0.08",1.1,0.11,NA,NA,"0","1.29","21.7","0","0",NA,NA
"1005","Barley, under-milled pressed grain, raw",NA,NA,NA,NA,NA,"JA15","None listed","14.0","341","1427",NA,"10.9","2.1","0.57999999999999996","0.20","0.91","0",NA,"10.3","0.9","23","1.3","46","180","220","2","1.4","0.32",NA,NA,NA,"0",0.22,"7.0000000000000007E-2",3.2,0.14,NA,NA,"0","0.43",NA,"0","0",NA,NA
"1006","Barley, pressed grain, raw",NA,NA,NA,NA,NA,"JA15","None listed","14.0","340","1423",NA,"6.2","1.3","0.36","0.12","0.56","0",NA,"9.6","0.7","17","1.0","25","110","170","2","1.2","0.40",NA,"0","1","0",0.06,"0.04",1.6,0.14,NA,NA,"0","0.46","2.6","0","0",NA,NA
"1007","Barley, split grain, raw",NA,NA,NA,NA,NA,"JA15","None listed","14.0","343","1435",NA,"7.0","2.1","0.58","0.20","0.91","0",NA,"8.6999999999999993","0.7","17","1.2","25","140","170","2","1.2","0.37",NA,"0","1","0",0.19,"0.05",2.3,0.19,NA,NA,"0","0.64","3.5","0","0",NA,NA
"1008","Barley, dried noodles, raw",NA,NA,NA,NA,NA,"JA15","None listed","14.0","339","1418",NA,"12.9","1.7","0.42","0.16","0.82","0",NA,"6.3","3.4","27","2.1","63","200","240","1100","1.5","0.33",NA,NA,NA,"0",0.21,"0.04",3.5,0.09,NA,NA,"0","0.64",NA,"0","0",NA,NA
"1009","Barley, dried noodles, boiled",NA,NA,NA,NA,NA,"JA15","None listed","70.0","122","510",NA,"4.8","0.6","0.15","0.05","0.29","0",NA,"2.5","0.3","12","0.9","18","61","10","64","0.6","0.13",NA,NA,NA,"0",0.04,"0.01",1,0.01,NA,NA,"0","0.26",NA,"0","0",NA,NA
"1010","Barley, roasted flour",NA,NA,NA,NA,NA,"JA15","None listed","3.5","391","1636",NA,"12.5","5.0","1.39","0.47","2.17","0",NA,"15.5","1.9","43","3.1","130","340","490","2","3.8","0.41",NA,NA,NA,"0",0.09,"0.10",7.6,0.09,NA,NA,"0","0.28000000000000003",NA,"0","0",NA,NA
