"original_food_id","original_food_name","food_genus_id","food_genus_description","food_group","food_subgroup","food_genus_confidence","fct_name","data_reference_original_id","moisture_in_g","energy_in_kcal","energy_in_kj","nitrogen_in_g","totalprotein_in_g","totalfats_in_g","saturatedfa_in_g","monounsaturatedfa_in_g","polyunsaturatedfa_in_g","cholesterol_in_mg","carbohydrates_in_g","fibre_in_g","ash_in_g","ca_in_mg","fe_in_mg","mg_in_mg","p_in_mg","k_in_mg","na_in_mg","zn_in_mg","cu_in_mg","mn_in_mcg","i_in_mcg","se_in_mcg","vitamina_in_rae_in_mcg","thiamin_in_mg","riboflavin_in_mg","niacin_in_mg","vitaminb6_in_mg","folicacid_in_mcg","folate_in_mcg","vitaminb12_in_mcg","pantothenate_in_mg","biotin_in_mcg","vitaminc_in_mg","vitamind_in_mcg","vitamine_in_mg","phytate_in_mg"
"1001","Amaranth, whole grain, dry, raw","1199.9.02","amaranth, grain, dried, raw","Cereals","cereals, other and products","h","KE18","KEN93-59, US28-20001, IN17-A002","10","360","1520",NA,"14.7","5.6",NA,NA,NA,NA,"59.2","7.5","3.1","162","9.5","270","397","413","3","2.5",NA,NA,NA,"21","0",0.07,"0.21",0.5,NA,NA,"82","0",NA,NA,"1",NA,NA,NA
"1046","Amaranth, whole grain, dry, stewed (without salt)",NA,NA,NA,NA,NA,"KE18",NA,"69.8","121","510",NA,"4.9","1.9",NA,NA,NA,NA,"19.9","2.5","1.1","56","3.2","91","133","139","3","0.85",NA,NA,NA,"7","0",0.02,"0.07",0.2,NA,NA,"22","0",NA,NA,"0",NA,NA,NA
"1002","Amaranth, whole grain, flour",NA,NA,NA,NA,NA,"KE18","KEN93-59, US28-20001,IN17-A001,IN17-A002","10.2","365","1540",NA,"13.8","6.3",NA,NA,NA,NA,"59.6","7.1","3","161","8.9","259","405","461","3","2.7",NA,NA,NA,"20","0",0.08,"0.15",0.7,NA,NA,NA,"0",NA,NA,"1",NA,NA,NA
"1003","Biscuit, Savoury","F0022.15","biscuit, savoury","Cereals","wheat and products","h","KE18","KEN93-307 a,AU14-02C10122,AU14-02C10117","4.5","492","2060",NA,"6.6","24.9",NA,NA,NA,NA,"58.9","3.3","1.9","38","1.4","27","177","161","637","0.83",NA,NA,NA,"15","8",0.16,"0.06",1.3,NA,NA,"21","0",NA,NA,"3",NA,NA,NA
"1004","Biscuit, Sweet","F0022.03","biscuits, sweet, plain","Cereals","wheat and products","m","KE18","KEN93-307 b,AU14-02C20287,AU14-02C20380","4.3","460","1930",NA,"6.1","17.2",NA,NA,NA,"12","69.3","2.1","1.1","45","1.4","19","98","158","298","0.6",NA,NA,NA,"10","40",0.09,"0.03",0.7,NA,NA,"23","0.1",NA,NA,"7",NA,NA,NA
"1005","Bread, Brown","F0020.02","bread, wheat flour, unrefined","Cereals","wheat and products","m","KE18","KEN93-1,AU14-02B10605,AU14-02B10649,AU14-02B10751","36","245","1040",NA,"8","1.5",NA,NA,NA,NA,"46.9","5.9","1.7","56","2.6","58","134","191","446","1.3",NA,NA,NA,"13","0",0.22,"0.01",3.4,NA,NA,"37","0.05",NA,NA,"0",NA,NA,NA
"1006","Bread, Sweet","F0020.07","bread, sweet, wheat flour, refined","Cereals","wheat and products","h","KE18","KEN93-2,AU14-02B10603,AU14-02B10749","23.5","368","1540",NA,"8.3","14.4",NA,NA,NA,NA,"50.6","1.5","1.8","80","1.9","18","147","227","369","0.8",NA,NA,NA,"20","74",0.2,"0.16",2.3,NA,NA,"33","0.23",NA,NA,"0.6",NA,NA,NA
"1007","Bread, White","F0020.01","bread, wheat flour, refined","Cereals","wheat and products","m","KE18","KEN93-2,AU14-02B10603,AU14-02B10749","36.9","249","1050",NA,"7.7","1.9",NA,NA,NA,NA,"48.8","3.1","1.7","37","1.7","27","95","120","466","0.8",NA,NA,NA,"10","0",0.16,"0.06",3.8,NA,NA,"28","0.07",NA,NA,"0",NA,NA,NA
"1008","Breakfast cereal, flakes of corn, fortified (iron, thiamine, riboflavin, niacin and folate)",NA,NA,NA,NA,NA,"KE18","KEN93-6, KEN93-7, ZA10-3243, AU14-02D10360, UK7-11-745","3.5","372","1580",NA,"7.5","0.7",NA,NA,NA,NA,"82.6","2.95","2.8","3.2","10.2","13","45","110","1090","0.2",NA,NA,NA,"5.5","11",1,"1.5",17.7,NA,NA,"4","0",NA,NA,"0",NA,NA,NA
"1009","Breakfast cereal, flakes of corn","23140.03.01","breakfast cereal, flakes","Cereals","wheat and products","m","KE18","KEN93-6, KEN93-7, ZA10-3243, UK7-11-745","3.5","373","1580",NA,"7.5","0.7",NA,NA,NA,NA,"83","2.6","2.8","3","0.4","13","45","110","1090","0.2",NA,NA,NA,"9","10",0,"0.08",0.8,NA,NA,"4","0",NA,NA,"0",NA,NA,NA
"1010","Breakfast cereal, wheat biscuits, Weetabix type",NA,NA,NA,NA,NA,"KE18","KEN93-25, ZA10-3244, UK7-11-774","3.8","366","1550",NA,"11.5","1.9",NA,NA,NA,NA,"70.7","9.9","2.1","30","7.6","125","308","392","360","2",NA,NA,NA,"5.1","0",1,"1.24",11,NA,NA,"53","0",NA,NA,"0",NA,NA,NA
"1011","Buns, Currant","F0022.01","buns","Cereals","wheat and products","m","KE18","KEN93-308, UK7-11-1009, AU14-02E20116","29","306","1290",NA,"7","6.8",NA,NA,NA,"1.5","52.8","2.9","1.5","90","2.5","27","100","210","100","0.6",NA,NA,NA,"9","0",0.2,"0.03",2.1,NA,NA,"12","0",NA,NA,"0",NA,NA,NA
"1012","Cake or cupcake, plain butter cake, commercial","F0022.09","cake, plain butter","Cereals","wheat and products","h","KE18","AU14-02E10438,AU14-02E10465","25.9","363","1530",NA,"7.1","15.3",NA,NA,NA,"82.5","48.8","1.1","1.9","63","1","14","310","110","480","0.5",NA,NA,NA,"7","50",0.06,"0.14",0.7,NA,NA,"8.5","0.15",NA,NA,"0",NA,NA,NA
"1013","Cake, Fruit","F0022.10","cake, fruit","Cereals","wheat and products","h","KE18","KEN93-309,AU14-02E10443,AU14-02E10444,AU14-02E10530","20","368","1550",NA,"4","12.3",NA,NA,NA,"38","58.8","3.1","1.8","75","2","23","106","347","170","0.5",NA,NA,NA,"4","8",0.1,"0.1",0.2,NA,NA,"0","0.2",NA,NA,"0",NA,NA,NA
"1014","Cake, Sponge, homemade","F0022.11","cake, sponge, homemade","Cereals","wheat and products","h","KE18","KEN93-310,UK7-11-956, US28-18134","15","465","1940",NA,"6.5","26.7",NA,NA,NA,"161","49.1","1.1","1.6","140","1.4","12","246","105","350","0.6",NA,NA,NA,"7","323",0.04,"0.13",0.5,NA,NA,"9","0.9",NA,NA,"0",NA,NA,NA
"1015","Cake, Sponge, without fat","F0022.12","cake, sponge, without fat","Cereals","wheat and products","h","KE18","KEN93-311, UK7-11-957, KEN17-001014","30","304","1280",NA,"10","6.3",NA,NA,NA,"203","51.2","1.2","1.3","70","2","15","137","136","80","0.9",NA,NA,NA,"14","73",0.1,"0.25",0.5,NA,NA,"16","1.6",NA,NA,"0",NA,NA,NA
"1016","Cakes (Various Fancy Iced)","F0022.13","cake, iced","Cereals","wheat and products","h","KE18","KEN93-312, UK7-11-839","15.7","412","1730",NA,"13","16.8",NA,NA,NA,"31.1","51.5","1.1","1.9","45","1.5","10","148","147","250","0.3",NA,NA,NA,"3","0",0.03,"0.5",0.5,NA,NA,"7","0.2",NA,NA,"0",NA,NA,NA
"1017","Cornflour, from maize starch",NA,NA,NA,NA,NA,"KE18","KEN93-8, AU14-02A20108, US28-20027, UK7-11-1045","10.6","355","1510",NA,"0.5","0.4",NA,NA,NA,NA,"87.1","0.6","0.8","12","0.7","3","24","7","10","0.2",NA,NA,NA,"2","0",0.02,"0",0.2,NA,NA,"1","0",NA,NA,"0",NA,NA,NA
"1018","Maize, grain, white variety, whole, dry, raw","112.01","maize, grain, white, dried, raw","Cereals","maize and products (including white maize)","h","KE18","SGS, ZA10-3271, IN17-A006","13.6","345","1450",NA,"7.94","4.5",NA,NA,NA,NA,"63.4","9.4","1.2","24","2.6","75","367","226","12","1.88",NA,NA,NA,"8","0",0.25,"0.1",2,NA,NA,"71","0",NA,NA,"0",NA,NA,NA
"1047","Maize, grain, white variety, whole, dry, boiled, drained (without salt)",NA,NA,NA,NA,NA,"KE18",NA,"72.1","111","469",NA,"2.6","1.5",NA,NA,NA,NA,"20.5","3","0.4","9","0.8","25","112","59","5","0.58",NA,NA,NA,"3","0",0.04,"0.02",0.5,NA,NA,"16","0",NA,NA,"0",NA,NA,NA
