"original_food_id","original_food_name","food_genus_id","food_genus_description","food_group","food_subgroup","food_genus_confidence","fct_name","data_reference_original_id","moisture_in_g","energy_in_kcal","energy_in_kj","nitrogen_in_g","totalprotein_in_g","totalfats_in_g","saturatedfa_in_g","monounsaturatedfa_in_g","polyunsaturatedfa_in_g","cholesterol_in_mg","carbohydrates_in_g","fibre_in_g","ash_in_g","ca_in_mg","fe_in_mg","mg_in_mg","p_in_mg","k_in_mg","na_in_mg","zn_in_mg","cu_in_mg","mn_in_mcg","i_in_mcg","se_in_mcg","vitamina_in_rae_in_mcg","thiamin_in_mg","riboflavin_in_mg","niacin_in_mg","vitaminb6_in_mg","folicacid_in_mcg","folate_in_mcg","vitaminb12_in_mcg","pantothenate_in_mg","biotin_in_mcg","vitaminc_in_mg","vitamind_in_mcg","vitamine_in_mg","phytate_in_mg"
"11001","Maize, sorghum and wheat grains, boiled (Likhobe)",NA,NA,NA,NA,NA,"LS06","Recipe","73.2480988593156",NA,"434.7548","0.469201520912548","2.93250951","1.82129278","0.241539923954373","0.404752851711027","0.98745247148289","0","19.521863118","2.79467681","1.8412548","25.237643","1.00998098859316","33.536122","97.05798","104.3203422","207.604562737643","0.469106463878327","0.128707224334601","66.957319391635",NA,"0",NA,0.0645057034220532,"0.0232699619771863",0.566178707224335,0.0326235741444867,NA,NA,NA,NA,NA,"0","0","0.592395436355823",NA
"11002","Maize meal, super, white, unfortified, raw",NA,NA,NA,NA,NA,"LS06","MRC05","12",NA,"1471.4","1.23","7.7","1.4","0.189","0.28","0.42",NA,"74","4.9","0.5","3","0.7","36","60","108","3","0.58","0.1","170",NA,NA,NA,0.13,"0.02",0.8,0.17,NA,NA,NA,NA,NA,"0.12","0","0.34",NA
"11042","Maize meal, super, white, fortified, raw",NA,NA,NA,NA,NA,"LS06","MRC05","12.1",NA,"1482.9","1.22","7.6","1.7","0.195","0.32","0.491","0","74","4.1","0.5","5","2.6","38","60","98","3","2.07","0.1","190",NA,NA,NA,0.43,"0.19",3.5,0.63,NA,NA,NA,NA,NA,"0.12",NA,"0.36",NA
"11003","Maize meal, white, sifted, unfortified, raw",NA,NA,NA,NA,NA,"LS06","MRC05","11.9",NA,"1482.7","1.33","8.3","3.3","0.462","0.897","1.431","0","68","7.3","0.9","3","1.5","98","190","196","3","1.67","0.16","360",NA,NA,NA,0.38,"0.05",1.7,0.31,NA,NA,NA,NA,NA,"128",NA,"0.56",NA
"11043","Maize meal, white, sifted, fortified, raw",NA,NA,NA,NA,NA,"LS06","MRC05","11.8",NA,"1487.8","1.35","8.4","3.2","0.421","0.825","1.376","0","69","6.7","0.9","12","3.2","98","90","197","4","2.98","0.16","330",NA,NA,NA,0.68,"0.23",4.6,0.75,NA,NA,NA,NA,NA,"125",NA,"0.62",NA
"11004","Maize meal, yellow, refined, raw",NA,NA,NA,NA,NA,"LS06","SA91","13",NA,"1488.2","1.424","8.9","2.5","0.33","0.78","0.95","0","81.6","3.4","0.6","4","0.7","75","174","251","7","0.9","0.09","300",NA,"0",NA,0.32,"0.04",0.9,0.06,NA,NA,NA,NA,NA,"0","0","0.64",NA
"11005","Maize meal, special, white, unfortified, raw",NA,NA,NA,NA,NA,"LS06","MRC05","12",NA,"1493.6","1.24","7.7","2.9","0.392","0.78","1.255","0","71.5","5.2","0.8","9","2.9","88","175","186","4","2.91","0.14","290",NA,NA,NA,0.77,"0.21",4.6,0.72,NA,NA,NA,NA,NA,"131",NA,"0.62",NA
"11006","Maize meal, special, white, fortified, raw",NA,NA,NA,NA,NA,"LS06","MRC05","11.6",NA,"1497.7","1.23","7.6","2.9","0.392","0.78","1.255",NA,"71.5","5.5","0.8","6","1.2","83","105","180","7","1.53","0.22","540",NA,"0",NA,0.38,"0.05",1.6,0.37,NA,NA,NA,NA,NA,"126","0","0.49",NA
"11007","Maize, whole grain, white, dried, raw",NA,NA,NA,NA,NA,"LS06","SA91","13",NA,"1450.39","1.472","9.2","4.3","0.53","1.23","1.94","0","75.3","10.6","1.13","10","3","123","241","346","11","2.3","0.2","700",NA,"0",NA,0.5,"0.12",2.2,0.3,NA,NA,NA,NA,NA,"0","0","1.3",NA
"11040","Maize, whole, grain, white, dried, roasted (Machechisa)",NA,NA,NA,NA,NA,"LS06","Recipe","67.4157303370787",NA,"629.3633","0.551310861423221","3.43249287","1.60431732","0.19774143721134","0.458909373150845","0.723808279603772","0","28.202247191","3.95482874","0.4215997","3.730971","1.11929115402645","45.890937","89.91639","129.0915798","4.10406756476365","0.858123218086946","0.0746194102684301","261.167935939505",NA,"0",NA,0.158566246820414,"0.0380558992368993",0.779772837305094,0.0839468365519838,NA,NA,NA,NA,NA,"0","0","0.485026166744795",NA
"11010","Maize, whole grain, yellow, dried, raw",NA,NA,NA,NA,NA,"LS06","SA91","13",NA,"1450.39","1.472","9.2","4.3","0.53","1.23","1.94","0","75.3","10.6","1.13","10","3","123","241","346","11","2.3","0.2","700",NA,"0",NA,0.5,"0.12",2.2,0.3,NA,NA,NA,NA,NA,"0","0","1.3",NA
"11014","Maize samp/rice , white, raw",NA,NA,NA,NA,NA,"LS06","SA91","13",NA,"1454","1.408","8.8","0.7","0.09","0.21","0.28","0","85.9","3.2","0.6","3","0.6","28","60","110","3","0.5","0.07","100",NA,"0",NA,0.13,"0.01",0.5,0.025,NA,NA,NA,NA,NA,"0","0","0.18",NA
"11015","Maize samp/rice, white, boiled",NA,NA,NA,NA,NA,"LS06","SA91","78.2",NA,"364","0.352","2.2","0.2","0.03","0.05","0.07","0","21.5","0.8","0.2","1","0.2","7","15","28","1","0.13","0.02","30",NA,"0",NA,0.03,"0",0.1,0.006,NA,NA,NA,NA,NA,"0","0","0.05",NA
"11038","Maize samp with dried beans (Umngdusho)",NA,NA,NA,NA,NA,"LS06","Recipe","62.3774671052632",NA,"613.5835","0.845394736842105","5.28371711","1.64473684","0.213610197368421","0.301027960526316","1.05123355263158","0","27.158717105","4.64638158","1.004523","19.777961","1.33758223684211","10.365954","46.05674","257.3560855","171.052631578947","0.625411184210526","0.20139802631579","0",NA,"0",NA,0.0715460526315789,"0.0197368421052632",0.370065789473684,0.0569901315789474,NA,NA,NA,NA,NA,"0.616776315789474","0","0.590707236842105",NA
"11018","Hard porridge from white maize meal, boiled (Papa )",NA,NA,NA,NA,NA,"LS06","Recipe","66.632874617737",NA,"568.8838","0.54434250764526","3.40214067","0.95565749","0.126146788990826","0.298165137614679","0.363149847094801","0","31.19266055","1.29969419","0.3396024","3.733945","0.267584097859327","29.772171","66.51376","95.9480122","4.88073394495413","0.344036697247706","0.0421207951070336","114.678899082569",NA,"0",NA,0.073394495412844,"0.00917431192660551",0.206422018348624,0.0137614678899083,NA,NA,NA,NA,NA,"0","0","0.244648318042813",NA
"11019","Soft porridge from white maize meal, boiled (Lesheleshele)",NA,NA,NA,NA,NA,"LS06","Recipe","82.7470588235294",NA,"291.5675","0.197093425605536","1.23183391","0.34602076","0.0456747404844291","0.107958477508651","0.131487889273356","0","16.297577855","0.47058824","0.2598616","7.567474","0.273356401384083","12.460208","25.0692","52.5951557","5.1280276816609","0.124567474048443","0.0246782006920415","41.522491349481",NA,"0",NA,0.0268858131487889,"0.0042560553633218",0.0809688581314879,0.00498269896193772,NA,NA,NA,NA,NA,"0","0","0.0885813148788927",NA
"11020","Hard porridge from yellow maize meal, boiled (Papa)",NA,NA,NA,NA,NA,"LS06","Recipe","66.632874617737",NA,"568.8838","0.54434250764526","3.40214067","0.95565749","0.126146788990826","0.298165137614679","0.363149847094801","0","31.19266055","1.29969419","0.3396024","3.733945","0.267584097859327","29.772171","66.51376","95.9480122","4.88073394495413","0.344036697247706","0.0421207951070336","114.678899082569",NA,"0",NA,0.073394495412844,"0.00917431192660551",0.206422018348624,0.0137614678899083,NA,NA,NA,NA,NA,"0","0","0.244648318042813",NA
"11021","Popped corn, plain, salted","112.03","popcorn","Cereals","maize and products (including white maize)","m","LS06","GB6","0.9",NA,"2506.7","0.99","6.2","42.8","4.3","14.5","19.7","0","44.272727273",NA,"2","10","1.1","81","170","220","4","1.7",NA,"0.01",NA,NA,NA,0.18,"0.11",1,0.2,NA,NA,NA,NA,NA,"0",NA,"11.03",NA
"11022","Rice, white, raw",NA,NA,NA,NA,NA,"LS06","US18","13.29",NA,"1450.09","1.09243700980938","6.5","0.52","0.14","0.161","0.138","0","76.35","2.8","0.54","3","4.23","23","95","76","1","1.1","0.21","1.037",NA,"15.1",NA,0.565,"0.048",4.113,0.171,NA,NA,NA,NA,NA,"0","0","0.1",NA
"11023","Rice, white, boiled",NA,NA,NA,NA,NA,"LS06","US18","68.53",NA,"526.39","0.396638668176945","2.36","0.19","0.051","0.058","0.05","0","27.73","1","0.2","1","1.46","8","33","26","0","0.4","0.072","0.357",NA,"7.5",NA,0.164,"0.016",1.493,0.059,NA,NA,NA,NA,NA,"0","0","0",NA
"11024","Mealie meal and wheat bread (Mochahlama)",NA,NA,NA,NA,NA,"LS06","Recipe","73.5726087103293",NA,"440.5449","0.481521468937823","2.89535619","0.48590993","0.0685151703060722","0.0845994435399849","0.169756795210746","0","20.67817492","1.01452009","0.5475448","15.626103","0.549492756736519","16.185569","40.64158","56.7570227","124.999472540659","0.331160552485849","0.0580738728865184","0",NA,"0.517857183957871",NA,0.0449380973716797,"0.0237968077009831",0.444939526306987,0.0416561014962199,NA,NA,NA,NA,NA,"0.0238435597789811","0","0.124360527474686",NA
"11030","Sorghum, whole grain, raw",NA,NA,NA,NA,NA,"LS06","US18","9.2",NA,"1526.21","1.808","11.3","3.3","0.457","0.993","1.37","0","68.33","6.3","1.57","28","4.4",NA,"287","350","6",NA,NA,NA,NA,NA,NA,0.237,"0.142",2.927,NA,NA,NA,NA,NA,NA,"0","0","0",NA
"11025","Sorghum flour",NA,NA,NA,NA,NA,"LS06","MALI","11",NA,"1478.37","1.6592","10.37","1.7",NA,NA,NA,"0","72.2","4.66","1.57","12","5.8",NA,NA,NA,"44","2.14",NA,NA,NA,NA,NA,0.18,"0.12",0.91,NA,NA,NA,NA,NA,NA,"0","0","0",NA
"11026","Sorghum porridge, hard (Papa)",NA,NA,NA,NA,NA,"LS06","Recipe","65.7157031419826",NA,"567.6535","0.63708729629854","3.9817956","0.65275338","0","0","0","0","27.722819909","1.7893122","0.7135746","6.822425","2.2270409345055","1.107377","0","0","19.1095471083569","0.821701310317548","0.00775163834237881","0",NA,"0",NA,0.0414690380907921,"0.0276460253938614",0.209649025903449,0,NA,NA,NA,NA,NA,"0","0","0",NA
"11027","Sorghum porridge, soft (Lesheleshele)",NA,NA,NA,NA,NA,"LS06","Recipe","82.4254638862853",NA,"302.145","0.294892338917117","1.84307712","0.82616509","0.353550060254124","0.164018069190058","0.0200466529010071","1.82242299100064e-06","14.038731774","0.56616608","0.4735262","28.93704","0.877800407331975","4.012368","16.72073","42.4624557","17.926567488143","0.329251087040782","0.0125504196646911","0.728969196400256",NA,"0.364484598200128",NA,0.0155817165730555,"0.0248760738271588",0.0827380037914291,0.00295232524542104,NA,NA,NA,NA,NA,"0.182242299100064","0.00546726897300192","0.025513921874009",NA
"11037","Wheat, whole grain, raw",NA,NA,NA,NA,NA,"LS06","US18","12.17",NA,"1383.25","1.77530019475895","10.35","1.56","0.289","0.178","0.656","0","61.74","12.5","1.68","27","3.21","126","493","397","2","2.63","0.45","4.391",NA,NA,NA,0.394,"0.096",4.8,0.272,NA,NA,NA,NA,NA,"0","0","1.00999999046326",NA
"11031","Wheat flour, for brown bread",NA,NA,NA,NA,NA,"LS06","GB6","14",NA,"1494.01","2.2","12.6","2","0.3","0.2","0.9","0","62.272727273",NA,"0.47","130","3.2","80","230","250","4","1.9","0.32","1.9",NA,"4",NA,0.39,"0.07",4,0.3,NA,NA,NA,NA,NA,"0",NA,"0.6",NA
"11032","Wheat flour, for white bread",NA,NA,NA,NA,NA,"LS06","GB6","14",NA,"1482.01","2.02","11.5","1.4","0.2","0.1","0.6","0","68.454545455",NA,"0.47","140","2.1","31","120","130","3","0.9","0.18","0.7",NA,"3",NA,0.32,"0.03",2,0.15,NA,NA,NA,NA,NA,"0",NA,"0.3",NA
