"original_food_id","original_food_name","food_genus_id","food_genus_description","food_group","food_subgroup","food_genus_confidence","fct_name","data_reference_original_id","moisture_in_g","energy_in_kcal","energy_in_kj","nitrogen_in_g","totalprotein_in_g","totalfats_in_g","saturatedfa_in_g","monounsaturatedfa_in_g","polyunsaturatedfa_in_g","cholesterol_in_mg","carbohydrates_in_g","fibre_in_g","ash_in_g","ca_in_mg","fe_in_mg","mg_in_mg","p_in_mg","k_in_mg","na_in_mg","zn_in_mg","cu_in_mg","mn_in_mcg","i_in_mcg","se_in_mcg","vitamina_in_rae_in_mcg","thiamin_in_mg","riboflavin_in_mg","niacin_in_mg","vitaminb6_in_mg","folicacid_in_mcg","folate_in_mcg","vitaminb12_in_mcg","pantothenate_in_mg","biotin_in_mcg","vitaminc_in_mg","vitamind_in_mcg","vitamine_in_mg","phytate_in_mg"
"MW03_0001","Beef mince, fried, (Nyama ya ng'ombe yogaya yokazinga)",NA,NA,NA,NA,NA,"MW19","R20B","67.254602787102","158.73879","663.0295","2.53738175","15.8712237","9.28827179","0.838164988","1.58681721086359","5.34635337","0","2.47787610619469",NA,"1.33719865730851","94.168468","7.02624352","72.745652","131.133231614281","295.4971659","38.1248856","2.45498932","0.4241684",NA,NA,"0.906316753",NA,0.040631675,"0.138708499",4.45642356,0.161205371,NA,NA,"1.00038144644492",NA,NA,"1.31187061","0.317363442172719","3.53135998372495",NA
"MW03_0002","Beef stew, (Nyama ya ng'ombe yokazingira)",NA,NA,NA,NA,NA,"MW19","R27","73.5778443113772","94.14579","398.51601","2.69740519","16.8770459","1.28287425",NA,NA,NA,NA,"2.99800399201597",NA,"1.57033932135729","251.565691","10.44278942","43.139521","143.071089820359","391.8962555","39.7206188","3.31557884","1.699648","0.05461078","0.3842315","5.169421158","18.10778",0.055135729,"0.15210507",4.40282635,0.166373453,NA,NA,"0.93061876247505","0.008148503",NA,"6.83538922","0.332135728542914","0.452506986027944",NA
"MW03_0003","Beef, kidney, raw, (Impsyo ya ng'ombe)",NA,NA,NA,NA,NA,"MW19","WA","77.9","98.7","415.6","2.78","17.4","3.1",NA,NA,NA,NA,"0.3",NA,"1.3","13","4.6","17","257","262","182","1.92","0.43",NA,NA,NA,"419",0.36,"2.84",8,0.67,NA,NA,"27.5",NA,NA,"9.4","1.1","0.22",NA
"MW03_0004","Beef, liver, raw, (Chiwindi cha ng'ombe)",NA,NA,NA,NA,NA,"MW19","WA","71","132.8","558.9","3.1","19.4","4.4",NA,NA,NA,NA,"3.9",NA,"1.3","7","8.8","18","369","313","69","3.5","9.76",NA,NA,NA,"4970",0.19,"1.56",13.2,1.08,NA,NA,"59.3",NA,NA,"1.3","1.2",NA,NA
"MW03_0005","Beef, liver, stew, (chiwindi cha ng'ombe chokazingira)",NA,NA,NA,NA,NA,"MW19","R53","78.7309861001836","113.23741","473.94348","1.37817991","8.6260818","5.8524128","0.406667978","0.768587726199843","2.59195515",NA,"5.44912142669814",NA,"0.876081825334383","244.492526","8.17892735","51.984002","171.278127458694","280.65139","34.415257","3.44708891","5.48174","17.74744",NA,"4.581825334","1847.827",0.094867886,"0.651344086",5.1952203,0.453851954,NA,NA,"20.6550780225544","0.0252822581","0.714742328874902","15.62001705","0.491738788355626","1.83874246000525",NA
"MW03_0006","Beef, raw, (Nyama ya ng'ombe)","21111.01.01","beef, lean, with bones, fresh, raw","Animal Products","bovine meat and products","h","MW19","22","72.1","95.07","402.21","3.27","20.46","1.47",NA,NA,NA,NA,"0",NA,"1.6","0.636028","7.45","22.9","176.9776","374.7761","52.05","1.77","0.104",NA,NA,NA,NA,0.062,"0.197799",6.45,0.23944,NA,NA,"1.457",NA,NA,"0","0.416","0.23944",NA
"MW03_0007","Beef, tripe, raw, (Nthumbwana za ng'ombe)",NA,NA,NA,NA,NA,"MW19","WA","84.2","81.7","342.6","1.94","12.1","3.7",NA,NA,NA,NA,"0",NA,"0.6","69","0.6","13","64","67","97","1.42","0.07",NA,NA,NA,"0",0,"0.06",0.9,0.01,NA,NA,"1.4",NA,NA,"0","0","0.09",NA
"MW03_0008","Caterpillar, dry, roasted, Usta terphrichore,(Nyamanyama zootcha)","21183.03","caterpillar, dried, roasted","Animal Products","meat, other and products","h","MW19","23","14.7","376.9","1587.7","10.16","63.5","11.3",NA,NA,NA,NA,"0",NA,"5.2","0.6613","208.5","4.6",NA,"656.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MW03_0009","Caterpillar, roasted, Imbrasia ertli, (Mphalabungu zootcha)",NA,NA,NA,NA,NA,"MW19","23","20.7","308","1299.5","7.12","44.5","7.6",NA,NA,NA,NA,"0",NA,"11.8","0.6109","226.3","4.2",NA,"606.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MW03_0010","Chicken stew, (Nkhuku yokazingira)","F1061.01","chicken meat, fresh, stew","Animal Products","poultry meat and products","l","MW19","R41","72.5296658986175","157.04687","655.19509","2.38767281","14.9254608","9.80327189","0.653686636","1.23663594470046","4.16820276",NA,"1.73617511520737",NA,"1.09035714285714","120.063364","2.89478687","28.364977","110.367580645161","216.4405818","32.5937615","2.00669355","0.7337529","12.46604","0.4435484","2.284170507","13.25115",0.055448445,"0.050560484",2.23567051,0.144195565,NA,NA,"0.107834101382488","0.0165286866","0.502361751152074","10.29278226","0","2.91409562211982",NA
"MW03_0011","Chicken, meat with skin, free range, local, raw, (Nkhuku ya chikuda)","21121.01","chicken meat, fresh, raw","Animal Products","poultry meat and products","h","MW19","26","73.06","128.77","541.11","3.376","21.1","4.93",NA,NA,NA,NA,"0",NA,"1.326","8","0.96","17.6","145.6","207.2","43.2","1.6",NA,NA,NA,NA,"7.2",0.088,"0.064",3.712,0.272,NA,NA,"0.24",NA,NA,"1.28",NA,"0.28",NA
"MW03_0012","Crabs, boiled, (Nkhanu/Nkhala zowilitsa)",NA,NA,NA,NA,NA,"MW19","9","51","191.486","810.428","6.683","41.774","2.71",NA,NA,NA,NA,"0",NA,"4.516","3292","5.645","259","553","304","578","6.323",NA,NA,NA,NA,"101.613",0.181,"0.542",5.655,0.34,NA,NA,"20.323",NA,NA,"15.807",NA,NA,NA
"MW03_0013","Egg, chicken, boiled, (Dzira lowilitsa)","231.02","egg, chicken, boiled","Animal Products","eggs and products","h","MW19","R59","72.2222222222222","164.33333","684.11111","2.24","14","11.44444444",NA,NA,NA,NA,"1.33333333333333",NA,"1","43.333333","2","10","213.333333333333","103.4444444","140","1.27777778",NA,NA,NA,NA,"74.44444",0.115555556,"0.422222222",0.10555556,0.042222222,NA,NA,"1.79444444444444",NA,NA,"0",NA,NA,NA
"MW03_0014","Egg, chicken, scrambled, (Dzira la nkhuku lokanya)",NA,NA,NA,NA,NA,"MW19","R61","66.6029106029106","231.15708","956.92939","1.59251559","9.9577131","20.39055539","6.11969112","3.32343332343332","1.88149688",NA,"1.95280665280665",NA,"1.0959310959311","54.796555","1.35729136","9.325809","161.271161271161","98.6570835","218.3522424","0.93287793",NA,NA,NA,NA,"185.1203",0.278838729,"0.567864568",2.76433026,0.332699733,NA,NA,"1.41416691416691",NA,NA,"0.17671518",NA,"1.4995544995545",NA
"MW03_0015","Egg, chicken, whole, raw, (Dzira la nkhuku)","231.01","egg, chicken, raw","Animal Products","eggs and products","h","MW19","MZF","75","147.9","615.7","2.016","12.6","10.3",NA,NA,NA,NA,"1.2",NA,"0.9","39","1.8","9","192","98","126","1.15",NA,NA,NA,NA,"67",0.13,"0.4",0.1,0.04,NA,NA,"1.9",NA,NA,"0",NA,NA,NA
"MW03_0016","Egg, duck, boiled, (Dzira la bakha lowilitsa/lobwatitsa)",NA,NA,NA,NA,NA,"MW19","9","70","153.164","637.722","2.072","12.945","10.58",NA,NA,NA,NA,"1.541",NA,"1.13","108","3.955","14","450","99","60","1.5","0.1","30",NA,NA,"199.315",0.164,"0.411",0.205,0.257,NA,NA,"5.548",NA,NA,"0",NA,"1.377",NA
"MW03_0017","Eggs, chicken, boiled, with peas, (Mazira owilitsa ndi nsawawa)",NA,NA,NA,NA,NA,"MW19","R63","82.3971463820201","96.96637","405.10653","0.67608003","4.2314627","5.60044199","0.290725742","0.514831303974682","1.7608754",NA,"5.74755779649198",NA,"0.63161937456418","176.568149","3.22303492","24.545835","80.4684653757442","172.8966904","42.5071394","1.48173577","0.9015716","56.5975",NA,"2.775712064","32.31454",0.078630156,"0.124069517",0.65254905,0.065779435,NA,NA,"0.345706163171163","0.066994797","2.25231990559459","8.08724991",NA,"1.23277798637558",NA
"MW03_0018","Eggs, chicken, boiled, with tomatoes, (Mazira owilitsa othila tomato)",NA,NA,NA,NA,NA,"MW19","R60","76.9788619384363","140.42245","584.65717","0.91670698","5.7297814","9.71060896","0.569414691","1.07801810517587","3.63209177",NA,"6.43917720498468",NA,"0.711653191440352","303.676318","6.26340036","35.126345","95.5858383433534","196.1209392","53.4471932","2.6643325","1.869025","4.900283",NA,"5.95991984","44.04671",0.073361858,"0.158981949",0.40832431,0.085942767,NA,NA,"0.589013275593332","0.009926059",NA,"7.88825928",NA,"2.58985787667289",NA
"MW03_0019","Fish powder stew, (Supu ya ufa wansomba)","1533.01","pelagic fish, fresh, soup","Animal Products","pelagic fish","h","MW19","R13","91.1344435812779","44.44638","186.63589","0.44283939","2.769596","1.80897262",NA,NA,NA,NA,"3.15469023111284",NA,"0.739677607302389","291.584749","6.63297485","42.756895","29.5388667702466","176.5933919","4.4811371","2.04411051","1.879849","27.15906","0.9346475","6.005000971","23.24723",0.043576908,"0.014944649",0.59880996,0.06820572,NA,NA,"0","0.0099106623",NA,"7.89612061","0","0.624922315012624",NA
"MW03_0020","Fish, catfish, dry, Clarius gariepinus, (Mlamba wouma)","1505.01","catfish, african, dried, raw","Animal Products","freshwater fish","m","MW19","9","17","418.514","1753.522","9.211","57.57","20.13",NA,NA,NA,NA,"1.766",NA,"3.532","1145","3.179","143","1345","1328","340","5.5","0.2","3400",NA,NA,"88.298",0.424,"0.212",4.945,1.024,NA,NA,"8.123",NA,NA,"0","30.374","2.049",NA
"MW03_0021","Fish, catfish, fresh, fried, (Mlamba wokazinga)","1507.14","north african catfish, fresh, fried","Animal Products","freshwater fish","h","MW19","R34","60.8106435643564","207.1495","865.65767","2.90079208","18.1299505","11.78217822","0.382425743","0.724009900990099","2.43935644",NA,"7.02871287128713",NA,"1.14331683168317","43.935644","1.73074257","29.117525","223.852772277228","279.3421782","77.7989109","0.8384901","0.04022277",NA,NA,NA,"37.82488",0.140971535,"0.175732673",1.06680446,0.228938119,NA,NA,"1.88737623762376",NA,NA,"0",NA,"1.53128712871287",NA
"MW03_0022","Fish, catfish, raw, Synodontis,(Nkholokolo)","1501.09","upsidedown catfishes, fresh, raw","Animal Products","freshwater fish","h","MW19","WA","76.5","116.5","488","2.608","16.3","5.7",NA,NA,NA,NA,"0",NA,"1","38","0.9","30","191","304","48","0.6","0.05",NA,NA,NA,"25",0.12,"0.06",1.4,0.29,NA,NA,"2.3",NA,NA,NA,NA,NA,NA
"MW03_0023","Fish, catfish, smoked, Clarias gariepinus, (Mlamba wowamba)","1505.04","catfish, african, smoked, raw","Animal Products","freshwater fish","l","MW19","9","14","433.66","1816.98","9.536","59.6","20.86",NA,NA,NA,NA,"0",NA,"3.66","929","3.294","139","1016","1273","258","5.8","0.1","3080",NA,NA,"91.49",0.44,"0.22",5.123,1.06,NA,NA,"8.427",NA,NA,"0","31.472","2.123",NA
"MW03_0024","Fish, fillet, fresh, Rhamphochromis esox, (Mnofu wa mcheni wa fuleshi)",NA,NA,NA,NA,NA,"MW19","13","65.77","167.92896","699.30863","2.5728","16.081254","11.511549",NA,NA,NA,NA,"0",NA,"1.328124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MW03_0025","Fish, fresh, gutted, Rhamphochromis esox,(Mcheni wa fuleshi)",NA,NA,NA,NA,NA,"MW19","13","57.71","237.69094","988.80364","3.3488","20.93355","17.106305",NA,NA,NA,NA,"0",NA,"3.962573",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MW03_0026","Fish, gutted, frozen, Rhamphochromis esox, (Mcheni wawuma ndi ayesi)",NA,NA,NA,NA,NA,"MW19","13","56.6","225.9187","939.4798","3.083","19.26526","16.53974",NA,NA,NA,NA,"0",NA,"4.51794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MW03_0027","Fish, lake sardine, whole, dried, Engraulicypris breianalis, (Usipa wowuma)","1505.03","barb, silver, dried, raw","Animal Products","freshwater fish","m","MW19","9","13","363.582","1532.661","10.758","67.243","10.05",NA,NA,NA,NA,"1.04",NA,"8.665","1453","6.239","155","1630","1235","235","25.4","0.4","970",NA,NA,"65.857",0.069,"0.728",32.582,3.327,NA,NA,"38.127",NA,NA,NA,NA,"2.53",NA
