"original_food_id","original_food_name","food_genus_id","food_genus_description","food_group","food_subgroup","food_genus_confidence","fct_name","data_reference_original_id","moisture_in_g","energy_in_kcal","energy_in_kj","nitrogen_in_g","totalprotein_in_g","totalfats_in_g","saturatedfa_in_g","monounsaturatedfa_in_g","polyunsaturatedfa_in_g","cholesterol_in_mg","carbohydrates_in_g","fibre_in_g","ash_in_g","ca_in_mg","fe_in_mg","mg_in_mg","p_in_mg","k_in_mg","na_in_mg","zn_in_mg","cu_in_mg","mn_in_mcg","i_in_mcg","se_in_mcg","vitamina_in_rae_in_mcg","thiamin_in_mg","riboflavin_in_mg","niacin_in_mg","vitaminb6_in_mg","folicacid_in_mcg","folate_in_mcg","vitaminb12_in_mcg","pantothenate_in_mg","biotin_in_mcg","vitaminc_in_mg","vitamind_in_mcg","vitamine_in_mg","phytate_in_mg"
"13-145","Ackee, canned, drained",NA,NA,NA,NA,NA,"UK21","MW4, 1978; and Vegetables, Herbs and Spices Supplement, 1991","76.7","151","625","0.46","2.9",NA,NA,NA,NA,NA,NA,NA,NA,"35","0.70","40","47","270","240","0.6","0.27",NA,"0",NA,NA,0.03,"0.07",0.6,0.06,NA,NA,"0.0",NA,NA,"30","0.0",NA,NA
"13-146","Agar, dried",NA,NA,NA,NA,NA,"UK21","Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health","9.7","16","67","0.26","1.3",NA,"0.30","0.10","0.40",NA,NA,NA,NA,"760","20.60","620","50","110","110","14.4",NA,NA,NA,NA,NA,0.01,"0.22",0.2,0,NA,NA,"0.0","0","0","0","0.0","0",NA
"13-147","Agar, dried, soaked and drained",NA,NA,NA,NA,NA,"UK21","Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health","84.2","2","7","0.03","0.2",NA,"0","0","0",NA,NA,NA,NA,"110","3.50","75","8","20","10","2.5",NA,NA,NA,NA,NA,0.01,"0.04",0.1,0,NA,NA,"0.0","0","0","0","0.0","0",NA
"13-148","Alfalfa sprouts, raw",NA,NA,NA,NA,NA,"UK21","Vegetables, Herbs and Spices Supplement, 1991","93.4","24","100","0.64","4.0",NA,NA,NA,NA,NA,NA,NA,NA,"32","1.00","27","70","79","6","0.9","0.16",NA,NA,NA,NA,0.04,"0.06",0.5,0.03,NA,NA,"0.0","0.56",NA,"2","0.0",NA,NA
"13-801","Allspice, ground",NA,NA,NA,NA,NA,"UK21","Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2","8.5",NA,NA,"0.98","6.1",NA,"2.50","0.70","2.40",NA,NA,NA,NA,"660","7.10","130","110","1040","77","1.0","0.55",NA,NA,NA,NA,0.1,"0.06",2.9,NA,NA,NA,"0.0",NA,NA,"0","0.0",NA,NA
"14-870","Almonds, flaked and ground",NA,NA,NA,NA,NA,"UK21","Reviewed 2013. LGC, Snacks and nuts, 1989-1991; and Fatty Acid Supplement, 1998 (14-855). Selenium from Analysis of foods for Selenium 1994","4.2","612","2534","4.07","21.1",NA,"4.43","38.19","10.46",NA,NA,NA,NA,"240","3.00","270","550","780","14","3.2","1.00",NA,"2","2",NA,0.21,"0.75",3.1,0.15,NA,NA,"0.0","0.44","64.0","0","0.0","23.96",NA
"14-897","Almonds, toasted",NA,NA,NA,NA,NA,"UK21","USDA SR28, 2015","2.4","579","2394","4.05","21",NA,"4.09","33.08","12.96",NA,NA,"10.9",NA,"268","3.73","279","471","713","3","3.3","1.1000000000000001",NA,"2","2",NA,0.08,"1.2",3.6,0.14,NA,NA,"0","0.32","49","0","0","23.9",NA
"14-898","Almonds, weighed with shells",NA,NA,NA,NA,NA,"UK21","USDA SR28, 2015","1.6","205","847","1.51","7.8",NA,"1.41","11.67","4.5599999999999996",NA,NA,"4.5999999999999996",NA,"100","1.37","100","178","271","0","1.2","0.38",NA,"1","2",NA,0.08,"0.42",1.3,0.05,NA,NA,"0","0.17","23.7","0","0","9.48",NA
"14-896","Almonds, whole kernels",NA,NA,NA,NA,NA,"UK21","USDA SR28, 2015","4.4000000000000004","554","2292","4.09","21.2",NA,"3.8","31.55","12.33",NA,NA,"12.5",NA,"269","3.71","270","481","733","1","3.1","1.0309999999999999",NA,"2","4",NA,0.21,"1.1399999999999999",3.6,0.14,NA,NA,"0","0.47","64","0","0","25.63",NA
"13-150","Amaranth leaves, boiled in unsalted water",NA,NA,NA,NA,NA,"UK21","Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health","90.4","16","67","0.48","3.0",NA,"0.10","0.10","0.10",NA,NA,NA,NA,"220","2.40","110","54","540","11","0.5","0.11",NA,NA,NA,NA,0.03,"0.16",0.7,NA,NA,NA,"0.0",NA,NA,"31","0.0",NA,NA
"13-149","Amaranth leaves, raw","1215.02","amaranth leaves, fresh, raw","Fruits and Vegetables","vegetables, other and products","h","UK21","Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health","88.9","18","75","0.56","3.5",NA,"0.10","0.10","0.10",NA,NA,NA,NA,"270","3.00","130","65","620","13","0.6","0.13",NA,NA,NA,NA,0.07,"0.22",0.7,NA,NA,NA,"0.0",NA,NA,"42","0.0",NA,NA
"14-001","Amla",NA,NA,NA,NA,NA,"UK21","Gopalan et al. (1980) Nutritive value of Indian foods, National Insitute of Nutrition, Indian Council of Medical Research","81.8","58","243","0.08","0.5",NA,"0","0","0",NA,NA,NA,NA,"50","1.20",NA,"20","230","5",NA,"0.18",NA,NA,NA,NA,0.03,"0.01",0.2,NA,NA,NA,"0.0",NA,NA,NA,"0.0",NA,NA
"16-448","Anchovies, canned in oil, drained",NA,NA,NA,NA,NA,"UK21","Data from Fish and Fish Products Supplement, 1993 (16-168) except fatty acids and phytosterols  from RHM, fatty acids in foods, 1993","46.4","191","798","4.03","25.2",NA,"1.60","5.30","1.80",NA,NA,"0.0",NA,"300","4.10","56","300","230","5870","3.0","0.17",NA,NA,NA,NA,0,"0.10",3.8,NA,NA,NA,"11.0",NA,NA,"0",NA,NA,NA
"13-802","Anise seeds",NA,NA,NA,NA,NA,"UK21","Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2","9.5",NA,NA,"2.82","17.6",NA,"2.30","9.80","3.10",NA,NA,NA,NA,"650","37.00","170","440","1440","16","5.3","0.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0",NA,NA,"0","0.0",NA,NA
