"original_food_id","original_food_name","food_genus_id","food_genus_description","food_group","food_subgroup","food_genus_confidence","fct_name","data_reference_original_id","moisture_in_g","energy_in_kcal","energy_in_kj","nitrogen_in_g","totalprotein_in_g","totalfats_in_g","saturatedfa_in_g","monounsaturatedfa_in_g","polyunsaturatedfa_in_g","cholesterol_in_mg","carbohydrates_in_g","fibre_in_g","ash_in_g","ca_in_mg","fe_in_mg","mg_in_mg","p_in_mg","k_in_mg","na_in_mg","zn_in_mg","cu_in_mg","mn_in_mcg","i_in_mcg","se_in_mcg","vitamina_in_rae_in_mcg","thiamin_in_mg","riboflavin_in_mg","niacin_in_mg","vitaminb6_in_mg","folicacid_in_mcg","folate_in_mcg","vitaminb12_in_mcg","pantothenate_in_mg","biotin_in_mcg","vitaminc_in_mg","vitamind_in_mcg","vitamine_in_mg","phytate_in_mg"
"1107","Milk, human, mature, fluid",NA,NA,NA,NA,NA,"US19",NA,"87.5","70","291",NA,"1.03","4.38","2.009","1.658","0.497","14",NA,"0","0.2","32","0.03","3","14","51","17","0.17","0.052",NA,NA,NA,"61",0.014,"0.036",0.177,0.011,"0","5","0.05","0.223",NA,"5","0.1",NA,NA
"1108","Milk, indian buffalo, fluid",NA,NA,NA,NA,NA,"US19",NA,"83.39","97","404",NA,"3.75","6.89","4.597","1.787","0.146","19",NA,"0","0.79","169","0.12","31","117","178","52","0.22","0.046",NA,NA,NA,"53",0.052,"0.135",0.091,0.023,"0","6","0.36","0.192",NA,"2.3",NA,NA,NA
"1109","Milk, sheep, fluid",NA,NA,NA,NA,NA,"US19",NA,"80.7","108","451",NA,"5.98","7","4.603","1.724","0.308","27",NA,"0","0.96","193","0.1","18","158","137","44","0.54","0.046",NA,NA,NA,"44",0.065,"0.355",0.417,0.06,"0","7","0.71","0.407",NA,"4.2",NA,NA,NA
"1110","Milk shakes, thick chocolate",NA,NA,NA,NA,NA,"US19",NA,"72.2","119","496",NA,"3.05","2.7","1.681","0.78","0.1","11",NA,"0.3","0.9","132","0.31","16","126","224","111","0.48","0.065",NA,NA,NA,"18",0.047,"0.222",0.124,0.025,"0","5","0.32","0.363",NA,"0","1",NA,NA
"1111","Milk shakes, thick vanilla",NA,NA,NA,NA,NA,"US19",NA,"74.45","112","468",NA,"3.86","3.03","1.886","0.875","0.113","12",NA,"0","0.91","146","0.1","12","115","183","95","0.39","0.051",NA,NA,NA,"25",0.03,"0.195",0.146,0.042,"0","7","0.52","0.368",NA,"0","1.2",NA,NA
"1112","Whey, acid, fluid",NA,NA,NA,NA,NA,"US19",NA,"93.42","24","100",NA,"0.76","0.09","0.057","0.025","0.004","1",NA,"0","0.61","103","0.08","10","78","143","48","0.43","0.003",NA,NA,NA,"2",0.042,"0.14",0.079,0.042,"0","2","0.18","0.381",NA,"0.1",NA,NA,NA
"1113","Whey, acid, dried",NA,NA,NA,NA,NA,"US19",NA,"3.51","339","1419",NA,"11.73","0.54","0.342","0.149","0.021","3",NA,"0","10.77","2054","1.24","199","1349","2289","968","6.31","0.05",NA,NA,NA,"17",0.622,"2.06",1.16,0.62,"0","33","2.5","5.632",NA,"0.9","0",NA,NA
"1114","Whey, sweet, fluid",NA,NA,NA,NA,NA,"US19",NA,"93.12","27","112",NA,"0.85","0.36","0.23","0.1","0.011","2",NA,"0","0.53","47","0.06","8","46","161","54","0.13","0.004",NA,NA,NA,"3",0.036,"0.158",0.074,0.031,"0","1","0.28","0.383",NA,"0.1",NA,NA,NA
"1115","Whey, sweet, dried",NA,NA,NA,NA,NA,"US19",NA,"3.19","353","1476",NA,"12.93","1.07","0.684","0.297","0.034","6",NA,"0","8.35","796","0.88","176","932","2080","1079","1.97","0.07",NA,NA,NA,"8",0.519,"2.208",1.258,0.584,"0","12","2.37","5.62",NA,"1.5","0",NA,NA
"1116","Yogurt, plain, whole milk",NA,NA,NA,NA,NA,"US19","D5007","87.9","61","257",NA,"3.47","3.25","2.096","0.893","0.092","13",NA,"0","0.72","121","0.05","12","95","155","46","0.59","0.009",NA,NA,NA,"27",0.029,"0.142",0.075,0.032,"0","7","0.37","0.389",NA,"0.5","0.1",NA,NA
"1117","Yogurt, plain, low fat",NA,NA,NA,NA,NA,"US19","D5007, S3461","85.07","63","265",NA,"5.25","1.55","1","0.426","0.044","6",NA,"0","1.09","183","0.08","17","144","234","70","0.89","0.013",NA,NA,NA,"14",0.044,"0.214",0.114,0.049,"0","11","0.56","0.591",NA,"0.8","0",NA,NA
"1118","Yogurt, plain, skim milk",NA,NA,NA,NA,NA,"US19","D5007","85.23","56","233",NA,"5.73","0.18","0.116","0.049","0.005","2",NA,"0","1.18","199","0.09","19","157","255","77","0.97","0.015",NA,NA,NA,"2",0.048,"0.234",0.124,0.053,"0","12","0.61","0.641",NA,"0.9","0",NA,NA
"1119","Yogurt, vanilla, low fat.",NA,NA,NA,NA,NA,"US19","D5007","79","85","358",NA,"4.93","1.25","0.806","0.343","0.036","5",NA,"0","1.02","171","0.07","16","135","219","66","0.83","0.013",NA,NA,NA,"12",0.042,"0.201",0.107,0.045,"0","11","0.53","0.552",NA,"0.8","0",NA,NA
"1120","Yogurt, fruit, low fat,9 g protein/8 oz",NA,NA,NA,NA,NA,"US19","D5007","75.3","99","415",NA,"3.98","1.15","0.742","0.316","0.033","5",NA,"0","0.93","138","0.06","13","109","177","53","0.67","0.079",NA,NA,NA,"11",0.034,"0.162",0.086,0.037,"0","9","0.43","0.446",NA,"0.6","0",NA,NA
"1121","Yogurt, fruit, low fat, 10 grams protein per 8 ounce",NA,NA,NA,NA,NA,"US19","D5007, S3461","74.48","102","426",NA,"4.37","1.08","0.697","0.297","0.031","4",NA,"0","1.02","152","0.07","15","119","195","58","0.74","0.08",NA,NA,NA,"10",0.037,"0.178",0.095,0.04,"0","9","0.47","0.489",NA,"0.7","0",NA,NA
"1122","Yogurt, fruit, low fat, 11g protein/8 oz",NA,NA,NA,NA,NA,"US19","D5007","74.1","105","440",NA,"4.86","1.41","0.909","0.387","0.04","6",NA,"0","1.03","169","0.07","16","133","216","65","0.82","0.08",NA,NA,NA,NA,0.041,"0.198",0.105,0.045,"0","10","0.52","0.544",NA,"0.7",NA,NA,NA
"1123","Egg, whole, raw, fresh",NA,NA,NA,NA,NA,"US19","S6743, S1063, D5021, S561","76.15","143","599",NA,"12.56","9.51","3.126","3.658","1.911","372",NA,"0","1.06","56","1.75","12","198","138","142","1.29","0.072",NA,NA,NA,"160",0.04,"0.457",0.075,0.17,"0","47","0.89","1.533",NA,"0","2",NA,NA
"1124","Egg, white, raw, fresh",NA,NA,NA,NA,NA,"US19","S1065","87.57","52","216",NA,"10.9","0.17","0","0","0","0",NA,"0","0.63","7","0.08","11","15","163","166","0.03","0.023",NA,NA,NA,"0",0.004,"0.439",0.105,0.005,"0","4","0.09","0.19",NA,"0","0",NA,NA
"1125","Egg, yolk, raw, fresh",NA,NA,NA,NA,NA,"US19","S1065","52.31","322","1346",NA,"15.86","26.54","9.551","11.738","4.204","1085",NA,"0","1.71","129","2.73","5","390","109","48","2.3","0.077",NA,NA,NA,"381",0.176,"0.528",0.024,0.35,"0","146","1.95","2.99",NA,"0","5.4",NA,NA
"1126","Egg, yolk, raw, frozen, pasteurized",NA,NA,NA,NA,NA,"US19","S8242, S7401, S8482","56.44","296","1238",NA,"15.53","25.6","8.615","9.956","4.827","991",NA,"0","1.62","134","4.55","11","420","121","67","3.17","0",NA,NA,NA,"422",0.223,"0.563",0.031,0.412,"0","151","1.9","3.437",NA,"0","6",NA,NA
"1127","Egg, yolk, raw, frozen, sugared, pasteurized",NA,NA,NA,NA,NA,"US19","S7401","51.23","307","1283",NA,"13.87","22.82","7.11","8.885","3.856","917",NA,"0","1.13","124","3.7","10","404","105","70","3.06","0.012",NA,NA,NA,"316",0.14,"0.523",0.037,0.398,"0","174","1.64","3.287",NA,"0","3.1",NA,NA
"1128","Egg, whole, cooked, fried",NA,NA,NA,NA,NA,"US19",NA,"69.47","196","821",NA,"13.61","14.84","4.323","6.182","3.251","401",NA,"0","1.26","62","1.89","13","215","152","207","1.39","0.078",NA,NA,NA,"219",0.044,"0.495",0.082,0.184,"0","51","0.97","1.66",NA,"0","2.2",NA,NA
"1129","Egg, whole, cooked, hard-boiled",NA,NA,NA,NA,NA,"US19","D5001, D5002, D5007, D5301, S1063","74.62","155","649",NA,"12.58","10.61","3.267","4.077","1.414","373",NA,"0","1.08","50","1.19","10","172","126","124","1.05","0.013",NA,NA,NA,"149",0.066,"0.513",0.064,0.121,"0","44","1.11","1.398",NA,"0","2.2",NA,NA
