"X.1","food_item","Region","Energy_kcal","Carbohydrates..available_g","Protein_g","Fat_g","Fibre_g","Phytate_mg","Ca_mg","Cu_mg","Fe_mg","I_µg","Mg_mg","Se_µg","Zn_mg","FE2_3.x","FoodName_3","X","ID_0","FoodName_0","ID_1","FoodName_1","ID_2","FoodName_2","ID_3","FE2_3.y","Description1","Desc1.ref","Description2"
3,"Apples","M",43,10,0.3,0.1,2.3,55,5,0,0,0,3,0,0,"A01DJ#F28.A07HS","apples, raw",286,"FV","Fruits and Vegetables",2617,"Apples and products","1341","apples","1341.01","A01DJ#F28.A07HS","","",""
6,"Aquatic Plants","M",26,6.25,0.54,0.03,0.5,0,54,0.1,1.9,1470,67,0.7,0.6,"A00VE#F28.A07HS","red algae, raw",493,"FV","Fruits and Vegetables",2775,"Aquatic Plants","1594","aquatic plants, fresh","1594.01","A00VE#F28.A07HS","","",""
9,"Bananas","M",100,22.2,1.3,0.3,1.9,20,8,0.06,1,2,34,1,1.1,"A01LC#F28.A07HS","banana, raw",284,"FV","Fruits and Vegetables",2615,"Bananas and products","1312","bananas","1312.01","A01LC#F28.A07HS","","",""
12,"Barley","M",126.434034,23.8,2.7,0.5,3.5,452,11,0.11,9.4,10,22,37.7,3.29,"A002K#F02.A066Q$F01.A059D$F27.A000P$F28.A0BZV","barley grain, pearled",31,"CE","Cereals",2513,"Barley and products","23140.05","barley, pearled","23140.05.01","A002K#F02.A066Q$F01.A059D$F27.A000P$F28.A0BZV","","",""
15,"Beans","M",347,46.2,16.9,1.3,19.4,1586,85,0.88,5.9,3,164,2.5,2.54,"A012T#F28.A07HS","common beans, dried, raw",117,"PB","Pulses and Beans",2546,"Beans and products","1701","beans, dry","1701.02","A012T#F28.A07HS","","",""
18,"Beer","M",35,2,0.3,0,0,0,8,0.01,0.1,0,7,0,0,"A03ME#F02.A0ENH$F28.A0C01$F10.A06HV","beer, regular",367,"OT","Other foods",2656,"Beer and products","24310.01","Beer of barley, malted","24310.01.01","A03ME#F02.A0ENH$F28.A0C01$F10.A06HV","","",""
21,"Beverages, Alcoholic","M",249.521988,0,0,0,0,0,0,0.04,0.04,0,0,0,0.04,"A03PG#F02.A0ENP$F28.A07MF$F04.A018X$F04.A03PD","gin",374,"OT","Other foods",2658,"Beverages, Alcoholic and products","2413","undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages","","A03PG#F02.A0ENP$F28.A07MF$F04.A018X$F04.A03PD","","",""
25,"Beverages, Fermented","M",34,3.1,0.6,0.2,0.1,0,4,0,0,3,14,9.3,0.3,"A03MB#F04.A000T","beer, maize grain",371,"CE","Cereals",2657,"Beverages, Fermented and products","24310.02","Beer of maize, malted","24310.02.01","A03MB#F04.A000T","","",""
28,"Bovine Meat","M",244,0,17.9,19.2,0,0,10,0.16,2.4,1,28,8,2.2,"A01QX#F28.A07HS","beef, without bones, fresh, raw",380,"AP","Animal Products",2731,"Bovine Meat and products","21111.02","meat of cattle boneless, fresh or chilled","21111.02.01","A01QX#F28.A07HS$F20.A07QM","","",""
31,"Butter, Ghee","M",880,0,0,99.9,0,0,0,0,0,0,0,0,0,"A038Y#F02.A06BD$F27.A02LV$F28.A0BZT","ghee",443,"AP","Animal Products",2740,"Butter, Ghee and products","22241.02","ghee from cow milk [only calories]","22241.02.01","A038Y#F02.A06BD$F27.A02LV$F28.A0BZT","","",""
34,"Cassava","M",157,36.5,1.1,0.3,1.8,54,46,0.05,1.7,0.88,21,1,0.2,"A00ZZ#F28.A07HS","cassava root, raw",85,"RT","Roots and Tubers",2532,"Cassava and products","1520.01","cassava, fresh","01520.01.01","A00ZZ#F28.A07HS","","",""
37,"Cephalopods","M",92,3,16,1,0,0,32,1.9,0.68,20,33,44.8,1.53,"A02JH#F28.A07HS","squids, raw",498,"AP","Animal Products",2766,"Cephalopods","1570","cephalopods, fresh","1570.01","A02JH#F28.A07HS","","",""
40,"Cereals, Other","M",339,67.1,7,3.1,7.4,282,40,0.44,9.4,10,430,2,1.5,"A001Z#F28.A07HS$F10.A06HR","fonio grain, white, unrefined, raw",60,"CE","Cereals",2520,"Cereals, Other and products","1193","fonio","1193.03","A001Z#F28.A07HS$F10.A06HR","","",""
43,"Citrus, Other","M",45,8.9,0.8,0.3,1.7,10,32,0.1,0.1,1,11,1,0.1,"A0DZB#F28.A07HS","oranges, raw",268,"FV","Fruits and Vegetables",2611,"Oranges, Mandarines and products","1323","oranges","1323.01","A0DZB#F28.A07HS","","",""
46,"Cloves","M",323,27.01,5.98,20.07,34.2,0,646,0.3,8.7,0,264,5.9,1.1,"A01AL#F02.A066Z$F01.A05VR$F27.A01AL","cloves",356,"OT","Other foods",2642,"Cloves and products","1656","cloves (whole stems), raw","1656.01","A01AL#F02.A066Z$F01.A05VR$F27.A01AL","","",""
49,"Cocoa Beans","M",363.049713,11.5,18.5,21.7,12.1,0,130,3.9,10.5,0,520,14.3,6.9,"A03HG#F02.A0EYD$F27.A03HF$F28.A07HC$F28.A07LA$F28.A0BZN$F03.A06JD","cocoa powder",346,"OT","Other foods",2633,"Cocoa Beans and products","F0665","cocoa powder and cake [only calories]","F0665.01","A03HG#F02.A0EYD$F27.A03HF$F28.A07HC$F28.A07LA$F28.A0BZN$F03.A06JD","","",""
52,"Coconut Oil","M",900,0,0,100,0,0,0,0,1.5,0,0,0,0,"A037M#F02.A068M$F27.A014K$F28.A0C04","coconut oil",194,"OT","Other foods",2578,"Coconut Oil and products","2166","coconut oil","2166.01","A037M#F02.A068M$F27.A014K$F28.A0C02","","",""
55,"Coconuts - Incl Copra","M",377,3.6,4.6,36.3,9,324,14,0.32,2.3,1,39,10.1,0.8,"A014K#F02.A066R$F01.A05RC$F27.A014K","coconuts",161,"OT","Other foods",2560,"Coconuts (including copra) and products","1460","coconuts, in shell","1460.01","A014K#F02.A066R$F01.A05RC$F27.A014K","","",""
58,"Coffee","M",2.151051,0.4,0.1,0,0,0,2,0.01,0.1,0,5,0,0.02,"A03GQ#F02.A0EYD$F27.A03GK$F28.A07HC$F28.A07MJ$F28.A07KG$F28.A07XZ","coffee, instant powder",340,"OT","Other foods",2630,"Coffee and products","23912.02","coffee extracts","23912.02.01","A03GQ#F02.A0EYD$F27.A03GK$F28.A07HC$F28.A07MJ$F28.A07KG$F28.A07XZ","","",""
61,"Cottonseed Oil","M",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A036Z#F02.A068M$F27.A015V$F28.A0C04","cotton seed oil",189,"OT","Other foods",2575,"Cottonseed Oil and products","2168","cottonseed oil","2168.01","A036Z#F02.A068M$F27.A015V$F28.A0C02","","",""
64,"Cream","M",245.458891,3.5,2.5,25,0,0,90,0.01,0,35,8,3,0.26,"A02ML#F02.A06BA$F27.A02LT$F28.A0EKQ","cream",448,"AP","Animal Products",2743,"Cream and products","22120","cream, fresh [only calories]","22120.01","A02ML#F02.A06BA$F27.A02LT$F28.A0EKQ","","",""
67,"Crustaceans","M",81,0,18,1.5,0,0,150,0.65,10,100,112,37.4,1.6,"A0FCP#F28.A07HS","crab, fresh, raw",506,"AP","Animal Products",2765,"Crustaceans","1553","crustaceans, fresh","1553.01","A0FCP#F28.A07HS","","",""
70,"Dates","M",134,51,6.4,2.4,2.7,0,24,0.12,0.3,0,24,3,0.2,"A01HF#F02.A0ELC$F01.A062D$F27.A01HF","dates",293,"FV","Fruits and Vegetables",2619,"Dates and products","1314","dates","1314.01","A01HF#F02.A0ELC$F01.A062D$F27.A01HF","","",""
73,"Demersal Fish","M",87,0,19.4,1.1,0,0,33,0.05,1.3,140,35,39,1.3,"A0FAS#F28.A07HS$F10.A0F2R","groupers, white, fresh, raw",512,"AP","Animal Products",2762,"Demersal Fish","1514","demersal fish, fresh","1514.01","A0FAS#F28.A07HS$F10.A0F2R","Demersal Fish, Fresh: Alaska pollack, angler (=monk), Australian salmon, bogue, Bombay duck, bonefish,
breams, chimaera, chub, cod, conger, conger/sand eel, croaker, dentex, dogfish, dorie,
drums, emperor, filefish, flatfishes, flounder, fusilier, gobies, grenadier (=hoki), grouper,
grunt, guitarfish, gurnard, haddock, hake, halibut, icefish, ladyfish, lanternfish, ling,
lizardfish, lumbfish, mojarra, moonfish (except Atlantic, African), mullet, orange perch,
orange roughy, Pacific perch, pandora, Patagonian toothfish, picarel, plaice, puffer, ray,
redfish, rockfish, saithe (=Pollock), sandeel, scabbardfish, sea bass, sea bream, sea catfish,
sea perch, shark, skate, smooth-hounds, snapper, soles, spinefeet, steenbras, surgeon,
tarpon, tilefish, threadfin, triggerfish, turbot, tusk (=cusk), warehou, weakfish, weever,
whitefish, whiting, wolfish (=catfish), wrasse, etc","Definitions of FAOSTAT fish food commodities (appendix 2)",""
76,"Eggs","M",139,0,12.1,10.1,0,0,45,0.08,2.4,53,11,11,1.3,"A031F#F02.A06BR$F01.A04SF$F27.A031F","egg, chicken, raw",449,"AP","Animal Products",2744,"Eggs and products","231","hen eggs in shell, fresh","231.01","A031G#F28.A07HS","","",""
79,"Fats, Animals, Raw","M",884.321223,0,0,100,0,0,0,0,0,0,0,0.2,0.11,"A037V#F02.A06AR$F27.A01VA$F28.A0C04","pork lard",428,"AP","Animal Products",2737,"Fats, Animals, Raw and products","21521","pig fat, rendered","21521.01","A037V#F02.A06AR$F27.A01VA$F28.A0C02","","",""
82,"Fish, Body Oil","M",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A038Q#F02.A06AR$F27.A02EL$F28.A0C04","cod, liver oil",530,"AP","Animal Products",2782,"Fish, Liver Oil","1523","demersal fish, liver oil","1523.01","A038Q#F02.A06AR$F27.A02EL$F28.A0C02","","",""
85,"Fish, Liver Oil","M",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A038Q#F02.A06AR$F27.A02EL$F28.A0C07","cod, liver oil",530,"AP","Animal Products",2782,"Fish, Liver Oil","1523","demersal fish, liver oil","1523.01","A038Q#F02.A06AR$F27.A02EL$F28.A0C02","","",""
88,"Freshwater Fish","M",176,0,15.3,12.8,0,0,2814,0.32,1.7,11,18,11.1,5.8,"A0F8P#F28.A07HS","catfish, african, fresh, raw",521,"AP","Animal Products",2761,"Freshwater Fish","1501","freshwater fish, fresh","1501.02","A0F8P#F28.A07HS","Barb, burbot, carps, catfish, dace, freshwater breams, freshwater drum, gabies, giant sea
perch=barramundi, gourami, gudgeons, mandarin fish, milkfish, nile perch, paddlefishes,
perch, pike, river eels, salmons, shads, sleepers, smelts, snakehead, sturgeons,
tenchs, tilapias, trouts and miscellaneous freshwater and diadromous fishes, etc","",""
91,"Fruits, Other","M",62,13.3,0.6,0.2,2,30,17,0.04,1,2,12,1,0.6,"A01LF#F28.A07HS","mangoes, raw",300,"FV","Fruits and Vegetables",2625,"Fruits, Other and products","1316","mangoes, guavas, mangosteens","1316.01","A01LF#F28.A07HS","","",""
94,"Grapefruit","M",37,8,0.8,0.1,1.9,0,21,0.04,0.6,2,9,0.1,0,"A01CY#F28.A07HS","grapefruits, raw",278,"FV","Fruits and Vegetables",2613,"Grapefruit and products","1321","pomelos and grapefruits","1321.02","A01CY#F28.A07HS","","",""
97,"Grapes","M",69,16.5,0.4,0.1,2,59,13,0.08,0.3,1,7,0.1,0.1,"A01DX#F28.A07HS","grapes, raw",294,"FV","Fruits and Vegetables",2620,"Grapes and products (excludingexcl wine) and products","1330","grapes","1330.01","A01DX#F28.A07HS","","",""
100,"Groundnut Oil","M",903,0,0,99.9,0,0,0,0,0,0,0,0,0,"A037A#F02.A068M$F27.A015H$F28.A0C04","peanut oil",185,"PB","Pulses and Beans",2572,"Groundnut Oil and products","2162","groundnut oil","2162.01","A037A#F02.A068M$F27.A015H$F28.A0C02","","",""
103,"Groundnuts (Shelled Eq)","M",578,18.5,24.1,45,6.2,590,53,0.42,4.3,20,185,3,1.9,"A015H#F28.A07LC","peanut, unshelled",152,"PB","Pulses and Beans",2556,"Groundnuts (Shelled Eq) and products","142","groundnuts, excluding shelled","142.01","A015H#F20.A07QD","","",""
106,"Honey","M",322,80.2,0.3,0,0,0,11,0.05,0.6,0,10,1,2,"A033M#F02.A06EF$F01.A04TG$F27.A033M$F28.A0CRJ","honey",104,"OT","Other foods",2745,"Honey and products","2910","natural honey","2910.01","A033M#F02.A06EF$F01.A04TG$F27.A033M$F28.A0CRJ","","",""
109,"Lemons, Limes","M",36,6.3,0.7,0.5,2.1,10,22,0.04,0.6,2,16,0,0.1,"A01BY#F28.A07HS","lemons, raw",273,"FV","Fruits and Vegetables",2612,"Lemons, Limes and products","1322","lemons and limes","1322.01","A01BY#F28.A07HS","","",""
112,"Maize","M",363,72.3,9.2,3.8,1.5,792,30,0.18,3.2,3,85,16,1.4,"A000T#F28.A07HS$F28.A07KG$F10.A0F2R","maize, grain, white, dried, raw",34,"CE","Cereals",2514,"Maize and products (including white maize)","112","maize (corn)","112.01","A000T#F28.A07HS$F28.A07KG$F10.A0F2R","","",""
117,"Maize Germ Oil","M",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A036Y#F02.A068M$F27.A000T$F28.A0C04","maize oil",200,"CE","Cereals",2582,"Maize Germ Oil and products","21691.02","oil of maize","21691.02.01","A036Y#F02.A068M$F27.A000T$F28.A0C02","","",""
118,"Maize Germ Oil","M",884.321223,0,0,100,0,0,0,0,0,0,0,0,0,"A036Y#F02.A068M$F27.A000T$F28.A0C04","maize oil",201,"CE","Cereals",2582,"Maize Germ Oil and products","21691.02","oil of maize","21691.02.01","A036Y#F02.A068M$F27.A000T$F28.A0C02","","",""
121,"Marine Fish, Other","M",106,0.9,19.6,2.7,0,0,42,0.04,2.1,32,41,37,1.5,"A0FBZ#F02.A0EMS$F27.A02DA$F28.A0BYP","sardines, tinned",543,"AP","Animal Products",2763,"Pelagic Fish","1532","pelagic fish, canned","1532.01","A0FBZ#F02.A0EMS$F27.A02DA$F28.A0BYP","It can be called canned as well","",""
124,"Meat, Aquatic Mammals","M",111,0,26.5,0.5,0,0,7,0.03,0.3,32,21,36.5,0.63,"A02KN#F28.A07HS$F10.A166Y","marine mammals meat, fresh, raw",496,"AP","Animal Products",2768,"Meat, Aquatic Mammals","1580","aquatic mammals, meat","1580.01","A02KN#F28.A07HS$F10.A166Y","","",""
127,"Meat, Other","M",142,2.1,20.7,5.6,0,0,22,0.15,0.9,1,25,10,1.7,"A01RQ#F28.A07HS","rabbit meat, fresh, raw",398,"AP","Animal Products",2735,"Meat, Other and products","21114","meat of rabbits and hares, fresh or chilled","21114.01","A01RQ#F28.A07HS","","",""
130,"Milk - Excluding Butter","M",75,4.7,3.7,4.6,0,0,210,0.02,0.1,3,14,1,0.4,"A02LV#F02.A06AZ$F01.A057E$F27.A02LV","milk, cow, whole, raw",454,"AP","Animal Products",2848,"Milk - (Excluding excluding Butter butter) and products","2211","raw milk of cattle","2211.01","A02LY#F28.A07HS","","",""
133,"Millet","M",365,65.8,8.3,5.3,10.6,520,19,0.45,14.3,10,97,8,2.7,"A001A#F02.A066Q$F01.A059L$F27.A001A","pearl millet,  grain",50,"CE","Cereals",2517,"Millet and products","118","millet","118.03","A001A#F02.A066Q$F01.A059L$F27.A001A","","",""
136,"Molluscs, Other","M",66.921606,3.9,7.1,2.5,0,0,45,1.49,3.5,0,54,27.4,2.2,"A02HG#F28.A07HS$F10.A166Y","oysters, fresh, raw",533,"AP","Animal Products",2767,"Molluscs, Other","1562","molluscs, fresh","1562.01","A02HG#F28.A07HS$F10.A166Y","","",""
139,"Mutton & Goat Meat","M",217,0,17.2,16.5,0,0,9,0.07,2.3,6,20,4,3.1,"A01RH#F28.A07HS","sheep meat, fresh, raw",384,"AP","Animal Products",2732,"Mutton & and Goat Meat and products","21115","meat of sheep, fresh or chilled","21115.01","A01RH#F28.A07HS","","",""
142,"Nuts","M",575,27.1,19,42.8,2.9,2580,54,2.15,10.4,10,267,24,2.1,"A014H#F02.A066R$F01.A05QR$F27.A014H","cashew nuts",133,"OT","Other foods",2551,"Nuts and products","1372","cashew nuts, in shell","1372.01","A014H#F02.A066R$F01.A05QR$F27.A014H","","",""
145,"Oats","M",427.10325,61.6,10.7,10.4,1.6,282,54,0.36,4.4,10,153,2,3.18,"A00DH#F02.A068G$F27.A000G$F28.A07LH","oats, rolled",46,"CE","Cereals",2516,"Oats and products","23140.07","oats, rolled","23140.07.01","A00DH#F02.A068G$F27.A000G$F28.A07LH","","",""
148,"Offals, Edible","M",133,3.8,19.1,4.5,0,0,8,0.5,9.7,5,131,40,3,"A01XF#F28.A07HS","beef liver, fresh, raw",411,"AP","Animal Products",2736,"Offals, Edible and products","21151","edible offal of cattle, fresh, chilled or frozen","21151.02","A01XF#F28.A07HS","","",""
151,"Oilcrops, Other","M",531.548757,3.5,17.5,36.9,29.5,4710,250,3.88,44.2,0,346,1.6,8.24,"A015G#F02.A066S$F01.A05RV$F27.A015G","linseeds",169,"OT","Other foods",2570,"Oilcrops, Other and products","1441","linseed","1441.01","A015G#F02.A066S$F01.A05RV$F27.A015G","","",""
154,"Olive Oil","M",884.321223,0,0,100,0,0,1,0,0.4,0,0,0,0.06,"A036P#F02.A068M$F27.A016M$F28.A0C02","olive oil",196,"OT","Other foods",2580,"Olive Oil and products","2167","olive oil","2167.01","A036P#F02.A068M$F27.A016M$F28.A0C02","","",""
157,"Olives","M",123.565965,3.1,0.8,10.7,3.2,0,88,0.25,3.3,0,4,0.9,0.22,"A01BQ#F02.A0EVC$F27.A01BP$F28.A0CQZ","olives, preserved",168,"FV","Fruits and Vegetables",2563,"Olives (including preserved) and products","F0262","olives preserved","F0262.01","A01BQ#F02.A0EVC$F27.A01BP$F28.A0CQZ","","",""
160,"Onions","M",32,5.6,1.1,0.1,1.8,10,27,0.04,0.5,2,7,2,0.2,"A00HC#F28.A07HS","onions, raw",224,"FV","Fruits and Vegetables",2602,"Onions and products","1253.02","onions and shallots, dry (excluding dehydrated)","1253.02.01","A00HC#F28.A07HS","","",""
163,"Oranges, Mandarines","M",45,8.9,0.8,0.3,1.7,10,32,0.05,0.1,1,11,1,0.1,"A0DZB#F28.A07HS","oranges, raw",268,"FV","Fruits and Vegetables",2611,"Oranges, Mandarines and products","1323","oranges","1323.01","A0DZB#F28.A07HS","","",""
